"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2015"
"Units","Value in  canadian dollars"

"","","2015"
"United States","Total Exports","59470773620"
"","Total Imports","28822402996"
"","Trade Balance","30648370624"
"Malta","Total Exports","965392722"
"","Total Imports","43372824"
"","Trade Balance","922019898"
"United Arab Emirates","Total Exports","432238111"
"","Total Imports","36067571"
"","Trade Balance","396170540"
"Hong Kong","Total Exports","417047309"
"","Total Imports","40631913"
"","Trade Balance","376415396"
"Singapore","Total Exports","497811499"
"","Total Imports","203974471"
"","Trade Balance","293837028"
"Saudi Arabia","Total Exports","276424215"
"","Total Imports","15722954"
"","Trade Balance","260701261"
"Qatar","Total Exports","87454871"
"","Total Imports","2879680"
"","Trade Balance","84575191"
"Cuba","Total Exports","83991969"
"","Total Imports","1705899"
"","Trade Balance","82286070"
"South Africa","Total Exports","244851299"
"","Total Imports","176306757"
"","Trade Balance","68544542"
"Colombia","Total Exports","151030650"
"","Total Imports","92608247"
"","Trade Balance","58422403"
"Panama","Total Exports","58300808"
"","Total Imports","1165733"
"","Trade Balance","57135075"
"Iran","Total Exports","64546887"
"","Total Imports","9398543"
"","Trade Balance","55148344"
"Finland","Total Exports","403145208"
"","Total Imports","355233861"
"","Trade Balance","47911347"
"Egypt","Total Exports","88611153"
"","Total Imports","40985403"
"","Trade Balance","47625750"
"Bahamas","Total Exports","42817416"
"","Total Imports","15834"
"","Trade Balance","42801582"
"Barbados","Total Exports","44098462"
"","Total Imports","1685428"
"","Trade Balance","42413034"
"Lebanon","Total Exports","46220983"
"","Total Imports","14793872"
"","Trade Balance","31427111"
"Kuwait","Total Exports","26523617"
"","Total Imports","131288"
"","Trade Balance","26392329"
"Iraq","Total Exports","26096566"
"","Total Imports","310"
"","Trade Balance","26096256"
"Macau (Macao)","Total Exports","25318217"
"","Total Imports","1021004"
"","Trade Balance","24297213"
"Jordan","Total Exports","29509742"
"","Total Imports","6833262"
"","Trade Balance","22676480"
"Ethiopia","Total Exports","24350931"
"","Total Imports","4495258"
"","Trade Balance","19855673"
"Haiti","Total Exports","20534648"
"","Total Imports","5760572"
"","Trade Balance","14774076"
"Bermuda","Total Exports","14817835"
"","Total Imports","486512"
"","Trade Balance","14331323"
"Oman (formerly Muscat and Oman)","Total Exports","26978794"
"","Total Imports","13831213"
"","Trade Balance","13147581"
"Uzbekistan","Total Exports","12045377"
"","Total Imports","82283"
"","Trade Balance","11963094"
"Senegal","Total Exports","11433822"
"","Total Imports","567885"
"","Trade Balance","10865937"
"New Caledonia","Total Exports","10675469"
"","Total Imports","178145"
"","Trade Balance","10497324"
"Venezuela","Total Exports","64195648"
"","Total Imports","54572339"
"","Trade Balance","9623309"
"Saint Pierre-Miquelon","Total Exports","8971377"
"","Total Imports","1"
"","Trade Balance","8971376"
"Tajikistan","Total Exports","8407514"
"","Total Imports","37885"
"","Trade Balance","8369629"
"Antigua and Barbuda","Total Exports","6842277"
"","Total Imports","12698"
"","Trade Balance","6829579"
"French Polynesia","Total Exports","6650046"
"","Total Imports","559554"
"","Trade Balance","6090492"
"Maldives","Total Exports","6079490"
"","Total Imports","485459"
"","Trade Balance","5594031"
"Kenya","Total Exports","11189826"
"","Total Imports","6273434"
"","Trade Balance","4916392"
"Saint Vincent and the Grenadines","Total Exports","4920071"
"","Total Imports","48139"
"","Trade Balance","4871932"
"Saint Lucia","Total Exports","4852522"
"","Total Imports","21584"
"","Trade Balance","4830938"
"Benin","Total Exports","4784246"
"","Total Imports","5776"
"","Trade Balance","4778470"
"Sint Maarten","Total Exports","4262771"
"","Total Imports",""
"","Trade Balance","4262771"
"Kyrgyzstan","Total Exports","3652279"
"","Total Imports","52319"
"","Trade Balance","3599960"
"Grenada","Total Exports","3876793"
"","Total Imports","349705"
"","Trade Balance","3527088"
"Paraguay","Total Exports","8603007"
"","Total Imports","5084528"
"","Trade Balance","3518479"
"Zambia (Zambi)","Total Exports","5050208"
"","Total Imports","1707090"
"","Trade Balance","3343118"
"Gabon","Total Exports","3763514"
"","Total Imports","688074"
"","Trade Balance","3075440"
"Cameroon","Total Exports","6148573"
"","Total Imports","3194949"
"","Trade Balance","2953624"
"Mali","Total Exports","3731303"
"","Total Imports","786286"
"","Trade Balance","2945017"
"Dominica","Total Exports","3153871"
"","Total Imports","281209"
"","Trade Balance","2872662"
