"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2018"
"Units","Value in  canadian dollars"

"","","2018"
"United States","Total Exports","64356566600"
"","Total Imports","31858717365"
"","Trade Balance","32497849235"
"Latvia","Total Exports","715768426"
"","Total Imports","10563039"
"","Trade Balance","705205387"
"Korea, South","Total Exports","1173304010"
"","Total Imports","638547320"
"","Trade Balance","534756690"
"Japan","Total Exports","1587184592"
"","Total Imports","1116479359"
"","Trade Balance","470705233"
"Switzerland","Total Exports","1127177974"
"","Total Imports","757409722"
"","Trade Balance","369768252"
"United Arab Emirates","Total Exports","407225192"
"","Total Imports","67222116"
"","Trade Balance","340003076"
"Bahamas","Total Exports","288546584"
"","Total Imports","10244"
"","Trade Balance","288536340"
"Hong Kong","Total Exports","313522119"
"","Total Imports","47735223"
"","Trade Balance","265786896"
"Bahrain","Total Exports","270357676"
"","Total Imports","20171568"
"","Trade Balance","250186108"
"Australia","Total Exports","486276203"
"","Total Imports","314847453"
"","Trade Balance","171428750"
"Singapore","Total Exports","398765159"
"","Total Imports","264554598"
"","Trade Balance","134210561"
"Egypt","Total Exports","151604961"
"","Total Imports","56991458"
"","Trade Balance","94613503"
"Malta","Total Exports","103178546"
"","Total Imports","17963722"
"","Trade Balance","85214824"
"Cuba","Total Exports","75771598"
"","Total Imports","1810476"
"","Trade Balance","73961122"
"Tanzania","Total Exports","63545644"
"","Total Imports","1362512"
"","Trade Balance","62183132"
"Qatar","Total Exports","51166939"
"","Total Imports","4524399"
"","Trade Balance","46642540"
"Colombia","Total Exports","178841736"
"","Total Imports","137836471"
"","Trade Balance","41005265"
"Philippines","Total Exports","194527374"
"","Total Imports","154582858"
"","Trade Balance","39944516"
"Senegal","Total Exports","40146851"
"","Total Imports","900842"
"","Trade Balance","39246009"
"Panama","Total Exports","37648735"
"","Total Imports","1815984"
"","Trade Balance","35832751"
"Lebanon","Total Exports","46827287"
"","Total Imports","20703848"
"","Trade Balance","26123439"
"Burkina Faso","Total Exports","36724623"
"","Total Imports","15292171"
"","Trade Balance","21432452"
"Ethiopia","Total Exports","29471410"
"","Total Imports","8880907"
"","Trade Balance","20590503"
"Iraq","Total Exports","19773162"
"","Total Imports","9277"
"","Trade Balance","19763885"
"Greenland","Total Exports","16894040"
"","Total Imports","6930"
"","Trade Balance","16887110"
"Jordan","Total Exports","25966556"
"","Total Imports","10433470"
"","Trade Balance","15533086"
"Dominican Republic","Total Exports","54542367"
"","Total Imports","39347625"
"","Trade Balance","15194742"
"Libya","Total Exports","14166692"
"","Total Imports","874"
"","Trade Balance","14165818"
"Haiti","Total Exports","16236832"
"","Total Imports","3098983"
"","Trade Balance","13137849"
