"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"United States","Total Exports","65369827315"
"","Total Imports","32596865384"
"","Trade Balance","32772961931"
"Japan","Total Exports","1672976356"
"","Total Imports","1035894035"
"","Trade Balance","637082321"
"Latvia","Total Exports","420630604"
"","Total Imports","6518571"
"","Trade Balance","414112033"
"Egypt","Total Exports","473101819"
"","Total Imports","80769522"
"","Trade Balance","392332297"
"Hong Kong","Total Exports","299023400"
"","Total Imports","49262438"
"","Trade Balance","249760962"
"Singapore","Total Exports","476192530"
"","Total Imports","251785450"
"","Trade Balance","224407080"
"United Arab Emirates","Total Exports","263413276"
"","Total Imports","70180974"
"","Trade Balance","193232302"
"Bahrain","Total Exports","191423992"
"","Total Imports","7567763"
"","Trade Balance","183856229"
"Belgium","Total Exports","955937683"
"","Total Imports","779760213"
"","Trade Balance","176177470"
"Australia","Total Exports","490471069"
"","Total Imports","327931406"
"","Trade Balance","162539663"
"Bahamas","Total Exports","143610170"
"","Total Imports","3287868"
"","Trade Balance","140322302"
"Uganda","Total Exports","152999319"
"","Total Imports","13378250"
"","Trade Balance","139621069"
"Korea, South","Total Exports","937488461"
"","Total Imports","812652536"
"","Trade Balance","124835925"
"Colombia","Total Exports","219647779"
"","Total Imports","115581828"
"","Trade Balance","104065951"
"Cuba","Total Exports","93418530"
"","Total Imports","1720071"
"","Trade Balance","91698459"
"Grenada","Total Exports","87148378"
"","Total Imports","473956"
"","Trade Balance","86674422"
"Malta","Total Exports","92562387"
"","Total Imports","19062726"
"","Trade Balance","73499661"
"Algeria","Total Exports","108908216"
"","Total Imports","35965235"
"","Trade Balance","72942981"
"Qatar","Total Exports","66439312"
"","Total Imports","1298469"
"","Trade Balance","65140843"
"Tanzania","Total Exports","63417461"
"","Total Imports","1287059"
"","Trade Balance","62130402"
"Panama","Total Exports","58597350"
"","Total Imports","1973231"
"","Trade Balance","56624119"
"Senegal","Total Exports","53481152"
"","Total Imports","1093848"
"","Trade Balance","52387304"
"Iraq","Total Exports","35573933"
"","Total Imports","7455"
"","Trade Balance","35566478"
"Ethiopia","Total Exports","38106458"
"","Total Imports","6847064"
"","Trade Balance","31259394"
"Lebanon","Total Exports","52012669"
"","Total Imports","20831315"
"","Trade Balance","31181354"
"Burkina Faso","Total Exports","42782787"
"","Total Imports","16720693"
"","Trade Balance","26062094"
"Saudi Arabia","Total Exports","126444642"
"","Total Imports","101949413"
"","Trade Balance","24495229"
"Libya","Total Exports","23931541"
"","Total Imports","13667"
"","Trade Balance","23917874"
"Kuwait","Total Exports","23798424"
"","Total Imports","148312"
"","Trade Balance","23650112"
"Nigeria","Total Exports","34898175"
"","Total Imports","11802033"
"","Trade Balance","23096142"
"Fiji","Total Exports","21924338"
"","Total Imports","22207"
"","Trade Balance","21902131"
"Iran","Total Exports","25373689"
"","Total Imports","5399654"
"","Trade Balance","19974035"
"Jordan","Total Exports","35709616"
"","Total Imports","19474241"
"","Trade Balance","16235375"
"Antigua and Barbuda","Total Exports","14554456"
"","Total Imports","15504"
"","Trade Balance","14538952"
"Barbados","Total Exports","14137914"
"","Total Imports","2720698"
"","Trade Balance","11417216"
"Haiti","Total Exports","15020419"
"","Total Imports","4142036"
"","Trade Balance","10878383"
"Benin","Total Exports","10461607"
"","Total Imports","296675"
"","Trade Balance","10164932"
"Gabon","Total Exports","9478985"
"","Total Imports","88868"
"","Trade Balance","9390117"
"Bermuda","Total Exports","9491370"
"","Total Imports","123718"
"","Trade Balance","9367652"
"Nepal","Total Exports","11111558"
"","Total Imports","1788336"
"","Trade Balance","9323222"
"Mauritania","Total Exports","8753145"
"","Total Imports","21233"
"","Trade Balance","8731912"
"Saint Pierre-Miquelon","Total Exports","8414033"
"","Total Imports","39"
"","Trade Balance","8413994"
"Kenya","Total Exports","14705104"
"","Total Imports","6339797"
"","Trade Balance","8365307"
"Macau (Macao)","Total Exports","9420651"
"","Total Imports","1406341"
"","Trade Balance","8014310"
"Mali","Total Exports","9762026"
"","Total Imports","2456053"
"","Trade Balance","7305973"
"Togo","Total Exports","7536797"
"","Total Imports","1380196"
"","Trade Balance","6156601"
"Djibouti","Total Exports","5269955"
"","Total Imports","140288"
"","Trade Balance","5129667"
"French Polynesia","Total Exports","6229593"
"","Total Imports","1143047"
"","Trade Balance","5086546"
"Georgia","Total Exports","6227351"
"","Total Imports","1346241"
"","Trade Balance","4881110"
"Kyrgyzstan","Total Exports","4146267"
"","Total Imports","35695"
"","Trade Balance","4110572"
"Curacao","Total Exports","4581308"
"","Total Imports","539875"
"","Trade Balance","4041433"
"Brunei Darussalam","Total Exports","4198959"
"","Total Imports","241943"
"","Trade Balance","3957016"
"Rwanda","Total Exports","5275794"
"","Total Imports","1378668"
"","Trade Balance","3897126"
"Guyana","Total Exports","9892949"
"","Total Imports","6123270"
"","Trade Balance","3769679"
"Cayman Islands","Total Exports","3726180"
"","Total Imports","122565"
"","Trade Balance","3603615"
"Syria","Total Exports","4785181"
"","Total Imports","1294105"
"","Trade Balance","3491076"
"Maldives","Total Exports","3905079"
"","Total Imports","414760"
"","Trade Balance","3490319"
"Venezuela","Total Exports","9821253"
"","Total Imports","6414358"
"","Trade Balance","3406895"
"Equatorial Guinea","Total Exports","3408334"
"","Total Imports","2202"
"","Trade Balance","3406132"
"Sudan","Total Exports","3406232"
"","Total Imports","95137"
"","Trade Balance","3311095"
"Saint Lucia","Total Exports","3198879"
"","Total Imports","68520"
"","Trade Balance","3130359"
"Greenland","Total Exports","3110831"
"","Total Imports","909"
"","Trade Balance","3109922"
"Angola","Total Exports","3324112"
"","Total Imports","273872"
"","Trade Balance","3050240"
"Paraguay","Total Exports","7038818"
"","Total Imports","4135389"
"","Trade Balance","2903429"
"Turks and Caicos Islands","Total Exports","2990900"
"","Total Imports","109307"
"","Trade Balance","2881593"
"Sint Maarten","Total Exports","2878237"
"","Total Imports","2946"
"","Trade Balance","2875291"
"Dominica","Total Exports","2855496"
"","Total Imports","30723"
"","Trade Balance","2824773"
"Uruguay","Total Exports","12918285"
"","Total Imports","10180879"
"","Trade Balance","2737406"
"Belize","Total Exports","2858067"
"","Total Imports","383450"
"","Trade Balance","2474617"
"Cyprus","Total Exports","3208568"
"","Total Imports","840571"
"","Trade Balance","2367997"
"Mongolia","Total Exports","3003934"
"","Total Imports","699421"
"","Trade Balance","2304513"
"Mozambique","Total Exports","2540537"
"","Total Imports","237674"
"","Trade Balance","2302863"
"Saint Vincent and the Grenadines","Total Exports","2149844"
"","Total Imports","4404"
"","Trade Balance","2145440"
"Somalia","Total Exports","2014766"
"","Total Imports","89825"
"","Trade Balance","1924941"
"Swaziland","Total Exports","1926513"
"","Total Imports","151388"
"","Trade Balance","1775125"
"Albania","Total Exports","7835917"
"","Total Imports","6252558"
"","Trade Balance","1583359"
"Niger","Total Exports","1953644"
"","Total Imports","445510"
"","Trade Balance","1508134"
"Afghanistan","Total Exports","1859829"
"","Total Imports","352591"
"","Trade Balance","1507238"
"Aruba","Total Exports","1360845"
"","Total Imports","57779"
"","Trade Balance","1303066"
"Seychelles","Total Exports","1293008"
"","Total Imports","218848"
"","Trade Balance","1074160"
"Suriname","Total Exports","20741138"
"","Total Imports","19818287"
"","Trade Balance","922851"
"New Caledonia","Total Exports","890811"
"","Total Imports","150843"
"","Trade Balance","739968"
"Malawi","Total Exports","812905"
"","Total Imports","198206"
"","Trade Balance","614699"
"Saint Kitts and Nevis","Total Exports","1151468"
"","Total Imports","574441"
"","Trade Balance","577027"
"Croatia","Total Exports","9981579"
"","Total Imports","9451698"
"","Trade Balance","529881"
"Yemen","Total Exports","510380"
"","Total Imports","36121"
"","Trade Balance","474259"
"Gambia","Total Exports","497066"
"","Total Imports","32613"
"","Trade Balance","464453"
"Cook Islands","Total Exports","449380"
"","Total Imports","1329"
"","Trade Balance","448051"
"Guam","Total Exports","415894"
"","Total Imports","37339"
"","Trade Balance","378555"
"Anguilla","Total Exports","347996"
"","Total Imports","52695"
"","Trade Balance","295301"
"Saint Helena","Total Exports","251585"
"","Total Imports","27073"
"","Trade Balance","224512"
"Central African Republic","Total Exports","232468"
"","Total Imports","21142"
"","Trade Balance","211326"
"Guinea-Bissau","Total Exports","208568"
"","Total Imports","2283"
"","Trade Balance","206285"
"Chad","Total Exports","198690"
"","Total Imports","43271"
"","Trade Balance","155419"
"Azerbaijan","Total Exports","1090053"
"","Total Imports","945369"
"","Trade Balance","144684"
"U.S. Minor Outlying Islands","Total Exports","2146100"
"","Total Imports","2045290"
"","Trade Balance","100810"
"Wallis and Futuna Islands","Total Exports","76476"
"","Total Imports","1547"
"","Trade Balance","74929"
"Antarctica","Total Exports","70115"
"","Total Imports",""
"","Trade Balance","70115"
"Vanuatu (New Hebrides)","Total Exports","74270"
"","Total Imports","4781"
"","Trade Balance","69489"
"Bonaire, Sint Eustatius and Saba","Total Exports","63211"
"","Total Imports",""
"","Trade Balance","63211"
"Solomon Islands","Total Exports","67876"
"","Total Imports","5416"
"","Trade Balance","62460"
"Andorra","Total Exports","85238"
"","Total Imports","23157"
"","Trade Balance","62081"
"Montenegro","Total Exports","108205"
"","Total Imports","47465"
"","Trade Balance","60740"
"Western Sahara","Total Exports","44851"
"","Total Imports","79"
"","Trade Balance","44772"
"Cape Verde","Total Exports","61433"
"","Total Imports","22459"
"","Trade Balance","38974"
"British Indian Ocean Territories","Total Exports","41420"
"","Total Imports","8535"
"","Trade Balance","32885"
"French Southern Territories","Total Exports","31170"
"","Total Imports","1350"
"","Trade Balance","29820"
"South Sudan","Total Exports","21114"
"","Total Imports",""
"","Trade Balance","21114"
"Tonga","Total Exports","28209"
"","Total Imports","9194"
"","Trade Balance","19015"
"Gibraltar","Total Exports","16014"
"","Total Imports","4734"
"","Trade Balance","11280"
"Falkland Islands","Total Exports","11253"
"","Total Imports","4276"
"","Trade Balance","6977"
"Montserrat","Total Exports","14966"
"","Total Imports","8178"
"","Trade Balance","6788"
"","Total Exports",""
"","Total Imports","86"
"","Trade Balance","-86"
"Tajikistan","Total Exports",""
"","Total Imports","157"
"","Trade Balance","-157"
"Norfolk Island","Total Exports",""
"","Total Imports","2651"
"","Trade Balance","-2651"
"Timor-Leste","Total Exports",""
"","Total Imports","3843"
"","Trade Balance","-3843"
"Eritrea","Total Exports",""
"","Total Imports","5798"
"","Trade Balance","-5798"
"Niue","Total Exports",""
