"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2022"
"Units","Value in  canadian dollars"

"","","2022"
"United States","Total Exports","82516474506"
"","Total Imports","34022646522"
"","Trade Balance","48493827984"
"Malta","Total Exports","1084637393"
"","Total Imports","17653573"
"","Trade Balance","1066983820"
"Japan","Total Exports","1703131095"
"","Total Imports","1219579827"
"","Trade Balance","483551268"
"Korea, South","Total Exports","1282404875"
"","Total Imports","905708120"
"","Trade Balance","376696755"
"Latvia","Total Exports","312745843"
"","Total Imports","20848529"
"","Trade Balance","291897314"
"United Arab Emirates","Total Exports","543650754"
"","Total Imports","272931007"
"","Trade Balance","270719747"
"Singapore","Total Exports","566839754"
"","Total Imports","303683846"
"","Trade Balance","263155908"
"Hong Kong","Total Exports","304547581"
"","Total Imports","65557768"
"","Trade Balance","238989813"
"Bonaire, Sint Eustatius and Saba","Total Exports","184154296"
"","Total Imports",""
"","Trade Balance","184154296"
"Saudi Arabia","Total Exports","195512178"
"","Total Imports","12476895"
"","Trade Balance","183035283"
"Bahamas","Total Exports","183724770"
"","Total Imports","848694"
"","Trade Balance","182876076"
"Philippines","Total Exports","314624739"
"","Total Imports","147220539"
"","Trade Balance","167404200"
"Qatar","Total Exports","170740391"
"","Total Imports","13262466"
"","Trade Balance","157477925"
"Bahrain","Total Exports","179486343"
"","Total Imports","52180901"
"","Trade Balance","127305442"
"Senegal","Total Exports","70245478"
"","Total Imports","2266378"
"","Trade Balance","67979100"
"Bermuda","Total Exports","65764375"
"","Total Imports","199933"
"","Trade Balance","65564442"
"British Virgin Islands","Total Exports","65122439"
"","Total Imports","15730"
"","Trade Balance","65106709"
"Iran","Total Exports","59874946"
"","Total Imports","6336473"
"","Trade Balance","53538473"
"Cuba","Total Exports","53389755"
"","Total Imports","1722758"
"","Trade Balance","51666997"
"Lebanon","Total Exports","79361424"
"","Total Imports","30797372"
"","Trade Balance","48564052"
"Nepal","Total Exports","29198165"
"","Total Imports","1185359"
"","Trade Balance","28012806"
"Jamaica","Total Exports","31248549"
"","Total Imports","3982986"
"","Trade Balance","27265563"
"Kuwait","Total Exports","25781410"
"","Total Imports","2108933"
"","Trade Balance","23672477"
"Libya","Total Exports","21925775"
"","Total Imports","148410"
"","Trade Balance","21777365"
"Iraq","Total Exports","21470142"
"","Total Imports","1709"
"","Trade Balance","21468433"
"Haiti","Total Exports","21938344"
"","Total Imports","4602763"
"","Trade Balance","17335581"
"Barbados","Total Exports","19369960"
"","Total Imports","3554325"
"","Trade Balance","15815635"
"Gabon","Total Exports","15096652"
"","Total Imports","629752"
"","Trade Balance","14466900"
"U.S. Minor Outlying Islands","Total Exports","13436981"
"","Total Imports","248646"
"","Trade Balance","13188335"
"Jordan","Total Exports","29474026"
"","Total Imports","17134676"
"","Trade Balance","12339350"
"Armenia","Total Exports","12741883"
"","Total Imports","1376664"
"","Trade Balance","11365219"
"Kyrgyzstan","Total Exports","11368179"
"","Total Imports","20642"
"","Trade Balance","11347537"
"Mauritania","Total Exports","13346279"
"","Total Imports","2108515"
"","Trade Balance","11237764"
"Mali","Total Exports","13583847"
"","Total Imports","3371349"
"","Trade Balance","10212498"
"Niger","Total Exports","8803003"
"","Total Imports","106903"
"","Trade Balance","8696100"
"Venezuela","Total Exports","12037729"
"","Total Imports","3469150"
"","Trade Balance","8568579"
"Angola","Total Exports","7970112"
"","Total Imports","21423"
"","Trade Balance","7948689"
"Antigua and Barbuda","Total Exports","7947487"
"","Total Imports","18792"
"","Trade Balance","7928695"
"Kenya","Total Exports","14620513"
