"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Quebec"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2024"
"Units","Value in  canadian dollars"

"","","2024"
"United States","Total Exports","91215659906"
"","Total Imports","34592733075"
"","Trade Balance","56622926831"
"Japan","Total Exports","2061506365"
"","Total Imports","1148797923"
"","Trade Balance","912708442"
"United Arab Emirates","Total Exports","853805848"
"","Total Imports","252288203"
"","Trade Balance","601517645"
"Singapore","Total Exports","632429122"
"","Total Imports","287465502"
"","Trade Balance","344963620"
"Hong Kong","Total Exports","347190406"
"","Total Imports","49475567"
"","Trade Balance","297714839"
"Bonaire, Sint Eustatius and Saba","Total Exports","286477577"
"","Total Imports",""
"","Trade Balance","286477577"
"Philippines","Total Exports","370900788"
"","Total Imports","145429722"
"","Trade Balance","225471066"
"Saudi Arabia","Total Exports","204486071"
"","Total Imports","13615694"
"","Trade Balance","190870377"
"Malta","Total Exports","206590820"
"","Total Imports","29613453"
"","Trade Balance","176977367"
"Iran","Total Exports","173887261"
"","Total Imports","10758475"
"","Trade Balance","163128786"
"Bahamas","Total Exports","136405863"
"","Total Imports","2095104"
"","Trade Balance","134310759"
"Bahrain","Total Exports","152715755"
"","Total Imports","22489712"
"","Trade Balance","130226043"
"Latvia","Total Exports","124587545"
"","Total Imports","17371209"
"","Trade Balance","107216336"
"Bermuda","Total Exports","93760731"
"","Total Imports","167718"
"","Trade Balance","93593013"
"Turkmenistan","Total Exports","107411073"
"","Total Imports","16379082"
"","Trade Balance","91031991"
"Senegal","Total Exports","76309489"
"","Total Imports","2090418"
"","Trade Balance","74219071"
"Algeria","Total Exports","173673529"
"","Total Imports","110020526"
"","Trade Balance","63653003"
"Croatia","Total Exports","104625820"
"","Total Imports","41639884"
"","Trade Balance","62985936"
"Qatar","Total Exports","74564116"
"","Total Imports","19248011"
"","Trade Balance","55316105"
"Jordan","Total Exports","77120326"
"","Total Imports","26123281"
"","Trade Balance","50997045"
"Iraq","Total Exports","51290763"
"","Total Imports","471575"
"","Trade Balance","50819188"
"Angola","Total Exports","49992738"
"","Total Imports","146396"
"","Trade Balance","49846342"
"Portugal","Total Exports","322116572"
"","Total Imports","278868775"
"","Trade Balance","43247797"
"Libya","Total Exports","41587390"
"","Total Imports","115288"
"","Trade Balance","41472102"
"Fiji","Total Exports","40957469"
"","Total Imports","87115"
"","Trade Balance","40870354"
"Cuba","Total Exports","43602622"
"","Total Imports","2811666"
"","Trade Balance","40790956"
"Korea, South","Total Exports","1204855212"
"","Total Imports","1168004165"
"","Trade Balance","36851047"
"Panama","Total Exports","35433878"
"","Total Imports","2045929"
"","Trade Balance","33387949"
"Georgia","Total Exports","37590432"
"","Total Imports","9783390"
"","Trade Balance","27807042"
"Switzerland","Total Exports","1380648343"
"","Total Imports","1353788227"
"","Trade Balance","26860116"
"Burkina Faso","Total Exports","29488484"
"","Total Imports","2937245"
"","Trade Balance","26551239"
"Greenland","Total Exports","21453070"
"","Total Imports","392220"
"","Trade Balance","21060850"
"Benin","Total Exports","19288759"
"","Total Imports","624451"
"","Trade Balance","18664308"
"Mauritania","Total Exports","17394284"
"","Total Imports","609484"
"","Trade Balance","16784800"
"Barbados","Total Exports","17521892"
"","Total Imports","3374468"
"","Trade Balance","14147424"
