"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"United States","Total Exports","3406406581"
"","Total Imports","2178767527"
"","Trade Balance","1227639054"
"Japan","Total Exports","607258195"
"","Total Imports","11411539"
"","Trade Balance","595846656"
"China","Total Exports","336876142"
"","Total Imports","3780479"
"","Trade Balance","333095663"
"Korea, South","Total Exports","247835523"
"","Total Imports","4894881"
"","Trade Balance","242940642"
"Brazil","Total Exports","128136471"
"","Total Imports","2638471"
"","Trade Balance","125498000"
"Algeria","Total Exports","110249817"
"","Total Imports",""
"","Trade Balance","110249817"
"Mexico","Total Exports","113203850"
"","Total Imports","6632014"
"","Trade Balance","106571836"
"Belgium","Total Exports","117274997"
"","Total Imports","13384776"
"","Trade Balance","103890221"
"Indonesia","Total Exports","72831780"
"","Total Imports","237361"
"","Trade Balance","72594419"
"Malaysia","Total Exports","60767273"
"","Total Imports","107850"
"","Trade Balance","60659423"
"Iran","Total Exports","60145199"
"","Total Imports","495"
"","Trade Balance","60144704"
"Saudi Arabia","Total Exports","56163162"
"","Total Imports",""
"","Trade Balance","56163162"
"Australia","Total Exports","48928382"
"","Total Imports","508480"
"","Trade Balance","48419902"
"Russia","Total Exports","42447459"
"","Total Imports","154439"
"","Trade Balance","42293020"
"Colombia","Total Exports","42863745"
"","Total Imports","821740"
"","Trade Balance","42042005"
"Chile","Total Exports","43037963"
"","Total Imports","2802377"
"","Trade Balance","40235586"
"Venezuela","Total Exports","38745859"
"","Total Imports","15678"
"","Trade Balance","38730181"
"Libya","Total Exports","36671451"
"","Total Imports",""
"","Trade Balance","36671451"
"South Africa","Total Exports","32904761"
"","Total Imports","9221"
"","Trade Balance","32895540"
"Spain","Total Exports","32134258"
"","Total Imports","790940"
"","Trade Balance","31343318"
"Italy (incl. Vatican City State)","Total Exports","43441379"
"","Total Imports","16024774"
"","Trade Balance","27416605"
"France (incl. Monaco, French Antilles)","Total Exports","31009343"
"","Total Imports","5604777"
"","Trade Balance","25404566"
"Netherlands","Total Exports","25005773"
"","Total Imports","1363500"
"","Trade Balance","23642273"
"Uzbekistan","Total Exports","22116290"
"","Total Imports",""
"","Trade Balance","22116290"
"Taiwan","Total Exports","27617041"
"","Total Imports","7967033"
"","Trade Balance","19650008"
"Peru","Total Exports","18148374"
"","Total Imports","3590"
"","Trade Balance","18144784"
"Israel","Total Exports","15408951"
"","Total Imports","35509"
"","Trade Balance","15373442"
"New Zealand","Total Exports","16331538"
"","Total Imports","1190507"
"","Trade Balance","15141031"
"Poland","Total Exports","15353035"
"","Total Imports","336730"
"","Trade Balance","15016305"
"Azerbaijan","Total Exports","14766160"
"","Total Imports",""
"","Trade Balance","14766160"
"Cuba","Total Exports","14092578"
"","Total Imports",""
"","Trade Balance","14092578"
"Ecuador","Total Exports","14215473"
"","Total Imports","329801"
"","Trade Balance","13885672"
"United Kingdom","Total Exports","32944586"
"","Total Imports","19129949"
"","Trade Balance","13814637"
"India","Total Exports","13797225"
"","Total Imports","233366"
"","Trade Balance","13563859"
"Philippines","Total Exports","13536817"
"","Total Imports","26827"
"","Trade Balance","13509990"
"Thailand","Total Exports","12704089"
"","Total Imports","447461"
"","Trade Balance","12256628"
"Morocco","Total Exports","9904996"
"","Total Imports",""
"","Trade Balance","9904996"
"Korea, North","Total Exports","8960800"
"","Total Imports",""
"","Trade Balance","8960800"
"Ethiopia","Total Exports","8737114"
"","Total Imports","7722"
"","Trade Balance","8729392"
"Uruguay","Total Exports","8257242"
"","Total Imports","17974"
"","Trade Balance","8239268"
"U.S.S.R.","Total Exports","8133490"
"","Total Imports","29304"
"","Trade Balance","8104186"
"Bangladesh","Total Exports","8072944"
"","Total Imports","180"
"","Trade Balance","8072764"
"Austria","Total Exports","7423349"
"","Total Imports","749025"
"","Trade Balance","6674324"
"Singapore","Total Exports","5451527"
"","Total Imports","87785"
"","Trade Balance","5363742"
"Dominican Republic","Total Exports","5367545"
"","Total Imports","29512"
"","Trade Balance","5338033"
"Lebanon","Total Exports","5167317"
"","Total Imports",""
"","Trade Balance","5167317"
"Greece","Total Exports","5127408"
"","Total Imports","115163"
"","Trade Balance","5012245"
"Norway","Total Exports","5995479"
"","Total Imports","1018422"
"","Trade Balance","4977057"
"Jamaica","Total Exports","4731560"
"","Total Imports","205479"
"","Trade Balance","4526081"
"Türkiye","Total Exports","3950223"
"","Total Imports","23018"
"","Trade Balance","3927205"
"Egypt","Total Exports","3847024"
"","Total Imports","90"
"","Trade Balance","3846934"
"El Salvador","Total Exports","3871160"
"","Total Imports","26578"
"","Trade Balance","3844582"
"Mozambique","Total Exports","3761358"
"","Total Imports",""
"","Trade Balance","3761358"
"Ghana","Total Exports","3718400"
"","Total Imports",""
"","Trade Balance","3718400"
"Honduras","Total Exports","3672759"
"","Total Imports","878444"
"","Trade Balance","2794315"
"Belize","Total Exports","2406456"
"","Total Imports","10"
"","Trade Balance","2406446"
"Ireland","Total Exports","3603144"
"","Total Imports","1392833"
"","Trade Balance","2210311"
"Bulgaria","Total Exports","1475790"
"","Total Imports","32084"
"","Trade Balance","1443706"
"Panama","Total Exports","1416383"
"","Total Imports","24197"
"","Trade Balance","1392186"
"Sudan","Total Exports","1291966"
"","Total Imports",""
"","Trade Balance","1291966"
"Mauritius","Total Exports","1245643"
"","Total Imports","185"
"","Trade Balance","1245458"
"Bolivia","Total Exports","1242426"
"","Total Imports",""
"","Trade Balance","1242426"
"Yugoslavia  - Serbia and Montenegro","Total Exports","1204810"
"","Total Imports","44127"
"","Trade Balance","1160683"
"Hong Kong","Total Exports","2481661"
"","Total Imports","1491962"
"","Trade Balance","989699"
"Portugal","Total Exports","1135149"
"","Total Imports","168752"
"","Trade Balance","966397"
"Switzerland","Total Exports","1897070"
"","Total Imports","1068205"
"","Trade Balance","828865"
"Syria","Total Exports","812581"
"","Total Imports","20"
"","Trade Balance","812561"
"Kenya","Total Exports","803897"
"","Total Imports","6427"
"","Trade Balance","797470"
"Romania","Total Exports","1277564"
