"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1994"
"Units","Value in  canadian dollars"

"","","1994"
"United States","Total Exports","3964664538"
"","Total Imports","2623932560"
"","Trade Balance","1340731978"
"Japan","Total Exports","630968982"
"","Total Imports","19639438"
"","Trade Balance","611329544"
"China","Total Exports","558230029"
"","Total Imports","5134866"
"","Trade Balance","553095163"
"Korea, South","Total Exports","328140971"
"","Total Imports","3369117"
"","Trade Balance","324771854"
"Algeria","Total Exports","276555519"
"","Total Imports",""
"","Trade Balance","276555519"
"Belgium","Total Exports","212760962"
"","Total Imports","2813823"
"","Trade Balance","209947139"
"Brazil","Total Exports","176681619"
"","Total Imports","3478822"
"","Trade Balance","173202797"
"Mexico","Total Exports","177799125"
"","Total Imports","7093301"
"","Trade Balance","170705824"
"Iran","Total Exports","166445064"
"","Total Imports","2187"
"","Trade Balance","166442877"
"France (incl. Monaco, French Antilles)","Total Exports","85638362"
"","Total Imports","9886630"
"","Trade Balance","75751732"
"Malaysia","Total Exports","74016463"
"","Total Imports","114256"
"","Trade Balance","73902207"
"Indonesia","Total Exports","67914729"
"","Total Imports","286489"
"","Trade Balance","67628240"
"Chile","Total Exports","68733358"
"","Total Imports","3345036"
"","Trade Balance","65388322"
"Italy (incl. Vatican City State)","Total Exports","87852206"
"","Total Imports","29431105"
"","Trade Balance","58421101"
"Netherlands","Total Exports","57300605"
"","Total Imports","1253082"
"","Trade Balance","56047523"
"Colombia","Total Exports","54142915"
"","Total Imports","1384056"
"","Trade Balance","52758859"
"Venezuela","Total Exports","48682584"
"","Total Imports","81308"
"","Trade Balance","48601276"
"Australia","Total Exports","44143727"
"","Total Imports","549201"
"","Trade Balance","43594526"
"Taiwan","Total Exports","42708065"
"","Total Imports","6216377"
"","Trade Balance","36491688"
"Libya","Total Exports","32835289"
"","Total Imports",""
"","Trade Balance","32835289"
"Spain","Total Exports","27613798"
"","Total Imports","567499"
"","Trade Balance","27046299"
"United Kingdom","Total Exports","46114566"
"","Total Imports","21323250"
"","Trade Balance","24791316"
"Bangladesh","Total Exports","24597366"
"","Total Imports","8578"
"","Trade Balance","24588788"
"India","Total Exports","24500262"
"","Total Imports","458024"
"","Trade Balance","24042238"
"Saudi Arabia","Total Exports","20968932"
"","Total Imports",""
"","Trade Balance","20968932"
"Ecuador","Total Exports","19351305"
"","Total Imports","835356"
"","Trade Balance","18515949"
"Peru","Total Exports","17367660"
"","Total Imports","19241"
"","Trade Balance","17348419"
"New Zealand","Total Exports","17382001"
"","Total Imports","604465"
"","Trade Balance","16777536"
"Thailand","Total Exports","16478796"
"","Total Imports","334286"
"","Trade Balance","16144510"
"Türkiye","Total Exports","14754656"
"","Total Imports","120839"
"","Trade Balance","14633817"
"Cuba","Total Exports","12319177"
"","Total Imports",""
"","Trade Balance","12319177"
"South Africa","Total Exports","12190516"
"","Total Imports","1723127"
"","Trade Balance","10467389"
"Israel","Total Exports","10206678"
"","Total Imports","201559"
"","Trade Balance","10005119"
"Austria","Total Exports","10504242"
"","Total Imports","666788"
"","Trade Balance","9837454"
"Uzbekistan","Total Exports","7789994"
"","Total Imports",""
"","Trade Balance","7789994"
"Philippines","Total Exports","7013845"
"","Total Imports","37268"
"","Trade Balance","6976577"
"Switzerland","Total Exports","7473835"
"","Total Imports","1016879"
"","Trade Balance","6456956"
"Pakistan","Total Exports","6185518"
"","Total Imports","78843"
"","Trade Balance","6106675"
"Bolivia","Total Exports","5951235"
"","Total Imports","3054"
"","Trade Balance","5948181"
"Greece","Total Exports","6002886"
"","Total Imports","77123"
"","Trade Balance","5925763"
"Ireland","Total Exports","7694226"
"","Total Imports","1826068"
"","Trade Balance","5868158"
"Egypt","Total Exports","5828550"
"","Total Imports","65"
"","Trade Balance","5828485"
"Portugal","Total Exports","5746102"
"","Total Imports","565619"
"","Trade Balance","5180483"
"Mozambique","Total Exports","4541282"
"","Total Imports","11632"
"","Trade Balance","4529650"
"Uruguay","Total Exports","4661682"
"","Total Imports","229246"
"","Trade Balance","4432436"
"Poland","Total Exports","4128557"
"","Total Imports","186844"
"","Trade Balance","3941713"
"Ethiopia","Total Exports","3007832"
"","Total Imports","24959"
"","Trade Balance","2982873"
"Sudan","Total Exports","2960577"
"","Total Imports",""
"","Trade Balance","2960577"
"Ghana","Total Exports","2851878"
"","Total Imports",""
"","Trade Balance","2851878"
"Morocco","Total Exports","2801273"
"","Total Imports","1096"
"","Trade Balance","2800177"
"Hong Kong","Total Exports","3289307"
"","Total Imports","501205"
"","Trade Balance","2788102"
"Singapore","Total Exports","3000017"
"","Total Imports","508624"
"","Trade Balance","2491393"
"Finland","Total Exports","4423399"
"","Total Imports","1950767"
"","Trade Balance","2472632"
"Argentina","Total Exports","2497321"
"","Total Imports","126424"
"","Trade Balance","2370897"
"Jamaica","Total Exports","2264050"
"","Total Imports","168916"
"","Trade Balance","2095134"
"Cambodia (Kampuchea)","Total Exports","2091964"
"","Total Imports",""
"","Trade Balance","2091964"
"Dominican Republic","Total Exports","1967986"
"","Total Imports","11170"
"","Trade Balance","1956816"
"Kenya","Total Exports","1712926"
"","Total Imports","61391"
"","Trade Balance","1651535"
"Oman (formerly Muscat and Oman)","Total Exports","1591177"
"","Total Imports",""
"","Trade Balance","1591177"
"Vietnam","Total Exports","1477960"
"","Total Imports","78"
"","Trade Balance","1477882"
"Panama","Total Exports","1293344"
"","Total Imports","24266"
"","Trade Balance","1269078"
"Lebanon","Total Exports","1231050"
"","Total Imports",""
"","Trade Balance","1231050"
"Honduras","Total Exports","1831100"
"","Total Imports","612063"
"","Trade Balance","1219037"
"El Salvador","Total Exports","1233327"
"","Total Imports","55685"
"","Trade Balance","1177642"
"Cyprus","Total Exports","1125750"
"","Total Imports",""
"","Trade Balance","1125750"
"Denmark","Total Exports","2888963"
"","Total Imports","1948895"
"","Trade Balance","940068"
"Trinidad and Tobago","Total Exports","941633"
"","Total Imports","6000"
"","Trade Balance","935633"
"Guatemala","Total Exports","2671479"
"","Total Imports","1776075"
"","Trade Balance","895404"
"Fiji","Total Exports","882089"
"","Total Imports","3031"
"","Trade Balance","879058"
"United Arab Emirates","Total Exports","842139"
"","Total Imports",""
"","Trade Balance","842139"
"Cameroon","Total Exports","669896"
"","Total Imports",""
"","Trade Balance","669896"
"Kuwait","Total Exports","669508"
"","Total Imports",""
"","Trade Balance","669508"
"Côte-d'Ivoire","Total Exports","623337"
"","Total Imports","2750"
"","Trade Balance","620587"
"Togo","Total Exports","601683"
"","Total Imports",""
"","Trade Balance","601683"
"Mauritius","Total Exports","582937"
"","Total Imports","56"
"","Trade Balance","582881"
"Tunisia","Total Exports","600814"
"","Total Imports","19575"
"","Trade Balance","581239"
"Malta","Total Exports","579355"
"","Total Imports","348"
"","Trade Balance","579007"
"Angola","Total Exports","536831"
"","Total Imports",""
"","Trade Balance","536831"
"Botswana","Total Exports","459356"
"","Total Imports",""
"","Trade Balance","459356"
"Senegal","Total Exports","457758"
"","Total Imports","835"
"","Trade Balance","456923"
"Benin","Total Exports","445502"
"","Total Imports",""
"","Trade Balance","445502"
"Jordan","Total Exports","396248"
"","Total Imports",""
"","Trade Balance","396248"
"Mali","Total Exports","331223"
"","Total Imports",""
"","Trade Balance","331223"
"Iceland","Total Exports","319723"
"","Total Imports","10040"
"","Trade Balance","309683"
"Kyrgyzstan","Total Exports","306967"
"","Total Imports","813"
