"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1995"
"Units","Value in  canadian dollars"

"","","1995"
"United States","Total Exports","4365290669"
"","Total Imports","2832638027"
"","Trade Balance","1532652642"
"China","Total Exports","935504159"
"","Total Imports","6138647"
"","Trade Balance","929365512"
"Japan","Total Exports","796731130"
"","Total Imports","23144374"
"","Trade Balance","773586756"
"Algeria","Total Exports","376408838"
"","Total Imports","4843"
"","Trade Balance","376403995"
"Belgium","Total Exports","305976393"
"","Total Imports","4375888"
"","Trade Balance","301600505"
"Iran","Total Exports","192072337"
"","Total Imports","15776"
"","Trade Balance","192056561"
"Mexico","Total Exports","179162374"
"","Total Imports","10262615"
"","Trade Balance","168899759"
"Brazil","Total Exports","153174502"
"","Total Imports","2100815"
"","Trade Balance","151073687"
"Korea, South","Total Exports","118984866"
"","Total Imports","2606668"
"","Trade Balance","116378198"
"Spain","Total Exports","95426287"
"","Total Imports","1093243"
"","Trade Balance","94333044"
"Italy (incl. Vatican City State)","Total Exports","112188306"
"","Total Imports","19038819"
"","Trade Balance","93149487"
"Malaysia","Total Exports","92248115"
"","Total Imports","305248"
"","Trade Balance","91942867"
"France (incl. Monaco, French Antilles)","Total Exports","107926954"
"","Total Imports","19678600"
"","Trade Balance","88248354"
"Indonesia","Total Exports","77204587"
"","Total Imports","275930"
"","Trade Balance","76928657"
"Netherlands","Total Exports","78054613"
"","Total Imports","2354041"
"","Trade Balance","75700572"
"Venezuela","Total Exports","66295252"
"","Total Imports","582127"
"","Trade Balance","65713125"
"Tunisia","Total Exports","64258539"
"","Total Imports","1"
"","Trade Balance","64258538"
"Chile","Total Exports","60323007"
"","Total Imports","2680132"
"","Trade Balance","57642875"
"Australia","Total Exports","59838286"
"","Total Imports","2545261"
"","Trade Balance","57293025"
"Morocco","Total Exports","54204658"
"","Total Imports","4656"
"","Trade Balance","54200002"
"Taiwan","Total Exports","59000575"
"","Total Imports","9231843"
"","Trade Balance","49768732"
"Colombia","Total Exports","42251804"
"","Total Imports","1957492"
"","Trade Balance","40294312"
"United Kingdom","Total Exports","60178931"
"","Total Imports","22844785"
"","Trade Balance","37334146"
"Libya","Total Exports","37141136"
"","Total Imports",""
"","Trade Balance","37141136"
"New Zealand","Total Exports","33515654"
"","Total Imports","329803"
"","Trade Balance","33185851"
"India","Total Exports","28610750"
"","Total Imports","506265"
"","Trade Balance","28104485"
"Thailand","Total Exports","28361001"
"","Total Imports","592859"
"","Trade Balance","27768142"
"Austria","Total Exports","24836433"
"","Total Imports","2331039"
"","Trade Balance","22505394"
"Peru","Total Exports","21713194"
"","Total Imports","40572"
"","Trade Balance","21672622"
"South Africa","Total Exports","23192496"
"","Total Imports","1562512"
"","Trade Balance","21629984"
"Pakistan","Total Exports","20627247"
"","Total Imports","96992"
"","Trade Balance","20530255"
"Türkiye","Total Exports","19924840"
"","Total Imports","523376"
"","Trade Balance","19401464"
"Philippines","Total Exports","19523156"
"","Total Imports","246736"
"","Trade Balance","19276420"
"Cuba","Total Exports","15976059"
"","Total Imports",""
"","Trade Balance","15976059"
"Argentina","Total Exports","14115670"
"","Total Imports","551558"
"","Trade Balance","13564112"
"Portugal","Total Exports","12439447"
"","Total Imports","1264127"
"","Trade Balance","11175320"
"Poland","Total Exports","11291179"
"","Total Imports","486414"
"","Trade Balance","10804765"
"Bangladesh","Total Exports","9047836"
"","Total Imports",""
"","Trade Balance","9047836"
"Saudi Arabia","Total Exports","7952036"
"","Total Imports","67969"
"","Trade Balance","7884067"
"Ecuador","Total Exports","7127664"
"","Total Imports","838291"
"","Trade Balance","6289373"
"Greece","Total Exports","6315729"
"","Total Imports","77143"
"","Trade Balance","6238586"
"Denmark","Total Exports","9140775"
"","Total Imports","3010946"
"","Trade Balance","6129829"
"United Arab Emirates","Total Exports","5851830"
"","Total Imports","531"
"","Trade Balance","5851299"
"Ireland","Total Exports","7088866"
"","Total Imports","1635519"
"","Trade Balance","5453347"
"Costa Rica","Total Exports","7014077"
"","Total Imports","1611029"
"","Trade Balance","5403048"
"Cameroon","Total Exports","4629977"
"","Total Imports",""
"","Trade Balance","4629977"
"Panama","Total Exports","4279422"
"","Total Imports","154558"
"","Trade Balance","4124864"
"Mozambique","Total Exports","3947274"
"","Total Imports",""
"","Trade Balance","3947274"
"Afghanistan","Total Exports","3109268"
"","Total Imports","9700"
"","Trade Balance","3099568"
"Tanzania","Total Exports","2937418"
"","Total Imports","35718"
"","Trade Balance","2901700"
"Ethiopia","Total Exports","2756324"
"","Total Imports","2485"
"","Trade Balance","2753839"
"Vietnam","Total Exports","2753237"
"","Total Imports","1494"
"","Trade Balance","2751743"
"Lebanon","Total Exports","2681487"
"","Total Imports",""
"","Trade Balance","2681487"
"Guatemala","Total Exports","3048472"
"","Total Imports","574465"
"","Trade Balance","2474007"
"Uruguay","Total Exports","2183507"
"","Total Imports","22764"
"","Trade Balance","2160743"
"Singapore","Total Exports","2296792"
"","Total Imports","240630"
"","Trade Balance","2056162"
"Slovakia","Total Exports","2062967"
"","Total Imports","12463"
"","Trade Balance","2050504"
"Jordan","Total Exports","1986410"
"","Total Imports",""
"","Trade Balance","1986410"
"Trinidad and Tobago","Total Exports","1891086"
"","Total Imports","1450"
"","Trade Balance","1889636"
"Mali","Total Exports","1695410"
"","Total Imports","179"
"","Trade Balance","1695231"
"Israel","Total Exports","1849477"
"","Total Imports","181976"
"","Trade Balance","1667501"
"Botswana","Total Exports","1529447"
"","Total Imports",""
"","Trade Balance","1529447"
"Czech Republic","Total Exports","1633109"
"","Total Imports","279725"
"","Trade Balance","1353384"
"Mauritius","Total Exports","1321730"
"","Total Imports",""
"","Trade Balance","1321730"
"Ukraine","Total Exports","1261823"
"","Total Imports","31985"
"","Trade Balance","1229838"
"Bolivia","Total Exports","1139372"
"","Total Imports",""
"","Trade Balance","1139372"
"Ghana","Total Exports","1089872"
"","Total Imports",""
"","Trade Balance","1089872"
"Switzerland","Total Exports","3654431"
"","Total Imports","2567605"
"","Trade Balance","1086826"
"Mauritania","Total Exports","1015903"
"","Total Imports",""
"","Trade Balance","1015903"
"Kyrgyzstan","Total Exports","986778"
"","Total Imports","25400"
"","Trade Balance","961378"
"Egypt","Total Exports","758701"
"","Total Imports","3598"
"","Trade Balance","755103"
"Cyprus","Total Exports","730325"
"","Total Imports",""
"","Trade Balance","730325"
"Malta","Total Exports","678722"
"","Total Imports","115"
"","Trade Balance","678607"
"Hong Kong","Total Exports","1294674"
"","Total Imports","635100"
"","Trade Balance","659574"
"El Salvador","Total Exports","675154"
"","Total Imports","38823"
"","Trade Balance","636331"
"Fiji","Total Exports","626735"
"","Total Imports","3624"
"","Trade Balance","623111"
"Benin","Total Exports","477574"
"","Total Imports",""
"","Trade Balance","477574"
"Luxembourg","Total Exports","421702"
"","Total Imports",""
"","Trade Balance","421702"
"Oman (formerly Muscat and Oman)","Total Exports","388841"
"","Total Imports",""
"","Trade Balance","388841"
"Dominican Republic","Total Exports","431259"
"","Total Imports","49497"
"","Trade Balance","381762"
"Yemen","Total Exports","359818"
"","Total Imports","704"
"","Trade Balance","359114"
"Slovenia","Total Exports","317597"
"","Total Imports","10743"
"","Trade Balance","306854"
"Greenland","Total Exports","270016"
"","Total Imports",""
"","Trade Balance","270016"
"Iraq","Total Exports","222936"
"","Total Imports",""
"","Trade Balance","222936"
"Kuwait","Total Exports","208006"
"","Total Imports",""
"","Trade Balance","208006"
"Russia","Total Exports","685638"
"","Total Imports","499078"
"","Trade Balance","186560"
"Réunion Island","Total Exports","183560"
"","Total Imports",""
"","Trade Balance","183560"
"Iceland","Total Exports","159466"
"","Total Imports","2774"
"","Trade Balance","156692"
"Yugoslavia  - Serbia and Montenegro","Total Exports","175863"
"","Total Imports","26843"
"","Trade Balance","149020"
"Brunei Darussalam","Total Exports","144104"
"","Total Imports",""
"","Trade Balance","144104"
"Sri Lanka","Total Exports","151401"
"","Total Imports","15837"
"","Trade Balance","135564"
"Suriname","Total Exports","120700"
"","Total Imports",""
"","Trade Balance","120700"
"Kenya","Total Exports","133175"
"","Total Imports","13631"
"","Trade Balance","119544"
"Barbados","Total Exports","146662"
"","Total Imports","33001"
"","Trade Balance","113661"
"Belize","Total Exports","79224"
"","Total Imports",""
"","Trade Balance","79224"
"Cayman Islands","Total Exports","57634"
"","Total Imports",""
"","Trade Balance","57634"
"Haiti","Total Exports","50620"
"","Total Imports","2983"
"","Trade Balance","47637"
"Kazakhstan","Total Exports","47024"
"","Total Imports",""
"","Trade Balance","47024"
"Sudan","Total Exports","41308"
"","Total Imports",""
"","Trade Balance","41308"
"Grenada","Total Exports","39522"
"","Total Imports",""
"","Trade Balance","39522"
"Martinique","Total Exports","38595"
"","Total Imports",""
"","Trade Balance","38595"
"Georgia","Total Exports","37983"
"","Total Imports",""
"","Trade Balance","37983"
"Nigeria","Total Exports","32094"
"","Total Imports","1047"
"","Trade Balance","31047"
"Saint Lucia","Total Exports","30629"
"","Total Imports",""
"","Trade Balance","30629"
"Antigua and Barbuda","Total Exports","26358"
"","Total Imports","67"
"","Trade Balance","26291"
"French Polynesia","Total Exports","25850"
"","Total Imports",""
"","Trade Balance","25850"
"Western Sahara","Total Exports","23442"
"","Total Imports",""
"","Trade Balance","23442"
"Latvia","Total Exports","15859"
"","Total Imports",""
"","Trade Balance","15859"
"Paraguay","Total Exports","13972"
"","Total Imports",""
"","Trade Balance","13972"
"Guadeloupe","Total Exports","13908"
"","Total Imports",""
"","Trade Balance","13908"
"Zimbabwe","Total Exports","15900"
"","Total Imports","4976"
"","Trade Balance","10924"
"Dominica","Total Exports","9242"
"","Total Imports",""
"","Trade Balance","9242"
"Moldova","Total Exports","9195"
"","Total Imports","68"
"","Trade Balance","9127"
"Netherlands Antilles","Total Exports","8799"
"","Total Imports",""
"","Trade Balance","8799"
"Bouvet Island","Total Exports","7106"
"","Total Imports",""
"","Trade Balance","7106"
"Papua New Guinea","Total Exports","5727"
"","Total Imports",""
"","Trade Balance","5727"
"Albania","Total Exports","5604"
"","Total Imports","163"
"","Trade Balance","5441"
"Macau (Macao)","Total Exports","5983"
"","Total Imports","687"
"","Trade Balance","5296"
"Rwanda","Total Exports","5000"
"","Total Imports",""
"","Trade Balance","5000"
"Bahrain","Total Exports","2500"
"","Total Imports",""
"","Trade Balance","2500"
"Syria","Total Exports",""
"","Total Imports","5"
"","Trade Balance","-5"
"Bahamas","Total Exports",""
"","Total Imports","42"
"","Trade Balance","-42"
"Madagascar","Total Exports","10701"
"","Total Imports","10836"
"","Trade Balance","-135"
"Cook Islands","Total Exports",""
"","Total Imports","139"
"","Trade Balance","-139"
"Sao Tomé-Principe","Total Exports",""
"","Total Imports","288"
"","Trade Balance","-288"
"Comoros","Total Exports",""
"","Total Imports","515"
"","Trade Balance","-515"
"Sierra Leone","Total Exports",""
"","Total Imports","903"
"","Trade Balance","-903"
"Tokelau","Total Exports",""
"","Total Imports","1168"
"","Trade Balance","-1168"
"Swaziland","Total Exports",""
"","Total Imports","1747"
"","Trade Balance","-1747"
"Nicaragua","Total Exports","7294"
"","Total Imports","13781"
"","Trade Balance","-6487"
"Niger","Total Exports",""
"","Total Imports","6665"
"","Trade Balance","-6665"
"Estonia","Total Exports",""
"","Total Imports","7201"
"","Trade Balance","-7201"
"Nepal","Total Exports",""
"","Total Imports","9774"
"","Trade Balance","-9774"
"Bulgaria","Total Exports","17517"
"","Total Imports","36918"
"","Trade Balance","-19401"
"Guyana","Total Exports","14996"
"","Total Imports","60499"
"","Trade Balance","-45503"
"North Macedonia","Total Exports",""
"","Total Imports","79691"
"","Trade Balance","-79691"
"Jamaica","Total Exports","86630"
"","Total Imports","177786"
"","Trade Balance","-91156"
"Hungary","Total Exports","40095"
"","Total Imports","178409"
"","Trade Balance","-138314"
"Croatia","Total Exports","22800"
"","Total Imports","203414"
"","Trade Balance","-180614"
"Pitcairn Island","Total Exports",""
"","Total Imports","256183"
"","Trade Balance","-256183"
"Honduras","Total Exports","13165"
"","Total Imports","440345"
"","Trade Balance","-427180"
