"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1996"
"Units","Value in  canadian dollars"

"","","1996"
"United States","Total Exports","4808890462"
"","Total Imports","3190286900"
"","Trade Balance","1618603562"
"Japan","Total Exports","772239610"
"","Total Imports","29344115"
"","Trade Balance","742895495"
"China","Total Exports","679501470"
"","Total Imports","7251502"
"","Trade Balance","672249968"
"Iran","Total Exports","271143011"
"","Total Imports","19743"
"","Trade Balance","271123268"
"Brazil","Total Exports","264318853"
"","Total Imports","2461343"
"","Trade Balance","261857510"
"Algeria","Total Exports","259089480"
"","Total Imports",""
"","Trade Balance","259089480"
"Indonesia","Total Exports","204004588"
"","Total Imports","360415"
"","Trade Balance","203644173"
"Belgium","Total Exports","188156705"
"","Total Imports","4098327"
"","Trade Balance","184058378"
"Mexico","Total Exports","196272297"
"","Total Imports","16515097"
"","Trade Balance","179757200"
"Korea, South","Total Exports","163885430"
"","Total Imports","3467085"
"","Trade Balance","160418345"
"Venezuela","Total Exports","128793070"
"","Total Imports","211060"
"","Trade Balance","128582010"
"Colombia","Total Exports","107705462"
"","Total Imports","1385988"
"","Trade Balance","106319474"
"Saudi Arabia","Total Exports","84885685"
"","Total Imports","559"
"","Trade Balance","84885126"
"Malaysia","Total Exports","84009190"
"","Total Imports","652855"
"","Trade Balance","83356335"
"Chile","Total Exports","84931400"
"","Total Imports","2490532"
"","Trade Balance","82440868"
"Australia","Total Exports","76960602"
"","Total Imports","1261636"
"","Trade Balance","75698966"
"Morocco","Total Exports","62719893"
"","Total Imports","3147"
"","Trade Balance","62716746"
"Italy (incl. Vatican City State)","Total Exports","90079856"
"","Total Imports","36499902"
"","Trade Balance","53579954"
"Spain","Total Exports","53464879"
"","Total Imports","2169746"
"","Trade Balance","51295133"
"Hong Kong","Total Exports","49184923"
"","Total Imports","596677"
"","Trade Balance","48588246"
"Thailand","Total Exports","41283601"
"","Total Imports","627321"
"","Trade Balance","40656280"
"Netherlands","Total Exports","43486490"
"","Total Imports","4973447"
"","Trade Balance","38513043"
"United Kingdom","Total Exports","66742190"
"","Total Imports","29563750"
"","Trade Balance","37178440"
"Libya","Total Exports","36937756"
"","Total Imports",""
"","Trade Balance","36937756"
"New Zealand","Total Exports","34376259"
"","Total Imports","170071"
"","Trade Balance","34206188"
"Cuba","Total Exports","33848704"
"","Total Imports",""
"","Trade Balance","33848704"
"Philippines","Total Exports","32994065"
"","Total Imports","177024"
"","Trade Balance","32817041"
"Peru","Total Exports","31151915"
"","Total Imports","31750"
"","Trade Balance","31120165"
"Taiwan","Total Exports","36408089"
"","Total Imports","5655386"
"","Trade Balance","30752703"
"France (incl. Monaco, French Antilles)","Total Exports","49397836"
"","Total Imports","20629317"
"","Trade Balance","28768519"
"Ecuador","Total Exports","17354023"
"","Total Imports","870931"
"","Trade Balance","16483092"
"Poland","Total Exports","15816491"
"","Total Imports","643178"
"","Trade Balance","15173313"
"Guatemala","Total Exports","15562786"
"","Total Imports","824635"
"","Trade Balance","14738151"
"South Africa","Total Exports","15771625"
"","Total Imports","1549311"
"","Trade Balance","14222314"
"Sri Lanka","Total Exports","11988647"
"","Total Imports","27382"
"","Trade Balance","11961265"
"Ethiopia","Total Exports","11231998"
"","Total Imports","834"
"","Trade Balance","11231164"
"Bangladesh","Total Exports","10855732"
"","Total Imports","4623"
"","Trade Balance","10851109"
"Israel","Total Exports","10335876"
"","Total Imports","205719"
"","Trade Balance","10130157"
"Kyrgyzstan","Total Exports","10000477"
"","Total Imports","5794"
"","Trade Balance","9994683"
"Türkiye","Total Exports","9988248"
"","Total Imports","38836"
"","Trade Balance","9949412"
"Austria","Total Exports","11165868"
"","Total Imports","1280764"
"","Trade Balance","9885104"
"India","Total Exports","9030022"
"","Total Imports","578244"
"","Trade Balance","8451778"
"Egypt","Total Exports","7113232"
"","Total Imports","2991"
"","Trade Balance","7110241"
"Kenya","Total Exports","7016614"
"","Total Imports","1822"
"","Trade Balance","7014792"
"Greece","Total Exports","6643329"
"","Total Imports","103986"
"","Trade Balance","6539343"
"Vietnam","Total Exports","6052710"
"","Total Imports","3461"
"","Trade Balance","6049249"
"Bolivia","Total Exports","5579343"
"","Total Imports",""
"","Trade Balance","5579343"
"Ireland","Total Exports","6695510"
"","Total Imports","1946390"
"","Trade Balance","4749120"
"Argentina","Total Exports","6678261"
"","Total Imports","2665850"
"","Trade Balance","4012411"
"Nigeria","Total Exports","3604912"
"","Total Imports",""
"","Trade Balance","3604912"
"Kuwait","Total Exports","3271884"
"","Total Imports",""
"","Trade Balance","3271884"
"Tanzania","Total Exports","3250911"
"","Total Imports","31244"
"","Trade Balance","3219667"
"Fiji","Total Exports","3061145"
"","Total Imports","1455"
"","Trade Balance","3059690"
"Mozambique","Total Exports","2921608"
"","Total Imports",""
"","Trade Balance","2921608"
"Trinidad and Tobago","Total Exports","2401298"
"","Total Imports",""
"","Trade Balance","2401298"
"Finland","Total Exports","6825637"
"","Total Imports","4472841"
"","Trade Balance","2352796"
"Panama","Total Exports","2498473"
"","Total Imports","321566"
"","Trade Balance","2176907"
"Tunisia","Total Exports","2089045"
"","Total Imports",""
"","Trade Balance","2089045"
"Cyprus","Total Exports","2061958"
"","Total Imports",""
"","Trade Balance","2061958"
"Sudan","Total Exports","2025200"
"","Total Imports",""
"","Trade Balance","2025200"
"Ukraine","Total Exports","1836188"
"","Total Imports","2620"
"","Trade Balance","1833568"
"Singapore","Total Exports","1913817"
