"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1998"
"Units","Value in  canadian dollars"

"","","1998"
"United States","Total Exports","5413925047"
"","Total Imports","4148857404"
"","Trade Balance","1265067643"
"Japan","Total Exports","707434452"
"","Total Imports","19270649"
"","Trade Balance","688163803"
"China","Total Exports","631005836"
"","Total Imports","15997910"
"","Trade Balance","615007926"
"Algeria","Total Exports","411360260"
"","Total Imports",""
"","Trade Balance","411360260"
"Brazil","Total Exports","199524157"
"","Total Imports","3807300"
"","Trade Balance","195716857"
"Italy (incl. Vatican City State)","Total Exports","161678327"
"","Total Imports","26329391"
"","Trade Balance","135348936"
"Indonesia","Total Exports","131448121"
"","Total Imports","1206211"
"","Trade Balance","130241910"
"Colombia","Total Exports","119865153"
"","Total Imports","601515"
"","Trade Balance","119263638"
"Belgium","Total Exports","123401002"
"","Total Imports","4794276"
"","Trade Balance","118606726"
"Mexico","Total Exports","271281643"
"","Total Imports","159900967"
"","Trade Balance","111380676"
"Malaysia","Total Exports","111603981"
"","Total Imports","1372294"
"","Trade Balance","110231687"
"Venezuela","Total Exports","107093571"
"","Total Imports","255780"
"","Trade Balance","106837791"
"Morocco","Total Exports","92034993"
"","Total Imports","61811"
"","Trade Balance","91973182"
"Ecuador","Total Exports","83502211"
"","Total Imports","1593847"
"","Trade Balance","81908364"
"Iran","Total Exports","79778414"
"","Total Imports","24189"
"","Trade Balance","79754225"
"Korea, South","Total Exports","76822490"
"","Total Imports","2774559"
"","Trade Balance","74047931"
"Australia","Total Exports","70085433"
"","Total Imports","2095281"
"","Trade Balance","67990152"
"India","Total Exports","66579004"
"","Total Imports","1098662"
"","Trade Balance","65480342"
"Spain","Total Exports","65921426"
"","Total Imports","1308132"
"","Trade Balance","64613294"
"Netherlands","Total Exports","65691450"
"","Total Imports","3158305"
"","Trade Balance","62533145"
"Peru","Total Exports","61744053"
"","Total Imports","66452"
