"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1999"
"Units","Value in  canadian dollars"

"","","1999"
"United States","Total Exports","5618047581"
"","Total Imports","3743620071"
"","Trade Balance","1874427510"
"Japan","Total Exports","641584963"
"","Total Imports","36264662"
"","Trade Balance","605320301"
"China","Total Exports","572061287"
"","Total Imports","24523265"
"","Trade Balance","547538022"
"Algeria","Total Exports","308435254"
"","Total Imports","2551"
"","Trade Balance","308432703"
"Iran","Total Exports","157735989"
"","Total Imports","12"
"","Trade Balance","157735977"
"Brazil","Total Exports","133786860"
"","Total Imports","2472826"
"","Trade Balance","131314034"
"Korea, South","Total Exports","116468927"
"","Total Imports","3824847"
"","Trade Balance","112644080"
"Malaysia","Total Exports","107649405"
"","Total Imports","1111800"
"","Trade Balance","106537605"
"Venezuela","Total Exports","106080997"
"","Total Imports","1572618"
"","Trade Balance","104508379"
"Indonesia","Total Exports","105912442"
"","Total Imports","1429682"
"","Trade Balance","104482760"
"France (incl. Monaco, French Antilles)","Total Exports","110918193"
"","Total Imports","9200913"
"","Trade Balance","101717280"
"India","Total Exports","93913263"
"","Total Imports","1328550"
"","Trade Balance","92584713"
"Spain","Total Exports","90190682"
"","Total Imports","2673083"
"","Trade Balance","87517599"
"Morocco","Total Exports","86731190"
"","Total Imports","507591"
"","Trade Balance","86223599"
"Belgium","Total Exports","90580311"
"","Total Imports","8929162"
"","Trade Balance","81651149"
"Australia","Total Exports","71595756"
"","Total Imports","2226147"
"","Trade Balance","69369609"
"Colombia","Total Exports","67688136"
"","Total Imports","1166713"
"","Trade Balance","66521423"
"Bangladesh","Total Exports","66117695"
"","Total Imports","1298"
"","Trade Balance","66116397"
"Italy (incl. Vatican City State)","Total Exports","97115067"
"","Total Imports","31175362"
"","Trade Balance","65939705"
"Cuba","Total Exports","56226750"
"","Total Imports","8813"
"","Trade Balance","56217937"
"Chile","Total Exports","57583942"
"","Total Imports","1853857"
"","Trade Balance","55730085"
"Philippines","Total Exports","54466185"
"","Total Imports","89223"
"","Trade Balance","54376962"
"Peru","Total Exports","53493934"
"","Total Imports","10744"
"","Trade Balance","53483190"
"Guatemala","Total Exports","51332474"
"","Total Imports","673885"
"","Trade Balance","50658589"
"Taiwan","Total Exports","51989914"
"","Total Imports","8606490"
"","Trade Balance","43383424"
"United Kingdom","Total Exports","63794763"
"","Total Imports","23538662"
"","Trade Balance","40256101"
"Türkiye","Total Exports","36267716"
"","Total Imports","291693"
"","Trade Balance","35976023"
"Thailand","Total Exports","36738840"
"","Total Imports","1222255"
"","Trade Balance","35516585"
"Netherlands","Total Exports","39332373"
"","Total Imports","5870760"
"","Trade Balance","33461613"
"New Zealand","Total Exports","33047884"
"","Total Imports","1903695"
"","Trade Balance","31144189"
"Mexico","Total Exports","205157997"
"","Total Imports","174952668"
"","Trade Balance","30205329"
"United Arab Emirates","Total Exports","24917355"
"","Total Imports",""
"","Trade Balance","24917355"
"Libya","Total Exports","23860597"
"","Total Imports",""
"","Trade Balance","23860597"
"Ecuador","Total Exports","24260545"
"","Total Imports","1119263"
"","Trade Balance","23141282"
"South Africa","Total Exports","24236066"
"","Total Imports","1740148"
"","Trade Balance","22495918"
"Egypt","Total Exports","19081931"
"","Total Imports","1798"
"","Trade Balance","19080133"
"Sri Lanka","Total Exports","18046405"
"","Total Imports","11882"
"","Trade Balance","18034523"
"Iraq","Total Exports","15257854"
"","Total Imports",""
"","Trade Balance","15257854"
"Greece","Total Exports","14358359"
"","Total Imports","81307"
"","Trade Balance","14277052"
"Vietnam","Total Exports","14005658"
"","Total Imports","80950"
"","Trade Balance","13924708"
"Pakistan","Total Exports","14132780"
"","Total Imports","679622"
"","Trade Balance","13453158"
"Costa Rica","Total Exports","12198184"
"","Total Imports","413986"
"","Trade Balance","11784198"
"Hong Kong","Total Exports","10905447"
"","Total Imports","273055"
"","Trade Balance","10632392"
"Singapore","Total Exports","10541476"
"","Total Imports","306933"
"","Trade Balance","10234543"
"Switzerland","Total Exports","12295480"
"","Total Imports","3016596"
"","Trade Balance","9278884"
"Poland","Total Exports","12370414"
"","Total Imports","3138190"
"","Trade Balance","9232224"
"Togo","Total Exports","6903269"
"","Total Imports",""
"","Trade Balance","6903269"
"Ghana","Total Exports","6720252"
"","Total Imports",""
"","Trade Balance","6720252"
"Ethiopia","Total Exports","5421115"
"","Total Imports","2437"
"","Trade Balance","5418678"
"Tanzania","Total Exports","5214136"
"","Total Imports","876"
"","Trade Balance","5213260"
