"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"United States","Total Exports","7685933243"
"","Total Imports","3921003513"
"","Trade Balance","3764929730"
"China","Total Exports","731423026"
"","Total Imports","26634439"
"","Trade Balance","704788587"
"Japan","Total Exports","647583026"
"","Total Imports","40181588"
"","Trade Balance","607401438"
"Algeria","Total Exports","304835631"
"","Total Imports",""
"","Trade Balance","304835631"
"Iran","Total Exports","272339445"
"","Total Imports","119"
"","Trade Balance","272339326"
"Brazil","Total Exports","199689656"
"","Total Imports","3854769"
"","Trade Balance","195834887"
"Korea, South","Total Exports","168557207"
"","Total Imports","3099454"
"","Trade Balance","165457753"
"Morocco","Total Exports","149093286"
"","Total Imports","77246"
"","Trade Balance","149016040"
"Malaysia","Total Exports","130344528"
"","Total Imports","992543"
"","Trade Balance","129351985"
"India","Total Exports","125127961"
"","Total Imports","947693"
"","Trade Balance","124180268"
"Venezuela","Total Exports","123914672"
"","Total Imports","2993344"
"","Trade Balance","120921328"
"Indonesia","Total Exports","122049752"
"","Total Imports","1720328"
"","Trade Balance","120329424"
"Belgium","Total Exports","124830083"
"","Total Imports","8309304"
"","Trade Balance","116520779"
"France (incl. Monaco, French Antilles)","Total Exports","123046885"
"","Total Imports","8551578"
"","Trade Balance","114495307"
"Spain","Total Exports","109566590"
"","Total Imports","3291714"
"","Trade Balance","106274876"
"Colombia","Total Exports","97293466"
"","Total Imports","1682038"
"","Trade Balance","95611428"
"Mexico","Total Exports","230747517"
"","Total Imports","142338608"
"","Trade Balance","88408909"
"Italy (incl. Vatican City State)","Total Exports","91024543"
"","Total Imports","21181715"
"","Trade Balance","69842828"
"Philippines","Total Exports","64775441"
"","Total Imports","290801"
"","Trade Balance","64484640"
"Taiwan","Total Exports","70082721"
"","Total Imports","9210582"
"","Trade Balance","60872139"
"Peru","Total Exports","58873782"
"","Total Imports","120118"
"","Trade Balance","58753664"
"Chile","Total Exports","58346111"
"","Total Imports","1689967"
"","Trade Balance","56656144"
"Australia","Total Exports","54985218"
"","Total Imports","2060663"
"","Trade Balance","52924555"
