"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2001"
"Units","Value in  canadian dollars"

"","","2001"
"United States","Total Exports","6880070577"
"","Total Imports","4215095975"
"","Trade Balance","2664974602"
"China","Total Exports","687168010"
"","Total Imports","40126396"
"","Trade Balance","647041614"
"Japan","Total Exports","647327290"
"","Total Imports","68472563"
"","Trade Balance","578854727"
"India","Total Exports","237922748"
"","Total Imports","1263474"
"","Trade Balance","236659274"
"Iran","Total Exports","196309136"
"","Total Imports","4010"
"","Trade Balance","196305126"
"Algeria","Total Exports","183396091"
"","Total Imports",""
"","Trade Balance","183396091"
"France (incl. Monaco, French Antilles)","Total Exports","177603192"
"","Total Imports","12950994"
"","Trade Balance","164652198"
"Belgium","Total Exports","165803746"
"","Total Imports","4338187"
"","Trade Balance","161465559"
"Morocco","Total Exports","153371507"
"","Total Imports","28721"
"","Trade Balance","153342786"
"Korea, South","Total Exports","150487748"
"","Total Imports","4316481"
"","Trade Balance","146171267"
"Brazil","Total Exports","141795806"
"","Total Imports","3581029"
"","Trade Balance","138214777"
"Venezuela","Total Exports","134886860"
"","Total Imports","4450830"
"","Trade Balance","130436030"
"Colombia","Total Exports","107707973"
"","Total Imports","1133240"
"","Trade Balance","106574733"
"Mexico","Total Exports","265994655"
"","Total Imports","163122907"
"","Trade Balance","102871748"
"Indonesia","Total Exports","104310402"
"","Total Imports","2091141"
"","Trade Balance","102219261"
"Malaysia","Total Exports","96168508"
"","Total Imports","1255676"
"","Trade Balance","94912832"
"Spain","Total Exports","97541445"
"","Total Imports","3818137"
"","Trade Balance","93723308"
"Italy (incl. Vatican City State)","Total Exports","127844358"
"","Total Imports","36714420"
"","Trade Balance","91129938"
"Philippines","Total Exports","84591947"
"","Total Imports","216084"
"","Trade Balance","84375863"
"Australia","Total Exports","75893358"
"","Total Imports","4018158"
"","Trade Balance","71875200"
"Chile","Total Exports","61580565"
"","Total Imports","2071219"
"","Trade Balance","59509346"
"Thailand","Total Exports","58404554"
"","Total Imports","1555056"
"","Trade Balance","56849498"
"Peru","Total Exports","55142735"
"","Total Imports","78937"
"","Trade Balance","55063798"
"Bangladesh","Total Exports","55092078"
"","Total Imports","64908"
"","Trade Balance","55027170"
"Taiwan","Total Exports","62137357"
"","Total Imports","9843112"
"","Trade Balance","52294245"
"Guatemala","Total Exports","50653334"
"","Total Imports","963290"
"","Trade Balance","49690044"
"Egypt","Total Exports","44246751"
"","Total Imports","2330"
"","Trade Balance","44244421"
"Ecuador","Total Exports","43220826"
"","Total Imports","141637"
"","Trade Balance","43079189"
"New Zealand","Total Exports","41064480"
"","Total Imports","706677"
"","Trade Balance","40357803"
"Tunisia","Total Exports","33380225"
"","Total Imports",""
"","Trade Balance","33380225"
"Netherlands","Total Exports","39501207"
"","Total Imports","6518785"
"","Trade Balance","32982422"
"Nigeria","Total Exports","28766298"
"","Total Imports",""
"","Trade Balance","28766298"
"United Arab Emirates","Total Exports","23852756"
"","Total Imports",""
"","Trade Balance","23852756"
"Hong Kong","Total Exports","23420812"
"","Total Imports","457095"
"","Trade Balance","22963717"
"Cuba","Total Exports","21390945"
"","Total Imports","14582"
"","Trade Balance","21376363"
"Vietnam","Total Exports","21025338"
"","Total Imports","52094"
"","Trade Balance","20973244"
"Jamaica","Total Exports","17990361"
"","Total Imports","37435"
"","Trade Balance","17952926"
"Sudan","Total Exports","17892982"
"","Total Imports",""
"","Trade Balance","17892982"
"Pakistan","Total Exports","18120246"
"","Total Imports","931676"
"","Trade Balance","17188570"
"Ghana","Total Exports","15682151"
"","Total Imports","19955"
"","Trade Balance","15662196"
"Saudi Arabia","Total Exports","16226448"
"","Total Imports","620641"
"","Trade Balance","15605807"
"Costa Rica","Total Exports","15763411"
"","Total Imports","443675"
"","Trade Balance","15319736"
"Greece","Total Exports","12793845"
"","Total Imports","103171"
"","Trade Balance","12690674"
"South Africa","Total Exports","13803712"
"","Total Imports","1805180"
"","Trade Balance","11998532"
"Cameroon","Total Exports","10910549"
"","Total Imports","39"
"","Trade Balance","10910510"
"Türkiye","Total Exports","10401653"
"","Total Imports","197849"
"","Trade Balance","10203804"
"Togo","Total Exports","8145774"
"","Total Imports",""
"","Trade Balance","8145774"
"Poland","Total Exports","8288764"
"","Total Imports","357884"
"","Trade Balance","7930880"
"Sri Lanka","Total Exports","7497454"
"","Total Imports","61576"
"","Trade Balance","7435878"
"Switzerland","Total Exports","8677013"
"","Total Imports","1830456"
"","Trade Balance","6846557"
"Dominican Republic","Total Exports","5641414"
"","Total Imports","62349"
"","Trade Balance","5579065"
"Cyprus","Total Exports","3884645"
"","Total Imports",""
"","Trade Balance","3884645"
"Singapore","Total Exports","5508042"
"","Total Imports","2003873"
"","Trade Balance","3504169"
"United Kingdom","Total Exports","65606113"
"","Total Imports","62355267"
"","Trade Balance","3250846"
"Mozambique","Total Exports","3144294"
"","Total Imports",""
"","Trade Balance","3144294"
"Jordan","Total Exports","2459149"
"","Total Imports",""
"","Trade Balance","2459149"
"Senegal","Total Exports","2415110"
"","Total Imports",""
"","Trade Balance","2415110"
"Trinidad and Tobago","Total Exports","2230018"
"","Total Imports","207"
"","Trade Balance","2229811"
"Yemen","Total Exports","2135524"
"","Total Imports",""
"","Trade Balance","2135524"
"Argentina","Total Exports","4428463"
"","Total Imports","2303896"
"","Trade Balance","2124567"
"Russia","Total Exports","3125098"
"","Total Imports","1174372"
"","Trade Balance","1950726"
"Panama","Total Exports","1885523"
"","Total Imports","93"
"","Trade Balance","1885430"
"Lebanon","Total Exports","1793774"
"","Total Imports","13365"
"","Trade Balance","1780409"
"Israel","Total Exports","2438779"
"","Total Imports","689603"
"","Trade Balance","1749176"
"Bolivia","Total Exports","1573415"
"","Total Imports",""
"","Trade Balance","1573415"
"Ireland","Total Exports","3217980"
"","Total Imports","1687271"
"","Trade Balance","1530709"
"El Salvador","Total Exports","1544702"
"","Total Imports","29215"
"","Trade Balance","1515487"
"Côte-d'Ivoire","Total Exports","1405560"
