"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"United States","Total Exports","7006560611"
"","Total Imports","3719777054"
"","Trade Balance","3286783557"
"Japan","Total Exports","608027495"
"","Total Imports","26788023"
"","Trade Balance","581239472"
"China","Total Exports","485214677"
"","Total Imports","37466106"
"","Trade Balance","447748571"
"Algeria","Total Exports","274947919"
"","Total Imports",""
"","Trade Balance","274947919"
"Belgium","Total Exports","220591342"
"","Total Imports","23310262"
"","Trade Balance","197281080"
"France (incl. Monaco, French Antilles)","Total Exports","190282942"
"","Total Imports","10324476"
"","Trade Balance","179958466"
"Brazil","Total Exports","169291576"
"","Total Imports","5617970"
"","Trade Balance","163673606"
"India","Total Exports","163559171"
"","Total Imports","1870502"
"","Trade Balance","161688669"
"Mexico","Total Exports","202813933"
"","Total Imports","46246044"
"","Trade Balance","156567889"
"Korea, South","Total Exports","157086494"
"","Total Imports","10216827"
"","Trade Balance","146869667"
"Malaysia","Total Exports","125472175"
"","Total Imports","3023936"
"","Trade Balance","122448239"
"Morocco","Total Exports","116218179"
"","Total Imports","24604"
"","Trade Balance","116193575"
"Venezuela","Total Exports","114510971"
"","Total Imports","5418931"
"","Trade Balance","109092040"
"Colombia","Total Exports","106585629"
"","Total Imports","1692511"
"","Trade Balance","104893118"
"Tunisia","Total Exports","91241747"
"","Total Imports","417"
"","Trade Balance","91241330"
"Indonesia","Total Exports","88550436"
"","Total Imports","1291834"
"","Trade Balance","87258602"
"Australia","Total Exports","87585169"
"","Total Imports","3317228"
"","Trade Balance","84267941"
"Italy (incl. Vatican City State)","Total Exports","91438274"
"","Total Imports","21654336"
"","Trade Balance","69783938"
"Taiwan","Total Exports","71025574"
"","Total Imports","9723961"
"","Trade Balance","61301613"
"Philippines","Total Exports","59215738"
"","Total Imports","803292"
"","Trade Balance","58412446"
"Thailand","Total Exports","51279204"
"","Total Imports","1731954"
"","Trade Balance","49547250"
"Peru","Total Exports","49136764"
"","Total Imports","70895"
"","Trade Balance","49065869"
"United Kingdom","Total Exports","87645731"
"","Total Imports","44929640"
"","Trade Balance","42716091"
"Chile","Total Exports","44566218"
"","Total Imports","2315893"
"","Trade Balance","42250325"
"New Zealand","Total Exports","41776537"
"","Total Imports","1373874"
"","Trade Balance","40402663"
"Netherlands","Total Exports","39800216"
"","Total Imports","5584445"
"","Trade Balance","34215771"
"Ecuador","Total Exports","33826915"
"","Total Imports","387002"
"","Trade Balance","33439913"
"Bangladesh","Total Exports","33172915"
"","Total Imports","225310"
"","Trade Balance","32947605"
"Spain","Total Exports","35376183"
"","Total Imports","4227292"
"","Trade Balance","31148891"
"South Africa","Total Exports","31147975"
"","Total Imports","3415527"
"","Trade Balance","27732448"
"Guatemala","Total Exports","28279956"
"","Total Imports","803050"
"","Trade Balance","27476906"
"Cuba","Total Exports","23435402"
"","Total Imports","7047"
"","Trade Balance","23428355"
"Jamaica","Total Exports","22266608"
"","Total Imports","32649"
"","Trade Balance","22233959"
"Nigeria","Total Exports","22008340"
"","Total Imports","52"
"","Trade Balance","22008288"
"United Arab Emirates","Total Exports","19982879"
"","Total Imports","377"
"","Trade Balance","19982502"
"Vietnam","Total Exports","19524778"
"","Total Imports","59848"
"","Trade Balance","19464930"
"Sudan","Total Exports","19411350"
"","Total Imports","9551"
"","Trade Balance","19401799"
"Ghana","Total Exports","18344542"
"","Total Imports","94228"
"","Trade Balance","18250314"
"Libya","Total Exports","16105585"
"","Total Imports",""
"","Trade Balance","16105585"
"Iran","Total Exports","16042855"
"","Total Imports","712"
"","Trade Balance","16042143"
"Costa Rica","Total Exports","15463181"
"","Total Imports","246004"
"","Trade Balance","15217177"
"Switzerland","Total Exports","18634820"
"","Total Imports","7148538"
"","Trade Balance","11486282"
"Pakistan","Total Exports","11575176"
"","Total Imports","540457"
"","Trade Balance","11034719"
"Egypt","Total Exports","11022551"
"","Total Imports","31"
"","Trade Balance","11022520"
"Dominican Republic","Total Exports","11173233"
"","Total Imports","167109"
"","Trade Balance","11006124"
"Greece","Total Exports","8701152"
"","Total Imports","112934"
"","Trade Balance","8588218"
"El Salvador","Total Exports","4613692"
"","Total Imports","30265"
"","Trade Balance","4583427"
"Cameroon","Total Exports","4485433"
"","Total Imports","2157"
"","Trade Balance","4483276"
"Togo","Total Exports","4203796"
"","Total Imports",""
"","Trade Balance","4203796"
"Cyprus","Total Exports","3648030"
"","Total Imports",""
"","Trade Balance","3648030"
"Jordan","Total Exports","3559070"
"","Total Imports",""
"","Trade Balance","3559070"
"Saudi Arabia","Total Exports","3416461"
"","Total Imports","3370"
"","Trade Balance","3413091"
"Côte-d'Ivoire","Total Exports","2957157"
"","Total Imports","25440"
"","Trade Balance","2931717"
"Poland","Total Exports","3010508"
"","Total Imports","278265"
"","Trade Balance","2732243"
"Fiji","Total Exports","2606173"
"","Total Imports","24030"
"","Trade Balance","2582143"
"Portugal","Total Exports","3075880"
"","Total Imports","594469"
"","Trade Balance","2481411"
"Senegal","Total Exports","2441534"
"","Total Imports","2019"
"","Trade Balance","2439515"
"Ukraine","Total Exports","2776844"
"","Total Imports","447414"
"","Trade Balance","2329430"
"Trinidad and Tobago","Total Exports","2313429"
"","Total Imports",""
"","Trade Balance","2313429"
"Malawi","Total Exports","2273455"
"","Total Imports",""
"","Trade Balance","2273455"
"Sri Lanka","Total Exports","2289857"
"","Total Imports","21112"
"","Trade Balance","2268745"
"Türkiye","Total Exports","2495689"
"","Total Imports","265759"
"","Trade Balance","2229930"
"Mozambique","Total Exports","2196902"
"","Total Imports",""
"","Trade Balance","2196902"
"Lebanon","Total Exports","2074957"
"","Total Imports",""
"","Trade Balance","2074957"
"Israel","Total Exports","2850164"
"","Total Imports","1028382"
"","Trade Balance","1821782"
"Tanzania","Total Exports","1805964"
"","Total Imports","2189"
"","Trade Balance","1803775"
"Argentina","Total Exports","2760086"
"","Total Imports","984202"
"","Trade Balance","1775884"
"Kenya","Total Exports","1583636"
"","Total Imports","621"
"","Trade Balance","1583015"
"Uruguay","Total Exports","1473814"
"","Total Imports","182685"
"","Trade Balance","1291129"
"Haiti","Total Exports","1291295"
"","Total Imports","28743"
"","Trade Balance","1262552"
"Russia","Total Exports","1896268"
"","Total Imports","844190"
"","Trade Balance","1052078"
"Singapore","Total Exports","2904472"
"","Total Imports","2045478"
"","Trade Balance","858994"
"Malta","Total Exports","845769"
"","Total Imports","204"
"","Trade Balance","845565"
"Norway","Total Exports","2905410"
"","Total Imports","2063786"
"","Trade Balance","841624"
"Nepal","Total Exports","776123"
"","Total Imports","18266"
"","Trade Balance","757857"
"Panama","Total Exports","740805"
"","Total Imports","407"
"","Trade Balance","740398"
"Hungary","Total Exports","900458"
"","Total Imports","213235"
"","Trade Balance","687223"
"Liberia","Total Exports","539974"
"","Total Imports",""
"","Trade Balance","539974"
"Zimbabwe","Total Exports","534099"
"","Total Imports","10543"
"","Trade Balance","523556"
"Kuwait","Total Exports","508887"
"","Total Imports",""
"","Trade Balance","508887"
"Bulgaria","Total Exports","471350"
"","Total Imports","13832"
"","Trade Balance","457518"
"Yemen","Total Exports","423676"
"","Total Imports",""
"","Trade Balance","423676"
"Bermuda","Total Exports","405271"
"","Total Imports","215"
"","Trade Balance","405056"
"Ethiopia","Total Exports","396603"
"","Total Imports",""
"","Trade Balance","396603"
"Mauritius","Total Exports","343274"
"","Total Imports","3384"
"","Trade Balance","339890"
"Sierra Leone","Total Exports","310412"
"","Total Imports","1259"
"","Trade Balance","309153"
"Bolivia","Total Exports","290324"
"","Total Imports","2501"
"","Trade Balance","287823"
"Albania","Total Exports","269660"
"","Total Imports",""
"","Trade Balance","269660"
"Guyana","Total Exports","258848"
"","Total Imports",""
"","Trade Balance","258848"
"Suriname","Total Exports","205570"
"","Total Imports",""
"","Trade Balance","205570"
"Hong Kong","Total Exports","838501"
"","Total Imports","644439"
"","Trade Balance","194062"
"Armenia","Total Exports","131244"
"","Total Imports",""
"","Trade Balance","131244"
"Cayman Islands","Total Exports","128668"
"","Total Imports",""
"","Trade Balance","128668"
"Congo (formerly Zaire)","Total Exports","114292"
"","Total Imports",""
"","Trade Balance","114292"
"Somalia","Total Exports","111923"
"","Total Imports",""
"","Trade Balance","111923"
"Dominica","Total Exports","96983"
"","Total Imports",""
"","Trade Balance","96983"
"Honduras","Total Exports","543200"
"","Total Imports","448586"
"","Trade Balance","94614"
"Slovakia","Total Exports","163706"
"","Total Imports","76575"
"","Trade Balance","87131"
"Guinea","Total Exports","79350"
"","Total Imports",""
"","Trade Balance","79350"
"Zambia (Zambi)","Total Exports","69571"
"","Total Imports",""
"","Trade Balance","69571"
"Barbados","Total Exports","98608"
"","Total Imports","43292"
"","Trade Balance","55316"
"Qatar","Total Exports","54981"
"","Total Imports",""
"","Trade Balance","54981"
"Syria","Total Exports","49978"
"","Total Imports",""
"","Trade Balance","49978"
"Georgia","Total Exports","49686"
