"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2003"
"Units","Value in  canadian dollars"

"","","2003"
"United States","Total Exports","6599139982"
"","Total Imports","3710021559"
"","Trade Balance","2889118423"
"Japan","Total Exports","512988882"
"","Total Imports","40980418"
"","Trade Balance","472008464"
"China","Total Exports","422585758"
"","Total Imports","42884231"
"","Trade Balance","379701527"
"Belgium","Total Exports","236248241"
"","Total Imports","4468801"
"","Trade Balance","231779440"
"Mexico","Total Exports","229982359"
"","Total Imports","34677341"
"","Trade Balance","195305018"
"Italy (incl. Vatican City State)","Total Exports","209321456"
"","Total Imports","19945097"
"","Trade Balance","189376359"
"Algeria","Total Exports","176690023"
"","Total Imports",""
"","Trade Balance","176690023"
"India","Total Exports","175757703"
"","Total Imports","2535576"
"","Trade Balance","173222127"
"Brazil","Total Exports","178411243"
"","Total Imports","10625071"
"","Trade Balance","167786172"
"Korea, South","Total Exports","106590567"
"","Total Imports","16030414"
"","Trade Balance","90560153"
"Malaysia","Total Exports","78172425"
"","Total Imports","2366453"
"","Trade Balance","75805972"
"Pakistan","Total Exports","75121002"
"","Total Imports","543488"
"","Trade Balance","74577514"
"Venezuela","Total Exports","78759556"
"","Total Imports","4583379"
"","Trade Balance","74176177"
"Indonesia","Total Exports","73682918"
"","Total Imports","1224384"
"","Trade Balance","72458534"
"Morocco","Total Exports","71062943"
"","Total Imports","1742"
"","Trade Balance","71061201"
"Spain","Total Exports","71354449"
"","Total Imports","3307961"
"","Trade Balance","68046488"
"Colombia","Total Exports","70586482"
"","Total Imports","2815486"
"","Trade Balance","67770996"
"Philippines","Total Exports","58179491"
"","Total Imports","371064"
"","Trade Balance","57808427"
"France (incl. Monaco, French Antilles)","Total Exports","72942663"
"","Total Imports","17492349"
"","Trade Balance","55450314"
"Tunisia","Total Exports","53866647"
"","Total Imports","56"
"","Trade Balance","53866591"
"Bangladesh","Total Exports","49368039"
"","Total Imports","224935"
"","Trade Balance","49143104"
"Australia","Total Exports","50587662"
"","Total Imports","3440481"
"","Trade Balance","47147181"
"United Kingdom","Total Exports","78251445"
"","Total Imports","37698322"
"","Trade Balance","40553123"
"Greece","Total Exports","35547281"
"","Total Imports","192468"
"","Trade Balance","35354813"
"Netherlands","Total Exports","37347024"
"","Total Imports","4449819"
"","Trade Balance","32897205"
"Peru","Total Exports","32667465"
"","Total Imports","32475"
"","Trade Balance","32634990"
"Thailand","Total Exports","33506507"
"","Total Imports","1678517"
"","Trade Balance","31827990"
"Ecuador","Total Exports","30182691"
"","Total Imports","241775"
"","Trade Balance","29940916"
"Taiwan","Total Exports","38961737"
"","Total Imports","9809094"
"","Trade Balance","29152643"
"Chile","Total Exports","29864832"
"","Total Imports","2931950"
"","Trade Balance","26932882"
"Saudi Arabia","Total Exports","24725329"
"","Total Imports","12321"
"","Trade Balance","24713008"
"Guatemala","Total Exports","25034071"
"","Total Imports","1016257"
"","Trade Balance","24017814"
"Iran","Total Exports","23579844"
"","Total Imports","294"
"","Trade Balance","23579550"
"United Arab Emirates","Total Exports","21558041"
"","Total Imports",""
"","Trade Balance","21558041"
"Vietnam","Total Exports","20889568"
"","Total Imports","293828"
"","Trade Balance","20595740"
"Egypt","Total Exports","19529967"
"","Total Imports","60673"
"","Trade Balance","19469294"
"New Zealand","Total Exports","20895927"
"","Total Imports","1591211"
"","Trade Balance","19304716"
"Romania","Total Exports","18857484"
"","Total Imports","3114725"
"","Trade Balance","15742759"
"Sri Lanka","Total Exports","14304027"
"","Total Imports","9615"
"","Trade Balance","14294412"
"Türkiye","Total Exports","15436424"
"","Total Imports","1667694"
"","Trade Balance","13768730"
"South Africa","Total Exports","17150838"
"","Total Imports","4662902"
"","Trade Balance","12487936"
"Ukraine","Total Exports","12505184"
"","Total Imports","321426"
"","Trade Balance","12183758"
"Sudan","Total Exports","11651130"
"","Total Imports",""
"","Trade Balance","11651130"
"Ghana","Total Exports","9151971"
"","Total Imports","69582"
"","Trade Balance","9082389"
"Nigeria","Total Exports","9348564"
"","Total Imports","285158"
"","Trade Balance","9063406"
