"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2004"
"Units","Value in  canadian dollars"

"","","2004"
"United States","Total Exports","9038349248"
"","Total Imports","4179083334"
"","Trade Balance","4859265914"
"China","Total Exports","772229120"
"","Total Imports","57450518"
"","Trade Balance","714778602"
"Japan","Total Exports","518831649"
"","Total Imports","34506852"
"","Trade Balance","484324797"
"Mexico","Total Exports","322941754"
"","Total Imports","35079201"
"","Trade Balance","287862553"
"Belgium","Total Exports","223598557"
"","Total Imports","5004936"
"","Trade Balance","218593621"
"Brazil","Total Exports","213389669"
"","Total Imports","10710599"
"","Trade Balance","202679070"
"India","Total Exports","189172396"
"","Total Imports","2788045"
"","Trade Balance","186384351"
"Italy (incl. Vatican City State)","Total Exports","183601671"
"","Total Imports","22813104"
"","Trade Balance","160788567"
"Indonesia","Total Exports","153154089"
"","Total Imports","1550565"
"","Trade Balance","151603524"
"Algeria","Total Exports","103525341"
"","Total Imports",""
"","Trade Balance","103525341"
"Malaysia","Total Exports","105670517"
"","Total Imports","2897744"
"","Trade Balance","102772773"
"Venezuela","Total Exports","107997002"
"","Total Imports","6304741"
"","Trade Balance","101692261"
"Colombia","Total Exports","97959322"
"","Total Imports","5981358"
"","Trade Balance","91977964"
"Spain","Total Exports","95154307"
"","Total Imports","3384690"
"","Trade Balance","91769617"
"Morocco","Total Exports","81065429"
"","Total Imports","130879"
"","Trade Balance","80934550"
"Korea, South","Total Exports","81677901"
"","Total Imports","8502169"
"","Trade Balance","73175732"
"Thailand","Total Exports","73070851"
"","Total Imports","2657725"
"","Trade Balance","70413126"
"Philippines","Total Exports","66107098"
"","Total Imports","362607"
"","Trade Balance","65744491"
"Australia","Total Exports","52528734"
"","Total Imports","4746788"
"","Trade Balance","47781946"
"Ecuador","Total Exports","43973362"
"","Total Imports","86488"
"","Trade Balance","43886874"
"Bangladesh","Total Exports","44191276"
"","Total Imports","411151"
"","Trade Balance","43780125"
"Peru","Total Exports","43586326"
"","Total Imports","243143"
"","Trade Balance","43343183"
"Vietnam","Total Exports","41898058"
"","Total Imports","966502"
"","Trade Balance","40931556"
"Singapore","Total Exports","44492776"
"","Total Imports","3703416"
"","Trade Balance","40789360"
"Netherlands","Total Exports","43988710"
"","Total Imports","4856152"
"","Trade Balance","39132558"
"Taiwan","Total Exports","50086075"
"","Total Imports","11512889"
"","Trade Balance","38573186"
"Saudi Arabia","Total Exports","36612632"
"","Total Imports","17665"
"","Trade Balance","36594967"
"Greece","Total Exports","31138316"
"","Total Imports","82076"
"","Trade Balance","31056240"
"Libya","Total Exports","30175345"
"","Total Imports",""
"","Trade Balance","30175345"
"Chile","Total Exports","32930671"
"","Total Imports","2983208"
"","Trade Balance","29947463"
"United Arab Emirates","Total Exports","29491023"
"","Total Imports","322"
"","Trade Balance","29490701"
"Guatemala","Total Exports","28315198"
"","Total Imports","1029356"
"","Trade Balance","27285842"
"New Zealand","Total Exports","25551436"
"","Total Imports","810917"
"","Trade Balance","24740519"
"Pakistan","Total Exports","23977514"
"","Total Imports","512808"
"","Trade Balance","23464706"
"Jamaica","Total Exports","22293977"
"","Total Imports","118859"
"","Trade Balance","22175118"
"France (incl. Monaco, French Antilles)","Total Exports","41256859"
"","Total Imports","20866155"
"","Trade Balance","20390704"
"Cuba","Total Exports","19554756"
"","Total Imports","1547"
"","Trade Balance","19553209"
"United Kingdom","Total Exports","63614736"
