"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"United States","Total Exports","12091365916"
"","Total Imports","6045469077"
"","Trade Balance","6045896839"
"United Kingdom","Total Exports","1101582062"
"","Total Imports","71232366"
"","Trade Balance","1030349696"
"China","Total Exports","847995315"
"","Total Imports","159374785"
"","Trade Balance","688620530"
"India","Total Exports","591738899"
"","Total Imports","11717825"
"","Trade Balance","580021074"
"Japan","Total Exports","614335000"
"","Total Imports","65139751"
"","Trade Balance","549195249"
"Indonesia","Total Exports","334332315"
"","Total Imports","1091910"
"","Trade Balance","333240405"
"Belgium","Total Exports","277537514"
"","Total Imports","4681216"
"","Trade Balance","272856298"
"France (incl. Monaco, French Antilles)","Total Exports","293748468"
"","Total Imports","24547007"
"","Trade Balance","269201461"
"Mexico","Total Exports","358204065"
"","Total Imports","101855513"
"","Trade Balance","256348552"
"Brazil","Total Exports","223009744"
"","Total Imports","27814367"
"","Trade Balance","195195377"
"Algeria","Total Exports","192511146"
"","Total Imports",""
"","Trade Balance","192511146"
"Bangladesh","Total Exports","180654474"
"","Total Imports","59384"
"","Trade Balance","180595090"
"Morocco","Total Exports","171110056"
"","Total Imports","74426"
"","Trade Balance","171035630"
"Malaysia","Total Exports","147045493"
"","Total Imports","13069890"
"","Trade Balance","133975603"
"Venezuela","Total Exports","135785212"
"","Total Imports","5572586"
"","Trade Balance","130212626"
"United Arab Emirates","Total Exports","127254008"
"","Total Imports","13627"
"","Trade Balance","127240381"
"Italy (incl. Vatican City State)","Total Exports","167989639"
"","Total Imports","49375056"
"","Trade Balance","118614583"
"Colombia","Total Exports","116881837"
"","Total Imports","279567"
"","Trade Balance","116602270"
"Sri Lanka","Total Exports","113950755"
"","Total Imports","26049"
"","Trade Balance","113924706"
"Thailand","Total Exports","109953300"
"","Total Imports","2703302"
"","Trade Balance","107249998"
"Pakistan","Total Exports","104693926"
"","Total Imports","406280"
"","Trade Balance","104287646"
"Saudi Arabia","Total Exports","96355329"
"","Total Imports","26106"
"","Trade Balance","96329223"
"Iraq","Total Exports","95561634"
"","Total Imports",""
"","Trade Balance","95561634"
"Philippines","Total Exports","84811467"
"","Total Imports","2136589"
"","Trade Balance","82674878"
"Peru","Total Exports","81429379"
"","Total Imports","487646"
"","Trade Balance","80941733"
"Sudan","Total Exports","79871717"
"","Total Imports",""
"","Trade Balance","79871717"
"Russia","Total Exports","76552006"
"","Total Imports","1869493"
"","Trade Balance","74682513"
"Vietnam","Total Exports","76465845"
"","Total Imports","3381861"
"","Trade Balance","73083984"
"South Africa","Total Exports","71878092"
"","Total Imports","2564687"
"","Trade Balance","69313405"
"Ecuador","Total Exports","53768390"
"","Total Imports","953294"
"","Trade Balance","52815096"
"Netherlands","Total Exports","53227142"
"","Total Imports","4007941"
"","Trade Balance","49219201"
"Cuba","Total Exports","40328737"
"","Total Imports",""
"","Trade Balance","40328737"
"Chile","Total Exports","42032184"
"","Total Imports","3985077"
"","Trade Balance","38047107"
"Spain","Total Exports","37772225"
"","Total Imports","4166682"
"","Trade Balance","33605543"
"Egypt","Total Exports","32933609"
"","Total Imports","5504"
"","Trade Balance","32928105"
"Tunisia","Total Exports","30478739"
"","Total Imports","20"
"","Trade Balance","30478719"
"Jamaica","Total Exports","29946365"
"","Total Imports","115849"
"","Trade Balance","29830516"
"Australia","Total Exports","33773161"
"","Total Imports","6967188"
"","Trade Balance","26805973"
"Korea, South","Total Exports","46218995"
"","Total Imports","19846858"
"","Trade Balance","26372137"
"New Zealand","Total Exports","25884162"
"","Total Imports","430490"
"","Trade Balance","25453672"
"Ghana","Total Exports","20454920"
"","Total Imports","29601"
"","Trade Balance","20425319"
"Libya","Total Exports","18843055"
"","Total Imports",""
"","Trade Balance","18843055"
"Kazakhstan","Total Exports","15756642"
"","Total Imports",""
"","Trade Balance","15756642"
"Taiwan","Total Exports","32675584"
"","Total Imports","17068231"
"","Trade Balance","15607353"
"Singapore","Total Exports","17549738"
"","Total Imports","2573159"
"","Trade Balance","14976579"
"Türkiye","Total Exports","16969562"
"","Total Imports","2410468"
"","Trade Balance","14559094"
"Ukraine","Total Exports","13390897"
"","Total Imports","586086"
"","Trade Balance","12804811"
"Israel","Total Exports","19624334"
"","Total Imports","7382459"
"","Trade Balance","12241875"
"Greece","Total Exports","11951754"
"","Total Imports","349672"
"","Trade Balance","11602082"
"Guatemala","Total Exports","11264620"
"","Total Imports","1235837"
"","Trade Balance","10028783"
"Jordan","Total Exports","8684515"
"","Total Imports","4773"
"","Trade Balance","8679742"
"Portugal","Total Exports","8683018"
"","Total Imports","1141015"
"","Trade Balance","7542003"
"Lithuania","Total Exports","7234136"
"","Total Imports","8689"
"","Trade Balance","7225447"
"Iran","Total Exports","6929781"
"","Total Imports","2785"
"","Trade Balance","6926996"
"Tanzania","Total Exports","6746530"
"","Total Imports","267"
"","Trade Balance","6746263"
"Guyana","Total Exports","6065541"
"","Total Imports",""
"","Trade Balance","6065541"
"Lebanon","Total Exports","5973626"
"","Total Imports",""
"","Trade Balance","5973626"
"Panama","Total Exports","5634783"
"","Total Imports","5025"
"","Trade Balance","5629758"
"Cameroon","Total Exports","5284914"
"","Total Imports","2674"
"","Trade Balance","5282240"
"Trinidad and Tobago","Total Exports","4624408"
"","Total Imports","43"
"","Trade Balance","4624365"
"Congo (formerly Zaire)","Total Exports","4608476"
"","Total Imports","2832"
"","Trade Balance","4605644"
"Costa Rica","Total Exports","5260329"
"","Total Imports","693709"
"","Trade Balance","4566620"
"Ireland","Total Exports","6245673"
"","Total Imports","2515390"
"","Trade Balance","3730283"
"Togo","Total Exports","3063408"
"","Total Imports",""
"","Trade Balance","3063408"
"Mozambique","Total Exports","2986297"
"","Total Imports","106"
"","Trade Balance","2986191"
"Dominican Republic","Total Exports","3305737"
"","Total Imports","388707"
"","Trade Balance","2917030"
"Senegal","Total Exports","2905808"
"","Total Imports","2970"
"","Trade Balance","2902838"
"Mauritania","Total Exports","2849957"
"","Total Imports",""
"","Trade Balance","2849957"
"Nigeria","Total Exports","2832495"
"","Total Imports","119"
"","Trade Balance","2832376"
"Yemen","Total Exports","2761172"
"","Total Imports",""
"","Trade Balance","2761172"
"Ethiopia","Total Exports","2635527"
"","Total Imports","77732"
"","Trade Balance","2557795"
"Uruguay","Total Exports","2640454"
"","Total Imports","112108"
"","Trade Balance","2528346"
"Bulgaria","Total Exports","2386083"
"","Total Imports","11333"
"","Trade Balance","2374750"
"El Salvador","Total Exports","2334843"
"","Total Imports","18026"
"","Trade Balance","2316817"
"Kenya","Total Exports","2243043"
"","Total Imports","996"
"","Trade Balance","2242047"
"North Macedonia","Total Exports","1819844"
"","Total Imports","13024"
"","Trade Balance","1806820"
"Uzbekistan","Total Exports","1785417"
"","Total Imports",""
"","Trade Balance","1785417"
"Nepal","Total Exports","1769989"
"","Total Imports","11220"
"","Trade Balance","1758769"
"Nicaragua","Total Exports","1752420"
"","Total Imports","8007"
"","Trade Balance","1744413"
"Namibia","Total Exports","1673448"
"","Total Imports",""
"","Trade Balance","1673448"
"Qatar","Total Exports","1293438"
"","Total Imports",""
"","Trade Balance","1293438"
"Mauritius","Total Exports","1223757"
"","Total Imports","362"
"","Trade Balance","1223395"
"Uganda","Total Exports","1047398"
"","Total Imports",""
"","Trade Balance","1047398"
"Bahrain","Total Exports","996983"
"","Total Imports",""
"","Trade Balance","996983"
"Cyprus","Total Exports","983881"
"","Total Imports","3477"
"","Trade Balance","980404"
"Georgia","Total Exports","857775"
"","Total Imports","8894"
"","Trade Balance","848881"
"Hong Kong","Total Exports","2038695"
"","Total Imports","1224098"
"","Trade Balance","814597"
"Somalia","Total Exports","694789"
"","Total Imports","159"
