"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2010"
"Units","Value in  canadian dollars"

"","","2010"
"United States","Total Exports","14774973243"
"","Total Imports","6978585992"
"","Trade Balance","7796387251"
"China","Total Exports","1468404590"
"","Total Imports","151548781"
"","Trade Balance","1316855809"
"India","Total Exports","737898210"
"","Total Imports","13227156"
"","Trade Balance","724671054"
"Japan","Total Exports","728637259"
"","Total Imports","104742993"
"","Trade Balance","623894266"
"Indonesia","Total Exports","487682960"
"","Total Imports","4563201"
"","Trade Balance","483119759"
"Brazil","Total Exports","411773172"
"","Total Imports","33560798"
"","Trade Balance","378212374"
"United Kingdom","Total Exports","440262867"
"","Total Imports","93053630"
"","Trade Balance","347209237"
"Mexico","Total Exports","509684951"
"","Total Imports","164645994"
"","Trade Balance","345038957"
"Bangladesh","Total Exports","311271050"
"","Total Imports","106468"
"","Trade Balance","311164582"
"United Arab Emirates","Total Exports","281025587"
"","Total Imports","16557"
"","Trade Balance","281009030"
"Pakistan","Total Exports","229053367"
"","Total Imports","807716"
"","Trade Balance","228245651"
"Malaysia","Total Exports","221421396"
"","Total Imports","10824683"
"","Trade Balance","210596713"
"Belgium","Total Exports","214120100"
"","Total Imports","6748592"
"","Trade Balance","207371508"
"Sri Lanka","Total Exports","182109645"
"","Total Imports","191259"
"","Trade Balance","181918386"
"Türkiye","Total Exports","181160167"
"","Total Imports","5011434"
"","Trade Balance","176148733"
"Venezuela","Total Exports","174340712"
"","Total Imports","225239"
"","Trade Balance","174115473"
"Algeria","Total Exports","156826917"
"","Total Imports",""
"","Trade Balance","156826917"
"Colombia","Total Exports","157429664"
"","Total Imports","1021663"
"","Trade Balance","156408001"
"Italy (incl. Vatican City State)","Total Exports","207791582"
"","Total Imports","51887630"
"","Trade Balance","155903952"
"Peru","Total Exports","136132438"
"","Total Imports","249155"
"","Trade Balance","135883283"
"Korea, South","Total Exports","162434114"
"","Total Imports","37309455"
"","Trade Balance","125124659"
"Saudi Arabia","Total Exports","121539801"
"","Total Imports","101627"
"","Trade Balance","121438174"
"Thailand","Total Exports","123396724"
"","Total Imports","3159406"
"","Trade Balance","120237318"
"Morocco","Total Exports","111543509"
"","Total Imports","85003"
"","Trade Balance","111458506"
"Egypt","Total Exports","87122395"
"","Total Imports","86174"
"","Trade Balance","87036221"
"Iraq","Total Exports","83268235"
"","Total Imports",""
"","Trade Balance","83268235"
"Philippines","Total Exports","71057834"
"","Total Imports","2857059"
"","Trade Balance","68200775"
"Ecuador","Total Exports","67114847"
"","Total Imports","242546"
"","Trade Balance","66872301"
"Sudan","Total Exports","52513234"
"","Total Imports","627"
"","Trade Balance","52512607"
"Cuba","Total Exports","46658724"
"","Total Imports",""
"","Trade Balance","46658724"
"New Zealand","Total Exports","43266075"
"","Total Imports","1897000"
"","Trade Balance","41369075"
"Chile","Total Exports","47476411"
"","Total Imports","6556674"
"","Trade Balance","40919737"
"South Africa","Total Exports","41823554"
"","Total Imports","2147253"
"","Trade Balance","39676301"
"Ghana","Total Exports","39234443"
"","Total Imports","465"
"","Trade Balance","39233978"
"Spain","Total Exports","44155502"
"","Total Imports","6761171"
"","Trade Balance","37394331"
"Vietnam","Total Exports","35554366"
"","Total Imports","4204029"
"","Trade Balance","31350337"
"Portugal","Total Exports","31949033"
"","Total Imports","1764927"
"","Trade Balance","30184106"
"Australia","Total Exports","32173587"
"","Total Imports","7481943"
"","Trade Balance","24691644"
"Nigeria","Total Exports","23117928"
"","Total Imports",""
"","Trade Balance","23117928"
"Jamaica","Total Exports","20285367"
"","Total Imports","105211"
"","Trade Balance","20180156"
"Tunisia","Total Exports","17682827"
"","Total Imports","20523"
"","Trade Balance","17662304"
"Kazakhstan","Total Exports","14070581"
"","Total Imports","4918"
"","Trade Balance","14065663"
"Russia","Total Exports","16222848"
"","Total Imports","2693474"
"","Trade Balance","13529374"
"Taiwan","Total Exports","31135975"
"","Total Imports","19636217"
"","Trade Balance","11499758"
"Cameroon","Total Exports","10428757"
"","Total Imports","15907"
"","Trade Balance","10412850"
"Netherlands","Total Exports","16399244"
"","Total Imports","7173009"
"","Trade Balance","9226235"
"Hong Kong","Total Exports","9187609"
"","Total Imports","716231"
"","Trade Balance","8471378"
"Kenya","Total Exports","8194874"
"","Total Imports","12053"
"","Trade Balance","8182821"
"Greece","Total Exports","8177102"
"","Total Imports","198774"
"","Trade Balance","7978328"
"Niger","Total Exports","7887727"
"","Total Imports","45469"
"","Trade Balance","7842258"
"Lebanon","Total Exports","7774804"
"","Total Imports",""
"","Trade Balance","7774804"
"Jordan","Total Exports","7100614"
"","Total Imports","10452"
"","Trade Balance","7090162"
"Uruguay","Total Exports","7062625"
"","Total Imports","36044"
"","Trade Balance","7026581"
"Tanzania","Total Exports","6979439"
"","Total Imports","6687"
"","Trade Balance","6972752"
"Panama","Total Exports","6799566"
"","Total Imports",""
"","Trade Balance","6799566"
"Guyana","Total Exports","6704090"
"","Total Imports","48172"
"","Trade Balance","6655918"
"Costa Rica","Total Exports","7617225"
"","Total Imports","1493685"
"","Trade Balance","6123540"
"Côte-d'Ivoire","Total Exports","5796907"
"","Total Imports","24361"
"","Trade Balance","5772546"
"Senegal","Total Exports","5365136"
"","Total Imports","21739"
"","Trade Balance","5343397"
"Trinidad and Tobago","Total Exports","5212098"
"","Total Imports",""
"","Trade Balance","5212098"
"Yemen","Total Exports","4815310"
"","Total Imports",""
"","Trade Balance","4815310"
"Libya","Total Exports","4575095"
"","Total Imports","10414"
"","Trade Balance","4564681"
"Ukraine","Total Exports","5343123"
"","Total Imports","868267"
"","Trade Balance","4474856"
"Guatemala","Total Exports","6244546"
"","Total Imports","1964192"
"","Trade Balance","4280354"
"Dominican Republic","Total Exports","3943482"
"","Total Imports","100227"
"","Trade Balance","3843255"
"Iran","Total Exports","3462651"
"","Total Imports","25"
"","Trade Balance","3462626"
"Israel","Total Exports","10429144"
"","Total Imports","7251519"
"","Trade Balance","3177625"
"Bulgaria","Total Exports","3165455"
"","Total Imports","30571"
"","Trade Balance","3134884"
"Oman (formerly Muscat and Oman)","Total Exports","2726065"
"","Total Imports",""
"","Trade Balance","2726065"
"Togo","Total Exports","2518710"
"","Total Imports",""
"","Trade Balance","2518710"
"Mozambique","Total Exports","2436066"
"","Total Imports","3"
"","Trade Balance","2436063"
"Nepal","Total Exports","2297703"
"","Total Imports","4321"
"","Trade Balance","2293382"
"Somalia","Total Exports","2187500"
"","Total Imports","21"
"","Trade Balance","2187479"
"Lithuania","Total Exports","2186112"
"","Total Imports","17378"
"","Trade Balance","2168734"
"Switzerland","Total Exports","6854582"
"","Total Imports","4718299"
"","Trade Balance","2136283"
"Bahrain","Total Exports","2025918"
"","Total Imports","5518"
"","Trade Balance","2020400"
"Mongolia","Total Exports","1883325"
"","Total Imports","18"
"","Trade Balance","1883307"
"Tonga","Total Exports","1869403"
"","Total Imports","6"
"","Trade Balance","1869397"
"Djibouti","Total Exports","1843750"
"","Total Imports",""
"","Trade Balance","1843750"
"Benin","Total Exports","1750000"
"","Total Imports",""
"","Trade Balance","1750000"
"Georgia","Total Exports","1486507"
"","Total Imports","3182"
"","Trade Balance","1483325"
"Nicaragua","Total Exports","1319934"
"","Total Imports","34636"
"","Trade Balance","1285298"
"Cyprus","Total Exports","1237394"
"","Total Imports","3957"
"","Trade Balance","1233437"
"Eritrea","Total Exports","1203963"
"","Total Imports",""
"","Trade Balance","1203963"
"Mauritius","Total Exports","1136651"
"","Total Imports","741"
"","Trade Balance","1135910"
"Armenia","Total Exports","887424"
"","Total Imports",""
"","Trade Balance","887424"
"Namibia","Total Exports","879913"
"","Total Imports","9635"
"","Trade Balance","870278"
"Cambodia (Kampuchea)","Total Exports","845964"
"","Total Imports","12592"
"","Trade Balance","833372"
"Congo (formerly Brazzaville)","Total Exports","828641"
"","Total Imports","25819"
"","Trade Balance","802822"
"Sierra Leone","Total Exports","779375"
"","Total Imports","4787"
"","Trade Balance","774588"
"Madagascar","Total Exports","700154"
"","Total Imports","19"
"","Trade Balance","700135"
"Estonia","Total Exports","741801"
"","Total Imports","50327"
"","Trade Balance","691474"
"Qatar","Total Exports","924965"
"","Total Imports","239726"
"","Trade Balance","685239"
"Honduras","Total Exports","1072642"
"","Total Imports","450165"
"","Trade Balance","622477"
"Haiti","Total Exports","640811"
"","Total Imports","20316"
"","Trade Balance","620495"
"Afghanistan","Total Exports","572491"
"","Total Imports","29"
"","Trade Balance","572462"
"Angola","Total Exports","565193"
"","Total Imports",""
"","Trade Balance","565193"
"Fiji","Total Exports","615766"
"","Total Imports","59698"
"","Trade Balance","556068"
"Mauritania","Total Exports","506250"
"","Total Imports",""
"","Trade Balance","506250"
"Malta","Total Exports","501265"
"","Total Imports","21481"
"","Trade Balance","479784"
"Liberia","Total Exports","426875"
"","Total Imports",""
"","Trade Balance","426875"
"Suriname","Total Exports","401519"
"","Total Imports","1978"
"","Trade Balance","399541"
"North Macedonia","Total Exports","379521"
"","Total Imports","3840"
"","Trade Balance","375681"
"Uganda","Total Exports","348750"
"","Total Imports","222"
"","Trade Balance","348528"
"Syria","Total Exports","290631"
"","Total Imports","7134"
"","Trade Balance","283497"
"American Samoa","Total Exports","267622"
"","Total Imports","3816"
"","Trade Balance","263806"
"Cayman Islands","Total Exports","254536"
"","Total Imports","2086"
"","Trade Balance","252450"
"Kuwait","Total Exports","240713"
"","Total Imports","75"
"","Trade Balance","240638"
"British Indian Ocean Territories","Total Exports","238040"
"","Total Imports","1250"
"","Trade Balance","236790"
"Ethiopia","Total Exports","277100"
"","Total Imports","41331"
"","Trade Balance","235769"
"Dominica","Total Exports","220282"
"","Total Imports",""
"","Trade Balance","220282"
"U.S. Minor Outlying Islands","Total Exports","210438"
"","Total Imports","8"
"","Trade Balance","210430"
"Congo (formerly Zaire)","Total Exports","198155"
"","Total Imports","86"
"","Trade Balance","198069"
"Croatia","Total Exports","420195"
"","Total Imports","255249"
"","Trade Balance","164946"
"Cape Verde","Total Exports","166220"
"","Total Imports","1386"
"","Trade Balance","164834"
"British Virgin Islands","Total Exports","135568"
"","Total Imports",""
"","Trade Balance","135568"
"El Salvador","Total Exports","223435"
"","Total Imports","87937"
"","Trade Balance","135498"
"Grenada","Total Exports","125442"
"","Total Imports",""
"","Trade Balance","125442"
"Gabon","Total Exports","131757"
"","Total Imports","6851"
"","Trade Balance","124906"
"Papua New Guinea","Total Exports","123062"
"","Total Imports","1265"
"","Trade Balance","121797"
"Bahamas","Total Exports","121778"
"","Total Imports","341"
"","Trade Balance","121437"
"Guinea","Total Exports","104263"
"","Total Imports",""
"","Trade Balance","104263"
"Belize","Total Exports","131567"
"","Total Imports","29247"
"","Trade Balance","102320"
"Iceland","Total Exports","104101"
"","Total Imports","8129"
"","Trade Balance","95972"
"Barbados","Total Exports","93541"
"","Total Imports","2"
"","Trade Balance","93539"
"Singapore","Total Exports","1218950"
"","Total Imports","1126163"
"","Trade Balance","92787"
"Chad","Total Exports","79999"
"","Total Imports","167"
"","Trade Balance","79832"
"Gambia","Total Exports","79031"
"","Total Imports","148"
"","Trade Balance","78883"
"Saint Lucia","Total Exports","63290"
"","Total Imports",""
"","Trade Balance","63290"
"Faeroe Islands","Total Exports","59932"
"","Total Imports",""
"","Trade Balance","59932"
"Netherlands Antilles","Total Exports","57112"
"","Total Imports","40"
"","Trade Balance","57072"
"Bolivia","Total Exports","69903"
"","Total Imports","15356"
"","Trade Balance","54547"
"Zimbabwe","Total Exports","54448"
"","Total Imports",""
"","Trade Balance","54448"
"Laos","Total Exports","51673"
"","Total Imports",""
"","Trade Balance","51673"
"Azerbaijan","Total Exports","51167"
"","Total Imports",""
"","Trade Balance","51167"
"Saint Vincent and the Grenadines","Total Exports","50767"
"","Total Imports",""
"","Trade Balance","50767"
"Aruba","Total Exports","40579"
"","Total Imports",""
"","Trade Balance","40579"
"Bermuda","Total Exports","39485"
"","Total Imports",""
"","Trade Balance","39485"
"Swaziland","Total Exports","34714"
"","Total Imports","2021"
"","Trade Balance","32693"
"Gibraltar","Total Exports","24388"
"","Total Imports",""
"","Trade Balance","24388"
"Zambia (Zambi)","Total Exports","25743"
"","Total Imports","1621"
"","Trade Balance","24122"
"Antigua and Barbuda","Total Exports","22178"
"","Total Imports","53"
"","Trade Balance","22125"
"Korea, North","Total Exports","17553"
"","Total Imports","151"
"","Trade Balance","17402"
"Saint Pierre-Miquelon","Total Exports","12461"
"","Total Imports",""
"","Trade Balance","12461"
"Guam","Total Exports","5900"
"","Total Imports",""
"","Trade Balance","5900"
"Macau (Macao)","Total Exports","13883"
"","Total Imports","8030"
"","Trade Balance","5853"
"Saint Kitts and Nevis","Total Exports","5170"
"","Total Imports",""
"","Trade Balance","5170"
"Burundi","Total Exports","5000"
"","Total Imports",""
"","Trade Balance","5000"
"Malawi","Total Exports","2500"
"","Total Imports",""
"","Trade Balance","2500"
"Burkina Faso","Total Exports","851"
"","Total Imports","36"
"","Trade Balance","815"
"Cook Islands","Total Exports",""
"","Total Imports","76"
"","Trade Balance","-76"
"Christmas Island","Total Exports",""
"","Total Imports","173"
"","Trade Balance","-173"
"Cocos (Keeling) Islands","Total Exports",""
"","Total Imports","266"
"","Trade Balance","-266"
"New Caledonia","Total Exports",""
"","Total Imports","276"
"","Trade Balance","-276"
"Sao Tomé-Principe","Total Exports",""
"","Total Imports","420"
"","Trade Balance","-420"
"Uzbekistan","Total Exports",""
"","Total Imports","438"
"","Trade Balance","-438"
"Lesotho","Total Exports",""
"","Total Imports","462"
"","Trade Balance","-462"
"Paraguay","Total Exports",""
"","Total Imports","512"
"","Trade Balance","-512"
"Turkmenistan","Total Exports",""
"","Total Imports","943"
"","Trade Balance","-943"
"Montserrat","Total Exports",""
"","Total Imports","1041"
"","Trade Balance","-1041"
"Brunei Darussalam","Total Exports",""
"","Total Imports","3622"
"","Trade Balance","-3622"
"Latvia","Total Exports","4615"
"","Total Imports","9244"
"","Trade Balance","-4629"
"Saint Helena","Total Exports",""
"","Total Imports","7544"
"","Trade Balance","-7544"
"Montenegro","Total Exports",""
"","Total Imports","11015"
"","Trade Balance","-11015"
"Bosnia and Herzegovina","Total Exports","47983"
"","Total Imports","60808"
"","Trade Balance","-12825"
"Luxembourg","Total Exports",""
"","Total Imports","81470"
"","Trade Balance","-81470"
"Kyrgyzstan","Total Exports","367817"
"","Total Imports","465603"
"","Trade Balance","-97786"
"Belarus (formerly Byelorussia)","Total Exports",""
"","Total Imports","173254"
"","Trade Balance","-173254"
"Slovenia","Total Exports","11"
"","Total Imports","196044"
"","Trade Balance","-196033"
"Norway","Total Exports","323256"
"","Total Imports","529057"
"","Trade Balance","-205801"
"Hungary","Total Exports","736096"
"","Total Imports","944942"
"","Trade Balance","-208846"
"Serbia","Total Exports","78662"
"","Total Imports","292539"
"","Trade Balance","-213877"
"Slovakia","Total Exports","78833"
"","Total Imports","589166"
"","Trade Balance","-510333"
"Czech Republic","Total Exports","2979343"
"","Total Imports","4854806"
"","Trade Balance","-1875463"
"Ireland","Total Exports","1295369"
"","Total Imports","3608138"
"","Trade Balance","-2312769"
"Denmark","Total Exports","1390401"
"","Total Imports","4039221"
"","Trade Balance","-2648820"
"Romania","Total Exports","460220"
"","Total Imports","3770436"
"","Trade Balance","-3310216"
"Sweden","Total Exports","3671015"
"","Total Imports","9696765"
"","Trade Balance","-6025750"
"Finland","Total Exports","718112"
"","Total Imports","6848428"
"","Trade Balance","-6130316"
"Argentina","Total Exports","7075612"
