"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2012"
"Units","Value in  canadian dollars"

"","","2012"
"United States","Total Exports","19983039991"
"","Total Imports","9542354321"
"","Trade Balance","10440685670"
"China","Total Exports","2395077966"
"","Total Imports","212152240"
"","Trade Balance","2182925726"
"Japan","Total Exports","1181696177"
"","Total Imports","136358299"
"","Trade Balance","1045337878"
"Indonesia","Total Exports","786275707"
"","Total Imports","5568749"
"","Trade Balance","780706958"
"Brazil","Total Exports","638593443"
"","Total Imports","42006795"
"","Trade Balance","596586648"
"India","Total Exports","601564742"
"","Total Imports","37886672"
"","Trade Balance","563678070"
"United Kingdom","Total Exports","631416598"
"","Total Imports","108752697"
"","Trade Balance","522663901"
"Mexico","Total Exports","734855203"
"","Total Imports","252655368"
"","Trade Balance","482199835"
"Algeria","Total Exports","306512511"
"","Total Imports",""
"","Trade Balance","306512511"
"Malaysia","Total Exports","307310839"
"","Total Imports","18381740"
"","Trade Balance","288929099"
"Bangladesh","Total Exports","279014175"
"","Total Imports","31906"
"","Trade Balance","278982269"
"France (incl. Monaco, French Antilles)","Total Exports","283657474"
"","Total Imports","25330441"
"","Trade Balance","258327033"
"United Arab Emirates","Total Exports","260615318"
"","Total Imports","2581607"
"","Trade Balance","258033711"
"Venezuela","Total Exports","223945094"
"","Total Imports","136944"
"","Trade Balance","223808150"
"Morocco","Total Exports","185114226"
"","Total Imports","332240"
"","Trade Balance","184781986"
"Colombia","Total Exports","173366943"
"","Total Imports","1365833"
"","Trade Balance","172001110"
"Belgium","Total Exports","161844171"
"","Total Imports","7357887"
"","Trade Balance","154486284"
"Thailand","Total Exports","157459587"
"","Total Imports","3518097"
"","Trade Balance","153941490"
"Italy (incl. Vatican City State)","Total Exports","209264266"
"","Total Imports","72201283"
"","Trade Balance","137062983"
"Iraq","Total Exports","133327675"
"","Total Imports",""
"","Trade Balance","133327675"
"Sri Lanka","Total Exports","128123368"
"","Total Imports","828362"
"","Trade Balance","127295006"
"Korea, South","Total Exports","168255903"
"","Total Imports","42558516"
"","Trade Balance","125697387"
"Peru","Total Exports","121886365"
"","Total Imports","1260334"
"","Trade Balance","120626031"
"Vietnam","Total Exports","120416896"
"","Total Imports","12495400"
"","Trade Balance","107921496"
"Pakistan","Total Exports","95712123"
"","Total Imports","170268"
"","Trade Balance","95541855"
"Saudi Arabia","Total Exports","95596407"
"","Total Imports","1157601"
"","Trade Balance","94438806"
"Türkiye","Total Exports","98014220"
"","Total Imports","16441272"
"","Trade Balance","81572948"
"Ecuador","Total Exports","80376901"
"","Total Imports","564180"
"","Trade Balance","79812721"
"Tunisia","Total Exports","76015070"
"","Total Imports","15662"
"","Trade Balance","75999408"
"Netherlands","Total Exports","80961897"
"","Total Imports","10225657"
"","Trade Balance","70736240"
"Australia","Total Exports","73606256"
"","Total Imports","6876142"
"","Trade Balance","66730114"
"Spain","Total Exports","66840557"
"","Total Imports","9844558"
"","Trade Balance","56995999"
"Nigeria","Total Exports","51800620"
"","Total Imports",""
"","Trade Balance","51800620"
"Cuba","Total Exports","50535423"
"","Total Imports",""
"","Trade Balance","50535423"
"Philippines","Total Exports","61383246"
"","Total Imports","13584154"
"","Trade Balance","47799092"
"Sudan","Total Exports","45521338"
"","Total Imports",""
"","Trade Balance","45521338"
"Ghana","Total Exports","45528911"
"","Total Imports","48720"
"","Trade Balance","45480191"
"New Zealand","Total Exports","44140433"
"","Total Imports","2300173"
"","Trade Balance","41840260"
"Egypt","Total Exports","37451990"
"","Total Imports","1228313"
"","Trade Balance","36223677"
"Lithuania","Total Exports","32006902"
"","Total Imports","103290"
"","Trade Balance","31903612"
"Hong Kong","Total Exports","30486506"
"","Total Imports","1131770"
"","Trade Balance","29354736"
"Chile","Total Exports","37358483"
"","Total Imports","8139767"
"","Trade Balance","29218716"
"Portugal","Total Exports","30229214"
"","Total Imports","2169903"
"","Trade Balance","28059311"
"Costa Rica","Total Exports","28856117"
"","Total Imports","3770045"
"","Trade Balance","25086072"
"Iran","Total Exports","20445500"
"","Total Imports","58609"
"","Trade Balance","20386891"
"Taiwan","Total Exports","42427780"
"","Total Imports","22737582"
"","Trade Balance","19690198"
"Jamaica","Total Exports","18528019"
"","Total Imports","115462"
"","Trade Balance","18412557"
"South Africa","Total Exports","18688635"
"","Total Imports","3550769"
"","Trade Balance","15137866"
"Libya","Total Exports","14703874"
"","Total Imports","198645"
"","Trade Balance","14505229"
"Ireland","Total Exports","17649746"
"","Total Imports","3744299"
"","Trade Balance","13905447"
"Cameroon","Total Exports","13680505"
"","Total Imports","662"
"","Trade Balance","13679843"
"Angola","Total Exports","13342954"
"","Total Imports",""
"","Trade Balance","13342954"
"Tanzania","Total Exports","12875250"
"","Total Imports","1281"
"","Trade Balance","12873969"
"Russia","Total Exports","22360834"
"","Total Imports","11503565"
"","Trade Balance","10857269"
"Greece","Total Exports","9655119"
"","Total Imports","62483"
"","Trade Balance","9592636"
"Côte-d'Ivoire","Total Exports","8513522"
"","Total Imports","10611"
"","Trade Balance","8502911"
"Singapore","Total Exports","10392776"
"","Total Imports","1907203"
"","Trade Balance","8485573"
"Oman (formerly Muscat and Oman)","Total Exports","7572175"
"","Total Imports","55"
"","Trade Balance","7572120"
"Senegal","Total Exports","7479593"
"","Total Imports","17827"
"","Trade Balance","7461766"
"Togo","Total Exports","7435629"
"","Total Imports",""
"","Trade Balance","7435629"
"Mozambique","Total Exports","6334081"
"","Total Imports","1458"
"","Trade Balance","6332623"
"Argentina","Total Exports","20400469"
"","Total Imports","14082130"
"","Trade Balance","6318339"
"Guyana","Total Exports","6046252"
"","Total Imports","31394"
"","Trade Balance","6014858"
"Lebanon","Total Exports","5465158"
"","Total Imports","115247"
"","Trade Balance","5349911"
"Nicaragua","Total Exports","5488045"
"","Total Imports","278887"
"","Trade Balance","5209158"
"Jordan","Total Exports","5036642"
"","Total Imports","71429"
"","Trade Balance","4965213"
"Yemen","Total Exports","4733746"
"","Total Imports","436"
"","Trade Balance","4733310"
"Trinidad and Tobago","Total Exports","4673577"
"","Total Imports",""
"","Trade Balance","4673577"
"Kenya","Total Exports","4576881"
"","Total Imports","16"
"","Trade Balance","4576865"
"Ukraine","Total Exports","6453045"
"","Total Imports","1915275"
"","Trade Balance","4537770"
"Kazakhstan","Total Exports","4616297"
"","Total Imports","84181"
"","Trade Balance","4532116"
"Dominican Republic","Total Exports","5042073"
"","Total Imports","512284"
"","Trade Balance","4529789"
"Uruguay","Total Exports","4279106"
"","Total Imports","96"
"","Trade Balance","4279010"
"Panama","Total Exports","4134173"
"","Total Imports","829"
"","Trade Balance","4133344"
"Nepal","Total Exports","3111877"
"","Total Imports","39063"
"","Trade Balance","3072814"
"Namibia","Total Exports","2588705"
"","Total Imports","49867"
"","Trade Balance","2538838"
"El Salvador","Total Exports","2638912"
"","Total Imports","174707"
"","Trade Balance","2464205"
"Bulgaria","Total Exports","1807214"
"","Total Imports","137012"
"","Trade Balance","1670202"
"Syria","Total Exports","1484008"
"","Total Imports",""
"","Trade Balance","1484008"
"Mongolia","Total Exports","1412504"
"","Total Imports","33906"
"","Trade Balance","1378598"
"Cyprus","Total Exports","981850"
"","Total Imports","5815"
"","Trade Balance","976035"
"Madagascar","Total Exports","797891"
"","Total Imports","39723"
"","Trade Balance","758168"
"Bolivia","Total Exports","765385"
"","Total Imports","90182"
"","Trade Balance","675203"
"Mauritius","Total Exports","677903"
"","Total Imports","13085"
