"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"United States","Total Exports","16051565179"
"","Total Imports","9851349887"
"","Trade Balance","6200215292"
"China","Total Exports","3376045077"
"","Total Imports","378248157"
"","Trade Balance","2997796920"
"Japan","Total Exports","1125386542"
"","Total Imports","116120172"
"","Trade Balance","1009266370"
"India","Total Exports","1039565704"
"","Total Imports","39629696"
"","Trade Balance","999936008"
"Indonesia","Total Exports","584880192"
"","Total Imports","6045570"
"","Trade Balance","578834622"
"Mexico","Total Exports","775928335"
"","Total Imports","229783827"
"","Trade Balance","546144508"
"Brazil","Total Exports","551482859"
"","Total Imports","50909024"
"","Trade Balance","500573835"
"United Arab Emirates","Total Exports","492473614"
"","Total Imports","520531"
"","Trade Balance","491953083"
"Algeria","Total Exports","429644419"
"","Total Imports","127"
"","Trade Balance","429644292"
"Pakistan","Total Exports","313825006"
"","Total Imports","727765"
"","Trade Balance","313097241"
"Bangladesh","Total Exports","294425044"
"","Total Imports","663070"
"","Trade Balance","293761974"
"Morocco","Total Exports","243766148"
"","Total Imports","15330356"
"","Trade Balance","228435792"
"Peru","Total Exports","221871970"
"","Total Imports","4240312"
"","Trade Balance","217631658"
"Colombia","Total Exports","206318469"
"","Total Imports","924995"
"","Trade Balance","205393474"
"Malaysia","Total Exports","210507938"
"","Total Imports","10192595"
"","Trade Balance","200315343"
"Türkiye","Total Exports","200160939"
"","Total Imports","10137778"
"","Trade Balance","190023161"
"Vietnam","Total Exports","198119338"
"","Total Imports","20365575"
"","Trade Balance","177753763"
"Belgium","Total Exports","167744876"
"","Total Imports","6771374"
"","Trade Balance","160973502"
"France (incl. Monaco, French Antilles)","Total Exports","172350015"
"","Total Imports","32687881"
"","Trade Balance","139662134"
"Chile","Total Exports","131133675"
"","Total Imports","4399595"
"","Trade Balance","126734080"
"Italy (incl. Vatican City State)","Total Exports","191292123"
"","Total Imports","66554974"
"","Trade Balance","124737149"
"Korea, South","Total Exports","150059663"
"","Total Imports","36366514"
"","Trade Balance","113693149"
"Nigeria","Total Exports","112604138"
"","Total Imports","177515"
"","Trade Balance","112426623"
"Thailand","Total Exports","113484648"
"","Total Imports","7398998"
"","Trade Balance","106085650"
"Ecuador","Total Exports","97223644"
"","Total Imports","536752"
"","Trade Balance","96686892"
"Australia","Total Exports","79865335"
"","Total Imports","7107121"
"","Trade Balance","72758214"
"Cuba","Total Exports","58919270"
"","Total Imports",""
"","Trade Balance","58919270"
"Sri Lanka","Total Exports","67204918"
"","Total Imports","9884592"
"","Trade Balance","57320326"
"Venezuela","Total Exports","47397829"
"","Total Imports","185"
"","Trade Balance","47397644"
"Philippines","Total Exports","68488627"
"","Total Imports","21682815"
"","Trade Balance","46805812"
"Ghana","Total Exports","38262433"
"","Total Imports","172"
"","Trade Balance","38262261"
"Spain","Total Exports","54500032"
"","Total Imports","16917577"
"","Trade Balance","37582455"
"Hong Kong","Total Exports","36472437"
"","Total Imports","2925421"
"","Trade Balance","33547016"
"New Zealand","Total Exports","31555348"
"","Total Imports","1739582"
"","Trade Balance","29815766"
"Costa Rica","Total Exports","32047763"
"","Total Imports","2615478"
"","Trade Balance","29432285"
"Egypt","Total Exports","28786733"
"","Total Imports","319585"
"","Trade Balance","28467148"
"Netherlands","Total Exports","42466149"
"","Total Imports","15217798"
"","Trade Balance","27248351"
"Saudi Arabia","Total Exports","27002892"
"","Total Imports","244103"
"","Trade Balance","26758789"
"Uruguay","Total Exports","26219040"
"","Total Imports","120228"
"","Trade Balance","26098812"
"Dominican Republic","Total Exports","26526308"
"","Total Imports","799859"
"","Trade Balance","25726449"
"Portugal","Total Exports","27851274"
"","Total Imports","2340608"
"","Trade Balance","25510666"
"Lithuania","Total Exports","24838643"
"","Total Imports","508907"
"","Trade Balance","24329736"
"Tunisia","Total Exports","22253936"
"","Total Imports","22579"
"","Trade Balance","22231357"
"Haiti","Total Exports","19437094"
"","Total Imports","53903"
"","Trade Balance","19383191"
"Kenya","Total Exports","16350171"
"","Total Imports","126569"
"","Trade Balance","16223602"
"Sudan","Total Exports","16190624"
"","Total Imports",""
"","Trade Balance","16190624"
"Lebanon","Total Exports","15444331"
"","Total Imports","56555"
"","Trade Balance","15387776"
"Myanmar (Burma)","Total Exports","15031647"
"","Total Imports",""
"","Trade Balance","15031647"
"Cameroon","Total Exports","12793500"
"","Total Imports","643"
"","Trade Balance","12792857"
"Tanzania","Total Exports","12525664"
"","Total Imports","7192"
"","Trade Balance","12518472"
"Iran","Total Exports","12303304"
"","Total Imports",""
"","Trade Balance","12303304"
"Russia","Total Exports","17296370"
"","Total Imports","5663139"
"","Trade Balance","11633231"
"Mozambique","Total Exports","11347656"
"","Total Imports","4691"
"","Trade Balance","11342965"
"Jordan","Total Exports","10103584"
"","Total Imports","59230"
"","Trade Balance","10044354"
"Panama","Total Exports","9785972"
"","Total Imports","4960"
"","Trade Balance","9781012"
"Ireland","Total Exports","16061501"
"","Total Imports","6312650"
"","Trade Balance","9748851"
"Greece","Total Exports","10173924"
"","Total Imports","1026964"
"","Trade Balance","9146960"
"Syria","Total Exports","8587325"
"","Total Imports",""
"","Trade Balance","8587325"
"South Africa","Total Exports","11726660"
"","Total Imports","3619337"
"","Trade Balance","8107323"
"Trinidad and Tobago","Total Exports","7641253"
"","Total Imports","273591"
"","Trade Balance","7367662"
"Honduras","Total Exports","8230578"
"","Total Imports","1495182"
"","Trade Balance","6735396"
"Nepal","Total Exports","5731811"
"","Total Imports","3327"
"","Trade Balance","5728484"
"Senegal","Total Exports","5511852"
"","Total Imports","16949"
"","Trade Balance","5494903"
"Zimbabwe","Total Exports","4446040"
"","Total Imports","39"
"","Trade Balance","4446001"
"Malawi","Total Exports","4107592"
"","Total Imports","591"
"","Trade Balance","4107001"
"Yemen","Total Exports","3912639"
"","Total Imports","19"
"","Trade Balance","3912620"
"Guyana","Total Exports","3555997"
"","Total Imports","468"
"","Trade Balance","3555529"
"Israel","Total Exports","18742970"
"","Total Imports","15603883"
"","Trade Balance","3139087"
"Taiwan","Total Exports","27130388"
"","Total Imports","24144119"
"","Trade Balance","2986269"
"Oman (formerly Muscat and Oman)","Total Exports","5385118"
"","Total Imports","2539066"
"","Trade Balance","2846052"
"Côte-d'Ivoire","Total Exports","2730542"
"","Total Imports","2708"
"","Trade Balance","2727834"
"Kazakhstan","Total Exports","2623345"
"","Total Imports",""
"","Trade Balance","2623345"
"Bolivia","Total Exports","2635494"
"","Total Imports","135242"
"","Trade Balance","2500252"
"Togo","Total Exports","2260868"
"","Total Imports",""
"","Trade Balance","2260868"
"Nicaragua","Total Exports","2079572"
"","Total Imports","150879"
"","Trade Balance","1928693"
"Bulgaria","Total Exports","2032117"
"","Total Imports","323413"
"","Trade Balance","1708704"
"Singapore","Total Exports","5453961"
"","Total Imports","3972049"
"","Trade Balance","1481912"
"Jamaica","Total Exports","1479945"
"","Total Imports","37397"
"","Trade Balance","1442548"
"Uganda","Total Exports","1172335"
"","Total Imports","129"
"","Trade Balance","1172206"
"Mongolia","Total Exports","1100241"
"","Total Imports","8"
"","Trade Balance","1100233"
"Mauritius","Total Exports","989373"
"","Total Imports",""
"","Trade Balance","989373"
"Rwanda","Total Exports","959204"
"","Total Imports","12562"
"","Trade Balance","946642"
"Cyprus","Total Exports","941142"
"","Total Imports","1119"
"","Trade Balance","940023"
"Latvia","Total Exports","1005584"
"","Total Imports","73978"
"","Trade Balance","931606"
"Gambia","Total Exports","940934"
"","Total Imports","115246"
"","Trade Balance","825688"
"Burkina Faso","Total Exports","812777"
"","Total Imports","30297"
"","Trade Balance","782480"
"Belize","Total Exports","782474"
"","Total Imports","33293"
"","Trade Balance","749181"
"Croatia","Total Exports","735444"
"","Total Imports","6065"
"","Trade Balance","729379"
"Suriname","Total Exports","728619"
"","Total Imports","2255"
"","Trade Balance","726364"
"Iraq","Total Exports","654004"
"","Total Imports",""
"","Trade Balance","654004"
"Christmas Island","Total Exports","628050"
"","Total Imports",""
"","Trade Balance","628050"
"Argentina","Total Exports","8095867"
"","Total Imports","7541901"
"","Trade Balance","553966"
"Angola","Total Exports","485016"
"","Total Imports",""
"","Trade Balance","485016"
"Burundi","Total Exports","376045"
"","Total Imports","12229"
"","Trade Balance","363816"
"Libya","Total Exports","368565"
"","Total Imports","9677"
"","Trade Balance","358888"
"Qatar","Total Exports","309230"
"","Total Imports","188"
"","Trade Balance","309042"
"Liberia","Total Exports","301599"
"","Total Imports","9"
"","Trade Balance","301590"
"Paraguay","Total Exports","290950"
"","Total Imports",""
"","Trade Balance","290950"
"Malta","Total Exports","258471"
"","Total Imports","7686"
"","Trade Balance","250785"
"Gabon","Total Exports","219160"
"","Total Imports",""
"","Trade Balance","219160"
"Albania","Total Exports","218558"
"","Total Imports","171"
"","Trade Balance","218387"
"South Sudan","Total Exports","186407"
"","Total Imports",""
"","Trade Balance","186407"
"Cayman Islands","Total Exports","174174"
"","Total Imports","3490"
"","Trade Balance","170684"
