"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"United States","Total Exports","16078742043"
"","Total Imports","8685353317"
"","Trade Balance","7393388726"
"China","Total Exports","3131574186"
"","Total Imports","502686756"
"","Trade Balance","2628887430"
"Brazil","Total Exports","1048670567"
"","Total Imports","30608173"
"","Trade Balance","1018062394"
"Japan","Total Exports","1080602892"
"","Total Imports","122329864"
"","Trade Balance","958273028"
"India","Total Exports","775326820"
"","Total Imports","48062939"
"","Trade Balance","727263881"
"Indonesia","Total Exports","651224607"
"","Total Imports","8646003"
"","Trade Balance","642578604"
"Bangladesh","Total Exports","635659025"
"","Total Imports","897130"
"","Trade Balance","634761895"
"United Arab Emirates","Total Exports","411947543"
"","Total Imports","1803767"
"","Trade Balance","410143776"
"Algeria","Total Exports","365073220"
"","Total Imports",""
"","Trade Balance","365073220"
"Pakistan","Total Exports","315137325"
"","Total Imports","1204614"
"","Trade Balance","313932711"
"Colombia","Total Exports","306390986"
"","Total Imports","4961965"
"","Trade Balance","301429021"
"Belgium","Total Exports","299615426"
"","Total Imports","19647777"
"","Trade Balance","279967649"
"Morocco","Total Exports","290559140"
"","Total Imports","30207855"
"","Trade Balance","260351285"
"Türkiye","Total Exports","269028296"
"","Total Imports","14685426"
"","Trade Balance","254342870"
"Malaysia","Total Exports","251320942"
"","Total Imports","14177636"
"","Trade Balance","237143306"
"Italy (incl. Vatican City State)","Total Exports","303482373"
"","Total Imports","69809166"
"","Trade Balance","233673207"
"Peru","Total Exports","225872138"
"","Total Imports","1872328"
"","Trade Balance","223999810"
"Mexico","Total Exports","596232452"
"","Total Imports","410558956"
"","Trade Balance","185673496"
"France (incl. Monaco, French Antilles)","Total Exports","200063684"
"","Total Imports","35628722"
"","Trade Balance","164434962"
"Australia","Total Exports","155475900"
"","Total Imports","7391574"
"","Trade Balance","148084326"
"Thailand","Total Exports","149557221"
"","Total Imports","6689698"
"","Trade Balance","142867523"
"Chile","Total Exports","151831971"
"","Total Imports","9354167"
"","Trade Balance","142477804"
"Nigeria","Total Exports","116257739"
"","Total Imports","104720"
"","Trade Balance","116153019"
"Korea, South","Total Exports","142327278"
"","Total Imports","35118822"
"","Trade Balance","107208456"
"Ecuador","Total Exports","100112075"
"","Total Imports","367762"
"","Trade Balance","99744313"
"Sri Lanka","Total Exports","90864077"
"","Total Imports","5900033"
"","Trade Balance","84964044"
"Vietnam","Total Exports","104365335"
"","Total Imports","24880636"
"","Trade Balance","79484699"
"Nepal","Total Exports","75756526"
"","Total Imports","3507"
"","Trade Balance","75753019"
"Iran","Total Exports","62543818"
"","Total Imports","115006"
"","Trade Balance","62428812"
"Netherlands","Total Exports","79037693"
"","Total Imports","17405859"
"","Trade Balance","61631834"
"Russia","Total Exports","61324840"
"","Total Imports","1976638"
"","Trade Balance","59348202"
"Ghana","Total Exports","55878151"
"","Total Imports","4172"
"","Trade Balance","55873979"
"Portugal","Total Exports","57904286"
"","Total Imports","2124473"
"","Trade Balance","55779813"
"Tunisia","Total Exports","51222304"
"","Total Imports","29462"
"","Trade Balance","51192842"
"Egypt","Total Exports","45281666"
"","Total Imports","170431"
"","Trade Balance","45111235"
"Spain","Total Exports","55436288"
"","Total Imports","13495487"
"","Trade Balance","41940801"
"Dominican Republic","Total Exports","38231332"
"","Total Imports","166591"
"","Trade Balance","38064741"
"Philippines","Total Exports","48520830"
"","Total Imports","11035064"
