"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"United States","Total Exports","19917696362"
"","Total Imports","8858866032"
"","Trade Balance","11058830330"
"China","Total Exports","4146218574"
"","Total Imports","403173642"
"","Trade Balance","3743044932"
"Brazil","Total Exports","1235914974"
"","Total Imports","30251235"
"","Trade Balance","1205663739"
"Japan","Total Exports","1360959773"
"","Total Imports","286984062"
"","Trade Balance","1073975711"
"Indonesia","Total Exports","911491603"
"","Total Imports","7664528"
"","Trade Balance","903827075"
"Mexico","Total Exports","993151442"
"","Total Imports","239414408"
"","Trade Balance","753737034"
"United Arab Emirates","Total Exports","636263107"
"","Total Imports","3210824"
"","Trade Balance","633052283"
"Algeria","Total Exports","558183911"
"","Total Imports","5254"
"","Trade Balance","558178657"
"Bangladesh","Total Exports","547314806"
"","Total Imports","870830"
"","Trade Balance","546443976"
"India","Total Exports","604130806"
"","Total Imports","68234448"
"","Trade Balance","535896358"
"Belgium","Total Exports","446826004"
"","Total Imports","27861776"
"","Trade Balance","418964228"
"Türkiye","Total Exports","387574812"
"","Total Imports","16117689"
"","Trade Balance","371457123"
"Colombia","Total Exports","376843668"
"","Total Imports","14665889"
"","Trade Balance","362177779"
"Peru","Total Exports","309312178"
"","Total Imports","5071700"
"","Trade Balance","304240478"
"Italy (incl. Vatican City State)","Total Exports","378045213"
"","Total Imports","85739676"
"","Trade Balance","292305537"
"Malaysia","Total Exports","298830880"
"","Total Imports","15476287"
"","Trade Balance","283354593"
"Pakistan","Total Exports","252678720"
"","Total Imports","426842"
"","Trade Balance","252251878"
"Morocco","Total Exports","309220128"
"","Total Imports","76595124"
"","Trade Balance","232625004"
"France (incl. Monaco, French Antilles)","Total Exports","271937681"
"","Total Imports","45628154"
"","Trade Balance","226309527"
"Chile","Total Exports","231983776"
"","Total Imports","11466581"
"","Trade Balance","220517195"
"Ecuador","Total Exports","208682526"
"","Total Imports","739797"
"","Trade Balance","207942729"
"Nigeria","Total Exports","190740722"
"","Total Imports","24732"
"","Trade Balance","190715990"
"Korea, South","Total Exports","205740103"
"","Total Imports","38686981"
"","Trade Balance","167053122"
"Australia","Total Exports","145636217"
"","Total Imports","5128859"
"","Trade Balance","140507358"
"United Kingdom","Total Exports","211459873"
"","Total Imports","85788080"
"","Trade Balance","125671793"
"Netherlands","Total Exports","138896304"
"","Total Imports","25344865"
"","Trade Balance","113551439"
"Thailand","Total Exports","119722979"
"","Total Imports","8186732"
"","Trade Balance","111536247"
"Philippines","Total Exports","102325252"
"","Total Imports","5058153"
"","Trade Balance","97267099"
"Venezuela","Total Exports","96516033"
"","Total Imports","7"
"","Trade Balance","96516026"
"Ghana","Total Exports","78100572"
"","Total Imports","4728"
"","Trade Balance","78095844"
"Iran","Total Exports","76592099"
"","Total Imports","120458"
"","Trade Balance","76471641"
"Lithuania","Total Exports","68117302"
"","Total Imports","21667"
"","Trade Balance","68095635"
"Ireland","Total Exports","71154007"
"","Total Imports","5743976"
"","Trade Balance","65410031"
"Guatemala","Total Exports","65862459"
"","Total Imports","4962093"
"","Trade Balance","60900366"
"Egypt","Total Exports","56918892"
"","Total Imports","219268"
"","Trade Balance","56699624"
"Costa Rica","Total Exports","57584733"
"","Total Imports","5692897"
"","Trade Balance","51891836"
"Sri Lanka","Total Exports","52014903"
"","Total Imports","1461968"
"","Trade Balance","50552935"
"Tunisia","Total Exports","50640971"
"","Total Imports","130773"
"","Trade Balance","50510198"
"Spain","Total Exports","61478562"
"","Total Imports","13861814"
"","Trade Balance","47616748"
"Cuba","Total Exports","45431454"
"","Total Imports",""
"","Trade Balance","45431454"
"Uruguay","Total Exports","44820194"
"","Total Imports","2380"
"","Trade Balance","44817814"
"Dominican Republic","Total Exports","44192325"
"","Total Imports","91106"
"","Trade Balance","44101219"
"Nepal","Total Exports","41065335"
"","Total Imports","26604"
"","Trade Balance","41038731"
"Norway","Total Exports","40410784"
"","Total Imports","131802"
"","Trade Balance","40278982"
"Israel","Total Exports","45009188"
"","Total Imports","11194474"
"","Trade Balance","33814714"
"Vietnam","Total Exports","74315934"
"","Total Imports","44633402"
"","Trade Balance","29682532"
"Cameroon","Total Exports","27058904"
"","Total Imports","42451"
"","Trade Balance","27016453"
"South Africa","Total Exports","28001403"
"","Total Imports","2754995"
"","Trade Balance","25246408"
"El Salvador","Total Exports","24578070"
"","Total Imports","131774"
"","Trade Balance","24446296"
"Kenya","Total Exports","23509988"
"","Total Imports","3264"
"","Trade Balance","23506724"
"Portugal","Total Exports","20463371"
"","Total Imports","2727142"
"","Trade Balance","17736229"
"Sudan","Total Exports","17053168"
"","Total Imports",""
"","Trade Balance","17053168"
"Saudi Arabia","Total Exports","16752574"
"","Total Imports","50897"
"","Trade Balance","16701677"
"Hong Kong","Total Exports","15042436"
"","Total Imports","1673390"
"","Trade Balance","13369046"
"Libya","Total Exports","13307816"
