"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2023"
"Units","Value in  canadian dollars"

"","","2023"
"United States","Total Exports","27095246993"
"","Total Imports","12676671342"
"","Trade Balance","14418575651"
"China","Total Exports","5510009556"
"","Total Imports","563084943"
"","Trade Balance","4946924613"
"Brazil","Total Exports","2566972050"
"","Total Imports","81613584"
"","Trade Balance","2485358466"
"India","Total Exports","1307846112"
"","Total Imports","99398811"
"","Trade Balance","1208447301"
"Japan","Total Exports","1011346701"
"","Total Imports","154998492"
"","Trade Balance","856348209"
"Indonesia","Total Exports","844510517"
"","Total Imports","13512982"
"","Trade Balance","830997535"
"Bangladesh","Total Exports","792458426"
"","Total Imports","852891"
"","Trade Balance","791605535"
"Algeria","Total Exports","765220773"
"","Total Imports","34555"
"","Trade Balance","765186218"
"Mexico","Total Exports","962923401"
"","Total Imports","416381312"
"","Trade Balance","546542089"
"Belgium","Total Exports","525155535"
"","Total Imports","31508100"
"","Trade Balance","493647435"
"Colombia","Total Exports","489652383"
"","Total Imports","16010826"
"","Trade Balance","473641557"
"Morocco","Total Exports","525750325"
"","Total Imports","60250776"
"","Trade Balance","465499549"
"United Kingdom","Total Exports","557254141"
"","Total Imports","105985287"
"","Trade Balance","451268854"
"Peru","Total Exports","388923729"
"","Total Imports","6007616"
"","Trade Balance","382916113"
"Türkiye","Total Exports","407798330"
"","Total Imports","32087410"
"","Trade Balance","375710920"
"Netherlands","Total Exports","414052892"
"","Total Imports","40065378"
"","Trade Balance","373987514"
"Italy (incl. Vatican City State)","Total Exports","483656522"
"","Total Imports","114400562"
"","Trade Balance","369255960"
"United Arab Emirates","Total Exports","365559874"
"","Total Imports","10421624"
"","Trade Balance","355138250"
"Malaysia","Total Exports","290901885"
"","Total Imports","19761949"
"","Trade Balance","271139936"
"Ecuador","Total Exports","211451954"
"","Total Imports","1831217"
"","Trade Balance","209620737"
"Nigeria","Total Exports","189876080"
"","Total Imports","67558"
"","Trade Balance","189808522"
"Thailand","Total Exports","194027102"
"","Total Imports","11781859"
"","Trade Balance","182245243"
"Australia","Total Exports","189315294"
"","Total Imports","11741716"
"","Trade Balance","177573578"
"Korea, South","Total Exports","254732094"
"","Total Imports","92201440"
"","Trade Balance","162530654"
"France (incl. Monaco, French Antilles)","Total Exports","220467992"
"","Total Imports","58781191"
"","Trade Balance","161686801"
"Philippines","Total Exports","160399024"
"","Total Imports","9433503"
"","Trade Balance","150965521"
"Venezuela","Total Exports","141564166"
"","Total Imports",""
"","Trade Balance","141564166"
"Guatemala","Total Exports","118883696"
"","Total Imports","5241034"
"","Trade Balance","113642662"
"Spain","Total Exports","136800895"
"","Total Imports","31666680"
"","Trade Balance","105134215"
"Chile","Total Exports","125531839"
"","Total Imports","20530854"
"","Trade Balance","105000985"
"Uruguay","Total Exports","95840381"
"","Total Imports","88796"
"","Trade Balance","95751585"
"Germany","Total Exports","651056650"
"","Total Imports","567959760"
"","Trade Balance","83096890"
"Tunisia","Total Exports","79455741"
"","Total Imports","386566"
"","Trade Balance","79069175"
"Taiwan","Total Exports","104085167"
"","Total Imports","30268016"
"","Trade Balance","73817151"
"Costa Rica","Total Exports","77971991"
"","Total Imports","6410456"
"","Trade Balance","71561535"
"Pakistan","Total Exports","65200401"
"","Total Imports","710230"
"","Trade Balance","64490171"
"Ghana","Total Exports","64073856"
"","Total Imports","4625"
"","Trade Balance","64069231"
"Côte-d'Ivoire","Total Exports","49020478"
"","Total Imports",""
"","Trade Balance","49020478"
"Dominican Republic","Total Exports","46577037"
"","Total Imports","403280"
"","Trade Balance","46173757"
"Sri Lanka","Total Exports","44238353"
"","Total Imports","1394616"
"","Trade Balance","42843737"
"Cameroon","Total Exports","42436635"
"","Total Imports","19080"
"","Trade Balance","42417555"
"New Zealand","Total Exports","47954468"
"","Total Imports","6599955"
"","Trade Balance","41354513"
"El Salvador","Total Exports","41322572"
"","Total Imports","368605"
"","Trade Balance","40953967"
"Ireland","Total Exports","41460912"
"","Total Imports","5177772"
"","Trade Balance","36283140"
"Egypt","Total Exports","36648158"
"","Total Imports","700042"
"","Trade Balance","35948116"
"Mozambique","Total Exports","35948712"
"","Total Imports","721"
"","Trade Balance","35947991"
"Lithuania","Total Exports","36111631"
"","Total Imports","174935"
"","Trade Balance","35936696"
"Haiti","Total Exports","35473698"
"","Total Imports","586819"
"","Trade Balance","34886879"
"Romania","Total Exports","42100297"
"","Total Imports","8947316"
"","Trade Balance","33152981"
"South Africa","Total Exports","34884187"
"","Total Imports","4148742"
"","Trade Balance","30735445"
"Cuba","Total Exports","29716794"
"","Total Imports","31"
"","Trade Balance","29716763"
"Nicaragua","Total Exports","29630891"
"","Total Imports","520677"
"","Trade Balance","29110214"
"Panama","Total Exports","28532941"
"","Total Imports","40753"
"","Trade Balance","28492188"
"Portugal","Total Exports","31567254"
"","Total Imports","3977038"
"","Trade Balance","27590216"
"Sudan","Total Exports","26814564"
"","Total Imports",""
"","Trade Balance","26814564"
"Iraq","Total Exports","22022492"
"","Total Imports",""
"","Trade Balance","22022492"
"Kenya","Total Exports","19454531"
"","Total Imports","702"
"","Trade Balance","19453829"
"Vietnam","Total Exports","92668316"
"","Total Imports","74058809"
"","Trade Balance","18609507"
"Syria","Total Exports","18537175"
"","Total Imports","56"
"","Trade Balance","18537119"
"Senegal","Total Exports","18525065"
"","Total Imports","51407"
"","Trade Balance","18473658"
"Honduras","Total Exports","20656707"
"","Total Imports","3405775"
"","Trade Balance","17250932"
"Trinidad and Tobago","Total Exports","15613290"
"","Total Imports","252627"
"","Trade Balance","15360663"
"Togo","Total Exports","14674386"
"","Total Imports","1178"
"","Trade Balance","14673208"
"Benin","Total Exports","14411884"
"","Total Imports",""
"","Trade Balance","14411884"
"Lebanon","Total Exports","13827936"
"","Total Imports","12026"
"","Trade Balance","13815910"
"Greece","Total Exports","13573279"
"","Total Imports","1041438"
"","Trade Balance","12531841"
"Israel","Total Exports","21334906"
"","Total Imports","10419379"
"","Trade Balance","10915527"
"Saudi Arabia","Total Exports","12932771"
"","Total Imports","2043890"
"","Trade Balance","10888881"
"Tanzania","Total Exports","10539363"
"","Total Imports","32636"
"","Trade Balance","10506727"
"Kuwait","Total Exports","8529477"
"","Total Imports",""
"","Trade Balance","8529477"
"Oman (formerly Muscat and Oman)","Total Exports","7416067"
"","Total Imports","58"
"","Trade Balance","7416009"
"Russia","Total Exports","7115723"
"","Total Imports","256965"
"","Trade Balance","6858758"
"Norway","Total Exports","8727665"
"","Total Imports","2784029"
"","Trade Balance","5943636"
"Jamaica","Total Exports","5117942"
"","Total Imports","230"
"","Trade Balance","5117712"
"Jordan","Total Exports","4967844"
"","Total Imports","95283"
"","Trade Balance","4872561"
"Angola","Total Exports","4206457"
"","Total Imports",""
"","Trade Balance","4206457"
"Yemen","Total Exports","4029290"
"","Total Imports","245"
"","Trade Balance","4029045"
"Guyana","Total Exports","4059644"
"","Total Imports","48221"
"","Trade Balance","4011423"
"Uganda","Total Exports","3591490"
"","Total Imports","39399"
"","Trade Balance","3552091"
"Mauritania","Total Exports","3274906"
"","Total Imports",""
"","Trade Balance","3274906"
"Hong Kong","Total Exports","4419980"
"","Total Imports","1192613"
"","Trade Balance","3227367"
"Belize","Total Exports","2911574"
"","Total Imports","396"
"","Trade Balance","2911178"
"Kazakhstan","Total Exports","4242977"
"","Total Imports","1522636"
"","Trade Balance","2720341"
"Singapore","Total Exports","9858270"
"","Total Imports","7442341"
"","Trade Balance","2415929"
"Burkina Faso","Total Exports","2357954"
"","Total Imports","43110"
"","Trade Balance","2314844"
"Bolivia","Total Exports","2212955"
"","Total Imports","29"
"","Trade Balance","2212926"
"Argentina","Total Exports","16942594"
"","Total Imports","15090651"
"","Trade Balance","1851943"
"Gambia","Total Exports","1796872"
"","Total Imports","30343"
"","Trade Balance","1766529"
"Malawi","Total Exports","1709716"
"","Total Imports",""
"","Trade Balance","1709716"
"Kyrgyzstan","Total Exports","1674256"
"","Total Imports","1613"
"","Trade Balance","1672643"
"Myanmar (Burma)","Total Exports","1872164"
"","Total Imports","205138"
"","Trade Balance","1667026"
"Botswana","Total Exports","1567922"
"","Total Imports",""
"","Trade Balance","1567922"
"Rwanda","Total Exports","1804973"
"","Total Imports","393842"
"","Trade Balance","1411131"
"Cyprus","Total Exports","1261214"
"","Total Imports","1329"
"","Trade Balance","1259885"
"Nepal","Total Exports","1018776"
"","Total Imports","20723"
"","Trade Balance","998053"
"Croatia","Total Exports","933934"
"","Total Imports","79540"
"","Trade Balance","854394"
"Saint Lucia","Total Exports","823673"
"","Total Imports","47"
"","Trade Balance","823626"
"Bulgaria","Total Exports","1930386"
"","Total Imports","1216459"
"","Trade Balance","713927"
"Suriname","Total Exports","711173"
"","Total Imports","205"
"","Trade Balance","710968"
"Mongolia","Total Exports","863722"
"","Total Imports","163245"
"","Trade Balance","700477"
"Bahrain","Total Exports","724470"
"","Total Imports","94039"
"","Trade Balance","630431"
"Grenada","Total Exports","596098"
"","Total Imports",""
"","Trade Balance","596098"
"Cape Verde","Total Exports","492290"
"","Total Imports","15"
"","Trade Balance","492275"
"U.S. Minor Outlying Islands","Total Exports","487644"
"","Total Imports","5560"
"","Trade Balance","482084"
"Moldova","Total Exports","618547"
"","Total Imports","150214"
"","Trade Balance","468333"
"Libya","Total Exports","451291"
"","Total Imports",""
"","Trade Balance","451291"
"Greenland","Total Exports","418651"
"","Total Imports",""
"","Trade Balance","418651"
"Gabon","Total Exports","387486"
"","Total Imports","1252"
"","Trade Balance","386234"
"Bahamas","Total Exports","327516"
"","Total Imports","28"
"","Trade Balance","327488"
"Congo (formerly Brazzaville)","Total Exports","269836"
"","Total Imports","184"
"","Trade Balance","269652"
"Dominica","Total Exports","260323"
"","Total Imports","3838"
"","Trade Balance","256485"
"Saint Vincent and the Grenadines","Total Exports","252785"
"","Total Imports","2082"
"","Trade Balance","250703"
"Sierra Leone","Total Exports","269336"
"","Total Imports","22585"
"","Trade Balance","246751"
"Mauritius","Total Exports","332719"
"","Total Imports","90007"
"","Trade Balance","242712"
"Barbados","Total Exports","285482"
"","Total Imports","48870"
"","Trade Balance","236612"
"Somalia","Total Exports","180602"
"","Total Imports",""
"","Trade Balance","180602"
"Malta","Total Exports","239577"
"","Total Imports","86112"
"","Trade Balance","153465"
"Curacao","Total Exports","139913"
"","Total Imports",""
"","Trade Balance","139913"
"Guinea","Total Exports","119915"
"","Total Imports","1013"
"","Trade Balance","118902"
"Liberia","Total Exports","114868"
"","Total Imports",""
"","Trade Balance","114868"
"Nauru","Total Exports","106460"
"","Total Imports","90"
"","Trade Balance","106370"
"Bouvet Island","Total Exports","106210"
"","Total Imports",""
"","Trade Balance","106210"
"Fiji","Total Exports","104383"
"","Total Imports",""
"","Trade Balance","104383"
"Antigua and Barbuda","Total Exports","92424"
"","Total Imports","14"
"","Trade Balance","92410"
"Luxembourg","Total Exports","186966"
"","Total Imports","101949"
"","Trade Balance","85017"
"North Macedonia","Total Exports","75223"
"","Total Imports",""
"","Trade Balance","75223"
"Macau (Macao)","Total Exports","70840"
"","Total Imports","1"
"","Trade Balance","70839"
"Guam","Total Exports","61331"
"","Total Imports","195"
"","Trade Balance","61136"
"Bermuda","Total Exports","40778"
"","Total Imports",""
"","Trade Balance","40778"
"Sao Tomé-Principe","Total Exports","38351"
"","Total Imports",""
"","Trade Balance","38351"
"Central African Republic","Total Exports","37870"
"","Total Imports",""
"","Trade Balance","37870"
"Congo (formerly Zaire)","Total Exports","30450"
"","Total Imports",""
"","Trade Balance","30450"
"Mali","Total Exports","31910"
"","Total Imports","1554"
"","Trade Balance","30356"
"Paraguay","Total Exports","362389"
"","Total Imports","335682"
"","Trade Balance","26707"
"Burundi","Total Exports","193560"
"","Total Imports","168686"
"","Trade Balance","24874"
"British Virgin Islands","Total Exports","20208"
"","Total Imports","2934"
"","Trade Balance","17274"
"Uzbekistan","Total Exports","16372"
"","Total Imports","25"
"","Trade Balance","16347"
"Zambia (Zambi)","Total Exports","15502"
"","Total Imports",""
"","Trade Balance","15502"
"Papua New Guinea","Total Exports","19604"
"","Total Imports","4605"
"","Trade Balance","14999"
"Aruba","Total Exports","13234"
"","Total Imports",""
"","Trade Balance","13234"
"Saint Pierre-Miquelon","Total Exports","2946"
"","Total Imports",""
"","Trade Balance","2946"
"Tonga","Total Exports","2000"
"","Total Imports","302"
"","Trade Balance","1698"
"Niger","Total Exports","2000"
"","Total Imports","611"
"","Trade Balance","1389"
"Tajikistan","Total Exports",""
"","Total Imports","11"
"","Trade Balance","-11"
"Bhutan","Total Exports",""
"","Total Imports","81"
"","Trade Balance","-81"
"Pitcairn Island","Total Exports",""
"","Total Imports","85"
"","Trade Balance","-85"
"Saint Kitts and Nevis","Total Exports",""
"","Total Imports","87"
"","Trade Balance","-87"
"Swaziland","Total Exports",""
"","Total Imports","209"
"","Trade Balance","-209"
"Lesotho","Total Exports",""
"","Total Imports","226"
"","Trade Balance","-226"
"Solomon Islands","Total Exports",""
"","Total Imports","291"
"","Trade Balance","-291"
"French Polynesia","Total Exports",""
"","Total Imports","416"
"","Trade Balance","-416"
"French Southern Territories","Total Exports",""
"","Total Imports","425"
"","Trade Balance","-425"
"Timor-Leste","Total Exports",""
"","Total Imports","450"
"","Trade Balance","-450"
"Kiribati","Total Exports",""
"","Total Imports","483"
"","Trade Balance","-483"
"Zimbabwe","Total Exports",""
"","Total Imports","689"
"","Trade Balance","-689"
"Gibraltar","Total Exports",""
"","Total Imports","698"
"","Trade Balance","-698"
"Iran","Total Exports",""
"","Total Imports","723"
"","Trade Balance","-723"
"Afghanistan","Total Exports",""
"","Total Imports","1008"
"","Trade Balance","-1008"
"Chad","Total Exports",""
"","Total Imports","1523"
"","Trade Balance","-1523"
"Qatar","Total Exports","230231"
"","Total Imports","231882"
"","Trade Balance","-1651"
"Cocos (Keeling) Islands","Total Exports",""
"","Total Imports","1802"
"","Trade Balance","-1802"
"Cook Islands","Total Exports",""
"","Total Imports","1824"
"","Trade Balance","-1824"
"American Samoa","Total Exports",""
"","Total Imports","1991"
"","Trade Balance","-1991"
"Brunei Darussalam","Total Exports",""
"","Total Imports","2100"
"","Trade Balance","-2100"
"New Caledonia","Total Exports",""
"","Total Imports","2267"
"","Trade Balance","-2267"
"Samoa (Western)","Total Exports",""
"","Total Imports","2512"
"","Trade Balance","-2512"
"Azerbaijan","Total Exports",""
"","Total Imports","3672"
"","Trade Balance","-3672"
"Montserrat","Total Exports",""
"","Total Imports","4358"
"","Trade Balance","-4358"
"Maldives","Total Exports",""
"","Total Imports","6799"
"","Trade Balance","-6799"
"Montenegro","Total Exports","4920"
"","Total Imports","18686"
"","Trade Balance","-13766"
"Namibia","Total Exports",""
"","Total Imports","20860"
"","Trade Balance","-20860"
"Georgia","Total Exports","32180"
"","Total Imports","55837"
"","Trade Balance","-23657"
"Armenia","Total Exports",""
"","Total Imports","27988"
"","Trade Balance","-27988"
"Belarus (formerly Byelorussia)","Total Exports",""
"","Total Imports","51639"
"","Trade Balance","-51639"
"Albania","Total Exports","264687"
"","Total Imports","324604"
"","Trade Balance","-59917"
"Estonia","Total Exports","198735"
"","Total Imports","360263"
"","Trade Balance","-161528"
"Andorra","Total Exports",""
"","Total Imports","164282"
"","Trade Balance","-164282"
"Serbia","Total Exports",""
"","Total Imports","338138"
"","Trade Balance","-338138"
"Madagascar","Total Exports",""
"","Total Imports","441508"
"","Trade Balance","-441508"
"Ethiopia","Total Exports",""
"","Total Imports","452526"
"","Trade Balance","-452526"
"Bosnia and Herzegovina","Total Exports","24754"
"","Total Imports","606326"
"","Trade Balance","-581572"
"Slovenia","Total Exports","135845"
"","Total Imports","954753"
"","Trade Balance","-818908"
"Equatorial Guinea","Total Exports",""
"","Total Imports","1260149"
"","Trade Balance","-1260149"
"Ukraine","Total Exports","579730"
"","Total Imports","2484408"
"","Trade Balance","-1904678"
"Slovakia","Total Exports","328468"
"","Total Imports","3714674"
"","Trade Balance","-3386206"
"Iceland","Total Exports","37687"
"","Total Imports","4496947"
"","Trade Balance","-4459260"
"Cambodia (Kampuchea)","Total Exports","63751"
"","Total Imports","5844541"
"","Trade Balance","-5780790"
"Latvia","Total Exports","1463435"
"","Total Imports","8408576"
"","Trade Balance","-6945141"
"Hungary","Total Exports","612469"
"","Total Imports","10176325"
"","Trade Balance","-9563856"
"Czech Republic","Total Exports","1090884"
"","Total Imports","11788597"
"","Trade Balance","-10697713"
"Switzerland","Total Exports","865117"
"","Total Imports","16454886"
"","Trade Balance","-15589769"
"Poland","Total Exports","9539652"
"","Total Imports","26009079"
"","Trade Balance","-16469427"
"Denmark","Total Exports","1350964"
"","Total Imports","18146920"
"","Trade Balance","-16795956"
"Austria","Total Exports","4717934"
"","Total Imports","29484280"
"","Trade Balance","-24766346"
"Finland","Total Exports","1909308"
"","Total Imports","29536116"
"","Trade Balance","-27626808"
"Sweden","Total Exports","1924543"
"","Total Imports","30892708"
"","Trade Balance","-28968165"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","124182520"
"","Trade Balance","-124182520"
"Total All Countries","Total Exports","49531113395"
"","Total Imports","15775250131"
"","Trade Balance","33755863264"

"Source: Trade Data Online (accessed: April 21, 2025)"



