"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Saskatchewan"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2024"
"Units","Value in  canadian dollars"

"","","2024"
"United States","Total Exports","26716396801"
"","Total Imports","13323095798"
"","Trade Balance","13393301003"
"China","Total Exports","4387005057"
"","Total Imports","506436988"
"","Trade Balance","3880568069"
"India","Total Exports","1466971507"
"","Total Imports","111723471"
"","Trade Balance","1355248036"
"Brazil","Total Exports","1134501076"
"","Total Imports","35453039"
"","Trade Balance","1099048037"
"Indonesia","Total Exports","868868241"
"","Total Imports","13384146"
"","Trade Balance","855484095"
"Japan","Total Exports","929049784"
"","Total Imports","180292286"
"","Trade Balance","748757498"
"Netherlands","Total Exports","759341548"
"","Total Imports","29002965"
"","Trade Balance","730338583"
"Algeria","Total Exports","614994249"
"","Total Imports","2375"
"","Trade Balance","614991874"
"Morocco","Total Exports","598938823"
"","Total Imports","63513971"
"","Trade Balance","535424852"
"United Kingdom","Total Exports","596531037"
"","Total Imports","94797960"
"","Trade Balance","501733077"
"Belgium","Total Exports","505673039"
"","Total Imports","35788159"
"","Trade Balance","469884880"
"Bangladesh","Total Exports","462373153"
"","Total Imports","2300389"
"","Trade Balance","460072764"
"United Arab Emirates","Total Exports","454465327"
"","Total Imports","32990424"
"","Trade Balance","421474903"
"Italy (incl. Vatican City State)","Total Exports","507549615"
"","Total Imports","116022008"
"","Trade Balance","391527607"
"Colombia","Total Exports","394487118"
"","Total Imports","33436177"
"","Trade Balance","361050941"
"Türkiye","Total Exports","395285600"
"","Total Imports","41998253"
"","Trade Balance","353287347"
"Peru","Total Exports","327958135"
"","Total Imports","7601528"
"","Trade Balance","320356607"
"Malaysia","Total Exports","285654733"
"","Total Imports","19848294"
"","Trade Balance","265806439"
"France (incl. Monaco, French Antilles)","Total Exports","283086251"
"","Total Imports","51082435"
"","Trade Balance","232003816"
"Ecuador","Total Exports","155623435"
"","Total Imports","2179189"
"","Trade Balance","153444246"
"Nigeria","Total Exports","146828422"
"","Total Imports","29793"
"","Trade Balance","146798629"
"Mexico","Total Exports","637802276"
"","Total Imports","496377810"
"","Trade Balance","141424466"
"Venezuela","Total Exports","122269491"
"","Total Imports","425"
"","Trade Balance","122269066"
"Thailand","Total Exports","128600921"
"","Total Imports","16574881"
"","Trade Balance","112026040"
"Korea, South","Total Exports","162286493"
"","Total Imports","50443104"
"","Trade Balance","111843389"
"Spain","Total Exports","156294866"
"","Total Imports","46157057"
"","Trade Balance","110137809"
"Philippines","Total Exports","121661921"
"","Total Imports","13831173"
"","Trade Balance","107830748"
"Guatemala","Total Exports","109492988"
