"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1990"
"Units","Value in  canadian dollars"

"","","1990"
"Korea, South","Total Exports","61574672"
"","Total Imports","2262"
"","Trade Balance","61572410"
"Japan","Total Exports","58261083"
"","Total Imports","417000"
"","Trade Balance","57844083"
"Belgium","Total Exports","45119755"
"","Total Imports",""
"","Trade Balance","45119755"
"Italy (incl. Vatican City State)","Total Exports","33228312"
"","Total Imports","30932"
"","Trade Balance","33197380"
"France (incl. Monaco, French Antilles)","Total Exports","19161953"
"","Total Imports","309070"
"","Trade Balance","18852883"
"Germany","Total Exports","16099388"
"","Total Imports","49187"
"","Trade Balance","16050201"
"Morocco","Total Exports","11469066"
"","Total Imports",""
"","Trade Balance","11469066"
"Spain","Total Exports","10060554"
"","Total Imports","6360"
"","Trade Balance","10054194"
"Australia","Total Exports","6383794"
"","Total Imports","41189"
"","Trade Balance","6342605"
"United Kingdom","Total Exports","2334791"
"","Total Imports","178027"
"","Trade Balance","2156764"
"Switzerland","Total Exports","3000"
"","Total Imports",""
"","Trade Balance","3000"
"Sweden","Total Exports","2500"
"","Total Imports",""
"","Trade Balance","2500"
"Israel","Total Exports",""
"","Total Imports","901"
"","Trade Balance","-901"
"Chile","Total Exports",""
"","Total Imports","940"
"","Trade Balance","-940"
"Brazil","Total Exports",""
"","Total Imports","1189"
"","Trade Balance","-1189"
"Thailand","Total Exports",""
"","Total Imports","1209"
"","Trade Balance","-1209"
"Bulgaria","Total Exports",""
"","Total Imports","1872"
"","Trade Balance","-1872"
"Hungary","Total Exports",""
"","Total Imports","3215"
"","Trade Balance","-3215"
"Greece","Total Exports",""
"","Total Imports","3260"
"","Trade Balance","-3260"
"South Africa","Total Exports",""
"","Total Imports","3525"
"","Trade Balance","-3525"
"Portugal","Total Exports",""
"","Total Imports","3968"
"","Trade Balance","-3968"
"Jamaica","Total Exports",""
"","Total Imports","6515"
"","Trade Balance","-6515"
"Mexico","Total Exports",""
"","Total Imports","10694"
"","Trade Balance","-10694"
"Hong Kong","Total Exports",""
"","Total Imports","13254"
"","Trade Balance","-13254"
"Netherlands","Total Exports",""
"","Total Imports","13430"
"","Trade Balance","-13430"
"Ireland","Total Exports",""
"","Total Imports","44509"
"","Trade Balance","-44509"
"New Zealand","Total Exports",""
"","Total Imports","91606"
"","Trade Balance","-91606"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","838111"
"","Trade Balance","-838111"
"United States","Total Exports","2437617"
"","Total Imports","8763365"
"","Trade Balance","-6325748"
"Total All Countries","Total Exports","266136485"
"","Total Imports","10835590"
"","Trade Balance","255300895"

"Source: Trade Data Online (accessed: April 21, 2025)"



