"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1991"
"Units","Value in  canadian dollars"

"","","1991"
"Spain","Total Exports","71934003"
"","Total Imports","3563"
"","Trade Balance","71930440"
"Japan","Total Exports","35811857"
"","Total Imports","257164"
"","Trade Balance","35554693"
"Korea, South","Total Exports","28531225"
"","Total Imports",""
"","Trade Balance","28531225"
"Italy (incl. Vatican City State)","Total Exports","22566643"
"","Total Imports","26269"
"","Trade Balance","22540374"
"Australia","Total Exports","4788854"
"","Total Imports",""
"","Trade Balance","4788854"
"United Kingdom","Total Exports","1162040"
"","Total Imports","157375"
"","Trade Balance","1004665"
"Denmark","Total Exports","5000"
"","Total Imports",""
"","Trade Balance","5000"
"Germany","Total Exports","48433"
"","Total Imports","45139"
"","Trade Balance","3294"
"Bulgaria","Total Exports",""
"","Total Imports","312"
"","Trade Balance","-312"
"Greece","Total Exports",""
"","Total Imports","929"
"","Trade Balance","-929"
"Chile","Total Exports",""
"","Total Imports","1410"
"","Trade Balance","-1410"
"Yugoslavia  - Serbia and Montenegro","Total Exports",""
"","Total Imports","1603"
"","Trade Balance","-1603"
"Jamaica","Total Exports",""
"","Total Imports","1709"
"","Trade Balance","-1709"
"Hungary","Total Exports",""
"","Total Imports","2347"
"","Trade Balance","-2347"
"Guyana","Total Exports",""
"","Total Imports","3499"
"","Trade Balance","-3499"
"Netherlands","Total Exports",""
"","Total Imports","3748"
"","Trade Balance","-3748"
"Portugal","Total Exports",""
"","Total Imports","4084"
"","Trade Balance","-4084"
"Finland","Total Exports",""
"","Total Imports","4416"
"","Trade Balance","-4416"
"U.S.S.R.","Total Exports",""
"","Total Imports","8054"
"","Trade Balance","-8054"
"Mexico","Total Exports",""
"","Total Imports","12795"
"","Trade Balance","-12795"
"Ireland","Total Exports",""
"","Total Imports","18296"
"","Trade Balance","-18296"
"Hong Kong","Total Exports",""
"","Total Imports","19278"
"","Trade Balance","-19278"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","287118"
"","Trade Balance","-287118"
"France (incl. Monaco, French Antilles)","Total Exports",""
"","Total Imports","567240"
"","Trade Balance","-567240"
"United States","Total Exports","2301941"
"","Total Imports","6713139"
"","Trade Balance","-4411198"
"Total All Countries","Total Exports","167149996"
"","Total Imports","8139487"
"","Trade Balance","159010509"

"Source: Trade Data Online (accessed: April 21, 2025)"



