"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1995"
"Units","Value in  canadian dollars"

"","","1995"
"Korea, South","Total Exports","31836107"
"","Total Imports",""
"","Trade Balance","31836107"
"Australia","Total Exports","6482751"
"","Total Imports",""
"","Trade Balance","6482751"
"Italy (incl. Vatican City State)","Total Exports","6322819"
"","Total Imports","8478"
"","Trade Balance","6314341"
"Japan","Total Exports","5217444"
"","Total Imports","486487"
"","Trade Balance","4730957"
"Indonesia","Total Exports","31265"
"","Total Imports",""
"","Trade Balance","31265"
"Austria","Total Exports","34800"
"","Total Imports","17108"
"","Trade Balance","17692"
"Saudi Arabia","Total Exports","2900"
"","Total Imports",""
"","Trade Balance","2900"
"Germany","Total Exports","36881"
"","Total Imports","35919"
"","Trade Balance","962"
"Thailand","Total Exports",""
"","Total Imports","141"
"","Trade Balance","-141"
"Taiwan","Total Exports",""
"","Total Imports","2230"
"","Trade Balance","-2230"
"Pakistan","Total Exports",""
"","Total Imports","2811"
"","Trade Balance","-2811"
"United Kingdom","Total Exports",""
"","Total Imports","4702"
"","Trade Balance","-4702"
"China","Total Exports",""
"","Total Imports","5415"
"","Trade Balance","-5415"
"New Zealand","Total Exports",""
"","Total Imports","6232"
"","Trade Balance","-6232"
"Singapore","Total Exports",""
"","Total Imports","6551"
"","Trade Balance","-6551"
"Switzerland","Total Exports","2000"
"","Total Imports","9470"
"","Trade Balance","-7470"
"Sweden","Total Exports",""
"","Total Imports","104080"
"","Trade Balance","-104080"
"France (incl. Monaco, French Antilles)","Total Exports","4000"
"","Total Imports","372990"
"","Trade Balance","-368990"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1315067"
"","Trade Balance","-1315067"
"United States","Total Exports","3339170"
"","Total Imports","22136472"
"","Trade Balance","-18797302"
"Total All Countries","Total Exports","53310137"
"","Total Imports","24514153"
"","Trade Balance","28795984"

"Source: Trade Data Online (accessed: April 21, 2025)"



