"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1998"
"Units","Value in  canadian dollars"

"","","1998"
"Australia","Total Exports","68340"
"","Total Imports",""
"","Trade Balance","68340"
"Austria","Total Exports","40850"
"","Total Imports",""
"","Trade Balance","40850"
"Thailand","Total Exports","30500"
"","Total Imports",""
"","Trade Balance","30500"
"China","Total Exports",""
"","Total Imports","123"
"","Trade Balance","-123"
"Italy (incl. Vatican City State)","Total Exports",""
"","Total Imports","170"
"","Trade Balance","-170"
"Guatemala","Total Exports",""
"","Total Imports","398"
"","Trade Balance","-398"
"Colombia","Total Exports",""
"","Total Imports","596"
"","Trade Balance","-596"
"Peru","Total Exports",""
"","Total Imports","740"
"","Trade Balance","-740"
"Ecuador","Total Exports",""
"","Total Imports","1040"
"","Trade Balance","-1040"
"Netherlands","Total Exports",""
"","Total Imports","1289"
"","Trade Balance","-1289"
"Costa Rica","Total Exports",""
"","Total Imports","1340"
"","Trade Balance","-1340"
"Nicaragua","Total Exports",""
"","Total Imports","1386"
"","Trade Balance","-1386"
"Tanzania","Total Exports",""
"","Total Imports","1407"
"","Trade Balance","-1407"
"Finland","Total Exports",""
"","Total Imports","2192"
"","Trade Balance","-2192"
"Belgium","Total Exports",""
"","Total Imports","2625"
"","Trade Balance","-2625"
"Chile","Total Exports",""
"","Total Imports","2783"
"","Trade Balance","-2783"
"Brazil","Total Exports",""
"","Total Imports","3245"
"","Trade Balance","-3245"
"Germany","Total Exports",""
"","Total Imports","25357"
"","Trade Balance","-25357"
"Mexico","Total Exports",""
"","Total Imports","28707"
"","Trade Balance","-28707"
"United Kingdom","Total Exports",""
"","Total Imports","32750"
"","Trade Balance","-32750"
"Denmark","Total Exports",""
"","Total Imports","71630"
"","Trade Balance","-71630"
"Japan","Total Exports",""
"","Total Imports","138780"
"","Trade Balance","-138780"
"France (incl. Monaco, French Antilles)","Total Exports",""
"","Total Imports","419982"
"","Trade Balance","-419982"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","3471447"
"","Trade Balance","-3471447"
"United States","Total Exports","7050527"
"","Total Imports","31853840"
"","Trade Balance","-24803313"
"Total All Countries","Total Exports","7190217"
"","Total Imports","36061827"
"","Trade Balance","-28871610"

"Source: Trade Data Online (accessed: April 21, 2025)"



