"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1999"
"Units","Value in  canadian dollars"

"","","1999"
"Switzerland","Total Exports","30000"
"","Total Imports",""
"","Trade Balance","30000"
"Chile","Total Exports","24365"
"","Total Imports",""
"","Trade Balance","24365"
"Dominican Republic","Total Exports",""
"","Total Imports","90"
"","Trade Balance","-90"
"Denmark","Total Exports",""
"","Total Imports","120"
"","Trade Balance","-120"
"Belgium","Total Exports",""
"","Total Imports","146"
"","Trade Balance","-146"
"Malaysia","Total Exports",""
"","Total Imports","180"
"","Trade Balance","-180"
"Singapore","Total Exports",""
"","Total Imports","201"
"","Trade Balance","-201"
"Indonesia","Total Exports",""
"","Total Imports","240"
"","Trade Balance","-240"
"Philippines","Total Exports",""
"","Total Imports","457"
"","Trade Balance","-457"
"Taiwan","Total Exports",""
"","Total Imports","980"
"","Trade Balance","-980"
"India","Total Exports",""
"","Total Imports","1742"
"","Trade Balance","-1742"
"Japan","Total Exports",""
"","Total Imports","2134"
"","Trade Balance","-2134"
"Mexico","Total Exports",""
"","Total Imports","3156"
"","Trade Balance","-3156"
"Thailand","Total Exports",""
"","Total Imports","4236"
"","Trade Balance","-4236"
"Netherlands","Total Exports",""
"","Total Imports","4728"
"","Trade Balance","-4728"
"Hong Kong","Total Exports",""
"","Total Imports","4872"
"","Trade Balance","-4872"
"Dominica","Total Exports",""
"","Total Imports","7118"
"","Trade Balance","-7118"
"United Kingdom","Total Exports",""
"","Total Imports","7334"
"","Trade Balance","-7334"
"Italy (incl. Vatican City State)","Total Exports",""
"","Total Imports","10437"
"","Trade Balance","-10437"
"China","Total Exports",""
"","Total Imports","11468"
"","Trade Balance","-11468"
"Korea, South","Total Exports",""
"","Total Imports","36041"
"","Trade Balance","-36041"
"Germany","Total Exports",""
"","Total Imports","58943"
"","Trade Balance","-58943"
"France (incl. Monaco, French Antilles)","Total Exports",""
"","Total Imports","191627"
"","Trade Balance","-191627"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","777564"
"","Trade Balance","-777564"
"United States","Total Exports","18058355"
"","Total Imports","56724001"
"","Trade Balance","-38665646"
"Total All Countries","Total Exports","18112720"
"","Total Imports","57847815"
"","Trade Balance","-39735095"

"Source: Trade Data Online (accessed: April 21, 2025)"



