"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2001"
"Units","Value in  canadian dollars"

"","","2001"
"Switzerland","Total Exports","2550"
"","Total Imports",""
"","Trade Balance","2550"
"India","Total Exports",""
"","Total Imports","653"
"","Trade Balance","-653"
"Indonesia","Total Exports",""
"","Total Imports","993"
"","Trade Balance","-993"
"Honduras","Total Exports",""
"","Total Imports","1291"
"","Trade Balance","-1291"
"Korea, North","Total Exports",""
"","Total Imports","1600"
"","Trade Balance","-1600"
"Netherlands","Total Exports",""
"","Total Imports","3036"
"","Trade Balance","-3036"
"Korea, South","Total Exports",""
"","Total Imports","3149"
"","Trade Balance","-3149"
"Thailand","Total Exports",""
"","Total Imports","3258"
"","Trade Balance","-3258"
"Japan","Total Exports","67200"
"","Total Imports","71991"
"","Trade Balance","-4791"
"Taiwan","Total Exports",""
"","Total Imports","4878"
"","Trade Balance","-4878"
"China","Total Exports",""
"","Total Imports","6958"
"","Trade Balance","-6958"
"Mexico","Total Exports",""
"","Total Imports","7441"
"","Trade Balance","-7441"
"Italy (incl. Vatican City State)","Total Exports",""
"","Total Imports","8597"
"","Trade Balance","-8597"
"Austria","Total Exports",""
"","Total Imports","11123"
"","Trade Balance","-11123"
"Sweden","Total Exports",""
"","Total Imports","29743"
"","Trade Balance","-29743"
"France (incl. Monaco, French Antilles)","Total Exports",""
"","Total Imports","90519"
"","Trade Balance","-90519"
"Germany","Total Exports",""
"","Total Imports","338788"
"","Trade Balance","-338788"
"United Kingdom","Total Exports","10000"
"","Total Imports","1020368"
"","Trade Balance","-1010368"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","4123414"
"","Trade Balance","-4123414"
"United States","Total Exports","11661204"
"","Total Imports","51000191"
"","Trade Balance","-39338987"
"Total All Countries","Total Exports","11740954"
"","Total Imports","56727991"
"","Trade Balance","-44987037"

"Source: Trade Data Online (accessed: April 21, 2025)"



