"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"Korea, South","Total Exports","85000"
"","Total Imports","4551"
"","Trade Balance","80449"
"Poland","Total Exports","60000"
"","Total Imports",""
"","Trade Balance","60000"
"India","Total Exports","45427"
"","Total Imports",""
"","Trade Balance","45427"
"Chile","Total Exports","23253"
"","Total Imports",""
"","Trade Balance","23253"
"New Zealand","Total Exports","9885"
"","Total Imports",""
"","Trade Balance","9885"
"Switzerland","Total Exports","7683"
"","Total Imports",""
"","Trade Balance","7683"
"China","Total Exports","21877"
"","Total Imports","15286"
"","Trade Balance","6591"
"Peru","Total Exports","5088"
"","Total Imports",""
"","Trade Balance","5088"
"Austria","Total Exports","12825"
"","Total Imports","7850"
"","Trade Balance","4975"
"Norway","Total Exports","1"
"","Total Imports",""
"","Trade Balance","1"
"Netherlands","Total Exports",""
"","Total Imports","60"
"","Trade Balance","-60"
"Spain","Total Exports",""
"","Total Imports","90"
"","Trade Balance","-90"
"Malaysia","Total Exports",""
"","Total Imports","425"
"","Trade Balance","-425"
"Honduras","Total Exports",""
"","Total Imports","492"
"","Trade Balance","-492"
"Sweden","Total Exports",""
"","Total Imports","1165"
"","Trade Balance","-1165"
"Indonesia","Total Exports",""
"","Total Imports","1760"
"","Trade Balance","-1760"
"Italy (incl. Vatican City State)","Total Exports",""
"","Total Imports","3169"
"","Trade Balance","-3169"
"Australia","Total Exports","32274"
"","Total Imports","42946"
"","Trade Balance","-10672"
"Taiwan","Total Exports",""
"","Total Imports","16994"
"","Trade Balance","-16994"
"Mexico","Total Exports",""
"","Total Imports","19975"
"","Trade Balance","-19975"
"Japan","Total Exports",""
"","Total Imports","98303"
"","Trade Balance","-98303"
"Singapore","Total Exports",""
"","Total Imports","154952"
"","Trade Balance","-154952"
"United Kingdom","Total Exports",""
"","Total Imports","209643"
"","Trade Balance","-209643"
"Germany","Total Exports",""
"","Total Imports","577978"
"","Trade Balance","-577978"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","2688229"
"","Trade Balance","-2688229"
"France (incl. Monaco, French Antilles)","Total Exports","1009"
"","Total Imports","2778183"
"","Trade Balance","-2777174"
"United States","Total Exports","5566403"
"","Total Imports","56133215"
"","Trade Balance","-50566812"
"Total All Countries","Total Exports","5870725"
"","Total Imports","62755266"
"","Trade Balance","-56884541"

"Source: Trade Data Online (accessed: April 21, 2025)"



