"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2005"
"Units","Value in  canadian dollars"

"","","2005"
"China","Total Exports","4929444"
"","Total Imports","2224"
"","Trade Balance","4927220"
"Thailand","Total Exports","272852"
"","Total Imports","3918"
"","Trade Balance","268934"
"Mexico","Total Exports","200000"
"","Total Imports","494"
"","Trade Balance","199506"
"Germany","Total Exports","282983"
"","Total Imports","123224"
"","Trade Balance","159759"
"Spain","Total Exports","65765"
"","Total Imports",""
"","Trade Balance","65765"
"Netherlands","Total Exports","58908"
"","Total Imports",""
"","Trade Balance","58908"
"Cape Verde","Total Exports","56479"
"","Total Imports",""
"","Trade Balance","56479"
"Switzerland","Total Exports","47775"
"","Total Imports","1716"
"","Trade Balance","46059"
"South Africa","Total Exports","25648"
"","Total Imports",""
"","Trade Balance","25648"
"Ireland","Total Exports","14050"
"","Total Imports",""
"","Trade Balance","14050"
"Norway","Total Exports","16100"
"","Total Imports","2568"
"","Trade Balance","13532"
"Italy (incl. Vatican City State)","Total Exports","14678"
"","Total Imports","3885"
"","Trade Balance","10793"
"Chile","Total Exports","9170"
"","Total Imports",""
"","Trade Balance","9170"
"Finland","Total Exports","7800"
"","Total Imports",""
"","Trade Balance","7800"
"Saudi Arabia","Total Exports","4106"
"","Total Imports",""
"","Trade Balance","4106"
"Honduras","Total Exports","4086"
"","Total Imports",""
"","Trade Balance","4086"
"Denmark","Total Exports","2437"
"","Total Imports",""
"","Trade Balance","2437"
"Hungary","Total Exports","2225"
"","Total Imports",""
"","Trade Balance","2225"
"Slovenia","Total Exports","1772"
"","Total Imports",""
"","Trade Balance","1772"
"Singapore","Total Exports","1366"
"","Total Imports",""
"","Trade Balance","1366"
"Belgium","Total Exports","800"
"","Total Imports",""
"","Trade Balance","800"
"Australia","Total Exports","15299"
"","Total Imports","15266"
"","Trade Balance","33"
"Austria","Total Exports","46984"
"","Total Imports","47093"
"","Trade Balance","-109"
"Ukraine","Total Exports",""
"","Total Imports","154"
"","Trade Balance","-154"
"Türkiye","Total Exports",""
"","Total Imports","310"
"","Trade Balance","-310"
"Philippines","Total Exports",""
"","Total Imports","488"
"","Trade Balance","-488"
"Hong Kong","Total Exports",""
"","Total Imports","883"
"","Trade Balance","-883"
"Sweden","Total Exports","250"
"","Total Imports","3348"
"","Trade Balance","-3098"
"Taiwan","Total Exports",""
"","Total Imports","3235"
"","Trade Balance","-3235"
"Korea, South","Total Exports",""
"","Total Imports","4268"
"","Trade Balance","-4268"
"United Kingdom","Total Exports","54442"
"","Total Imports","69734"
"","Trade Balance","-15292"
"Argentina","Total Exports",""
"","Total Imports","74995"
"","Trade Balance","-74995"
"Brazil","Total Exports",""
"","Total Imports","126841"
"","Trade Balance","-126841"
"Japan","Total Exports","69051"
"","Total Imports","234895"
"","Trade Balance","-165844"
"France (incl. Monaco, French Antilles)","Total Exports",""
"","Total Imports","383423"
"","Trade Balance","-383423"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","8622837"
"","Trade Balance","-8622837"
"United States","Total Exports","5172635"
"","Total Imports","67184508"
"","Trade Balance","-62011873"
"Total All Countries","Total Exports","11377105"
"","Total Imports","76910307"
"","Trade Balance","-65533202"

"Source: Trade Data Online (accessed: April 21, 2025)"



