"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2006"
"Units","Value in  canadian dollars"

"","","2006"
"China","Total Exports","31998966"
"","Total Imports","169286"
"","Trade Balance","31829680"
"Sweden","Total Exports","211550"
"","Total Imports","46530"
"","Trade Balance","165020"
"Colombia","Total Exports","50232"
"","Total Imports",""
"","Trade Balance","50232"
"Italy (incl. Vatican City State)","Total Exports","43452"
"","Total Imports",""
"","Trade Balance","43452"
"Australia","Total Exports","41444"
"","Total Imports",""
"","Trade Balance","41444"
"Slovenia","Total Exports","39570"
"","Total Imports",""
"","Trade Balance","39570"
"Switzerland","Total Exports","14617"
"","Total Imports",""
"","Trade Balance","14617"
"Austria","Total Exports","13872"
"","Total Imports",""
"","Trade Balance","13872"
"Spain","Total Exports","9026"
"","Total Imports",""
"","Trade Balance","9026"
"Netherlands","Total Exports","4213"
"","Total Imports",""
"","Trade Balance","4213"
"Kazakhstan","Total Exports","3900"
"","Total Imports",""
"","Trade Balance","3900"
"India","Total Exports","2545"
"","Total Imports",""
"","Trade Balance","2545"
"Chile","Total Exports","1950"
"","Total Imports",""
"","Trade Balance","1950"
"New Zealand","Total Exports","1050"
"","Total Imports",""
"","Trade Balance","1050"
"Saint Pierre-Miquelon","Total Exports","1046"
"","Total Imports",""
"","Trade Balance","1046"
"Mexico","Total Exports","3030"
"","Total Imports","2337"
"","Trade Balance","693"
"Hungary","Total Exports","600"
"","Total Imports",""
"","Trade Balance","600"
"Norway","Total Exports","390"
"","Total Imports",""
"","Trade Balance","390"
"United Arab Emirates","Total Exports","69"
"","Total Imports",""
"","Trade Balance","69"
"Thailand","Total Exports",""
"","Total Imports","69"
"","Trade Balance","-69"
"Hong Kong","Total Exports",""
"","Total Imports","284"
"","Trade Balance","-284"
"Portugal","Total Exports",""
"","Total Imports","2262"
"","Trade Balance","-2262"
"Korea, South","Total Exports",""
"","Total Imports","2483"
"","Trade Balance","-2483"
"Taiwan","Total Exports",""
"","Total Imports","6690"
"","Trade Balance","-6690"
"South Africa","Total Exports",""
"","Total Imports","11634"
"","Trade Balance","-11634"
"Vietnam","Total Exports",""
"","Total Imports","15007"
"","Trade Balance","-15007"
"Denmark","Total Exports","1675"
"","Total Imports","23176"
"","Trade Balance","-21501"
"Germany","Total Exports","22905"
"","Total Imports","56827"
"","Trade Balance","-33922"
"Belgium","Total Exports","1350"
"","Total Imports","78345"
"","Trade Balance","-76995"
"France (incl. Monaco, French Antilles)","Total Exports","3407"
"","Total Imports","116721"
"","Trade Balance","-113314"
"Japan","Total Exports","28693"
"","Total Imports","202666"
"","Trade Balance","-173973"
"Ireland","Total Exports",""
"","Total Imports","616459"
"","Trade Balance","-616459"
"United Kingdom","Total Exports","28145"
"","Total Imports","1116251"
"","Trade Balance","-1088106"
"Russia","Total Exports",""
"","Total Imports","4031945"
"","Trade Balance","-4031945"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","8719772"
"","Trade Balance","-8719772"
"United States","Total Exports","7156789"
"","Total Imports","71175105"
"","Trade Balance","-64018316"
"Total All Countries","Total Exports","39684486"
"","Total Imports","86393849"
"","Trade Balance","-46709363"

"Source: Trade Data Online (accessed: April 21, 2025)"



