"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2010"
"Units","Value in  canadian dollars"

"","","2010"
"United States","Total Exports","93032257"
"","Total Imports","90345323"
"","Trade Balance","2686934"
"Mexico","Total Exports","2222501"
"","Total Imports","4165"
"","Trade Balance","2218336"
"Colombia","Total Exports","588388"
"","Total Imports",""
"","Trade Balance","588388"
"Cambodia (Kampuchea)","Total Exports","476948"
"","Total Imports",""
"","Trade Balance","476948"
"Panama","Total Exports","473060"
"","Total Imports",""
"","Trade Balance","473060"
"Tanzania","Total Exports","461130"
"","Total Imports",""
"","Trade Balance","461130"
"Guatemala","Total Exports","432820"
"","Total Imports",""
"","Trade Balance","432820"
"Germany","Total Exports","138171"
"","Total Imports","12261"
"","Trade Balance","125910"
"Norway","Total Exports","332395"
"","Total Imports","218802"
"","Trade Balance","113593"
"Brazil","Total Exports","68000"
"","Total Imports","8927"
"","Trade Balance","59073"
"Austria","Total Exports","63582"
"","Total Imports","5474"
"","Trade Balance","58108"
"Chile","Total Exports","14980"
"","Total Imports",""
"","Trade Balance","14980"
"Guyana","Total Exports","12285"
"","Total Imports",""
"","Trade Balance","12285"
"Bermuda","Total Exports","12192"
"","Total Imports",""
"","Trade Balance","12192"
"United Arab Emirates","Total Exports","10000"
"","Total Imports",""
"","Trade Balance","10000"
"Trinidad and Tobago","Total Exports","9400"
"","Total Imports",""
"","Trade Balance","9400"
"Egypt","Total Exports","9084"
"","Total Imports",""
"","Trade Balance","9084"
"Hong Kong","Total Exports","10006"
"","Total Imports","2229"
"","Trade Balance","7777"
"New Zealand","Total Exports","11455"
"","Total Imports","6121"
"","Trade Balance","5334"
"Saint Kitts and Nevis","Total Exports","5202"
"","Total Imports",""
"","Trade Balance","5202"
"Honduras","Total Exports","4426"
"","Total Imports",""
"","Trade Balance","4426"
"Estonia","Total Exports","3790"
"","Total Imports",""
"","Trade Balance","3790"
"Congo (formerly Brazzaville)","Total Exports","3200"
"","Total Imports",""
"","Trade Balance","3200"
"Saint Pierre-Miquelon","Total Exports","2609"
"","Total Imports",""
"","Trade Balance","2609"
"Afghanistan","Total Exports","2500"
"","Total Imports",""
"","Trade Balance","2500"
"Ghana","Total Exports","2200"
"","Total Imports",""
"","Trade Balance","2200"
"Philippines","Total Exports","1502"
"","Total Imports","101"
"","Trade Balance","1401"
"Kuwait","Total Exports","1275"
"","Total Imports",""
"","Trade Balance","1275"
"Switzerland","Total Exports","1575"
"","Total Imports","376"
"","Trade Balance","1199"
"Spain","Total Exports","1050"
"","Total Imports","32"
"","Trade Balance","1018"
"Greenland","Total Exports","685"
"","Total Imports",""
"","Trade Balance","685"
"South Africa","Total Exports","750"
"","Total Imports","141"
"","Trade Balance","609"
"Ecuador","Total Exports","607"
"","Total Imports",""
"","Trade Balance","607"
"Ukraine","Total Exports","600"
"","Total Imports",""
"","Trade Balance","600"
"Slovakia","Total Exports","350"
"","Total Imports",""
"","Trade Balance","350"
"Angola","Total Exports","46"
"","Total Imports",""
"","Trade Balance","46"
"Romania","Total Exports","1"
"","Total Imports",""
"","Trade Balance","1"
"India","Total Exports",""
"","Total Imports","24"
"","Trade Balance","-24"
"Bangladesh","Total Exports",""
"","Total Imports","58"
"","Trade Balance","-58"
"Czech Republic","Total Exports","750"
"","Total Imports","869"
"","Trade Balance","-119"
"Netherlands","Total Exports",""
"","Total Imports","151"
"","Trade Balance","-151"
"Thailand","Total Exports",""
"","Total Imports","176"
"","Trade Balance","-176"
"Vietnam","Total Exports",""
"","Total Imports","851"
"","Trade Balance","-851"
"Taiwan","Total Exports",""
"","Total Imports","961"
"","Trade Balance","-961"
"Poland","Total Exports",""
"","Total Imports","1945"
"","Trade Balance","-1945"
"Ireland","Total Exports",""
"","Total Imports","2832"
"","Trade Balance","-2832"
"Denmark","Total Exports",""
"","Total Imports","3214"
"","Trade Balance","-3214"
"Malaysia","Total Exports",""
"","Total Imports","7906"
"","Trade Balance","-7906"
"Korea, South","Total Exports",""
"","Total Imports","8827"
"","Trade Balance","-8827"
"Finland","Total Exports","1525"
"","Total Imports","17074"
"","Trade Balance","-15549"
"Sweden","Total Exports","1275"
"","Total Imports","29259"
"","Trade Balance","-27984"
"Italy (incl. Vatican City State)","Total Exports","12763"
"","Total Imports","52509"
"","Trade Balance","-39746"
"Japan","Total Exports","76540"
"","Total Imports","137491"
"","Trade Balance","-60951"
"Australia","Total Exports","12682"
"","Total Imports","100000"
"","Trade Balance","-87318"
"Argentina","Total Exports","5595"
"","Total Imports","186662"
"","Trade Balance","-181067"
"China","Total Exports","51241"
"","Total Imports","250277"
"","Trade Balance","-199036"
"Belgium","Total Exports","1625"
"","Total Imports","433457"
"","Trade Balance","-431832"
"United Kingdom","Total Exports","50330"
"","Total Imports","512166"
"","Trade Balance","-461836"
"France (incl. Monaco, French Antilles)","Total Exports","6618"
"","Total Imports","1050394"
"","Trade Balance","-1043776"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1412563"
"","Trade Balance","-1412563"
"Total All Countries","Total Exports","98631966"
"","Total Imports","94813618"
"","Trade Balance","3818348"

"Source: Trade Data Online (accessed: April 21, 2025)"



