"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2015"
"Units","Value in  canadian dollars"

"","","2015"
"United States","Total Exports","106317054"
"","Total Imports","65548217"
"","Trade Balance","40768837"
"Mexico","Total Exports","875327"
"","Total Imports","91575"
"","Trade Balance","783752"
"China","Total Exports","446159"
"","Total Imports","156124"
"","Trade Balance","290035"
"Hong Kong","Total Exports","224721"
"","Total Imports",""
"","Trade Balance","224721"
"Israel","Total Exports","219170"
"","Total Imports","2098"
"","Trade Balance","217072"
"Korea, South","Total Exports","155497"
"","Total Imports","15713"
"","Trade Balance","139784"
"Saudi Arabia","Total Exports","102917"
"","Total Imports",""
"","Trade Balance","102917"
"Russia","Total Exports","87500"
"","Total Imports",""
"","Trade Balance","87500"
"Switzerland","Total Exports","79783"
"","Total Imports","541"
"","Trade Balance","79242"
"Cambodia (Kampuchea)","Total Exports","63220"
"","Total Imports",""
"","Trade Balance","63220"
"Chile","Total Exports","55879"
"","Total Imports",""
"","Trade Balance","55879"
"Norway","Total Exports","55745"
"","Total Imports",""
"","Trade Balance","55745"
"Ecuador","Total Exports","52172"
"","Total Imports",""
"","Trade Balance","52172"
"Peru","Total Exports","48880"
"","Total Imports",""
"","Trade Balance","48880"
"Egypt","Total Exports","46800"
"","Total Imports",""
"","Trade Balance","46800"
"Colombia","Total Exports","43394"
"","Total Imports",""
"","Trade Balance","43394"
"Austria","Total Exports","43073"
"","Total Imports","2481"
"","Trade Balance","40592"
"Australia","Total Exports","40660"
"","Total Imports","1328"
"","Trade Balance","39332"
"Romania","Total Exports","20275"
"","Total Imports",""
"","Trade Balance","20275"
"Oman (formerly Muscat and Oman)","Total Exports","19000"
"","Total Imports",""
"","Trade Balance","19000"
"Saint Pierre-Miquelon","Total Exports","8227"
"","Total Imports",""
"","Trade Balance","8227"
"Singapore","Total Exports","8051"
"","Total Imports",""
"","Trade Balance","8051"
"Costa Rica","Total Exports","4172"
"","Total Imports",""
"","Trade Balance","4172"
"New Zealand","Total Exports","2284"
"","Total Imports","60"
"","Trade Balance","2224"
"Poland","Total Exports","1825"
"","Total Imports",""
"","Trade Balance","1825"
"Belgium","Total Exports","1550"
"","Total Imports","906"
"","Trade Balance","644"
"Denmark","Total Exports","2325"
"","Total Imports","1803"
"","Trade Balance","522"
"Philippines","Total Exports","2959"
"","Total Imports","2648"
"","Trade Balance","311"
"Spain","Total Exports","1550"
"","Total Imports","1365"
"","Trade Balance","185"
"Guatemala","Total Exports",""
"","Total Imports","2"
"","Trade Balance","-2"
"Brazil","Total Exports",""
"","Total Imports","18"
"","Trade Balance","-18"
"Honduras","Total Exports",""
"","Total Imports","81"
"","Trade Balance","-81"
"Pakistan","Total Exports",""
"","Total Imports","101"
"","Trade Balance","-101"
"Türkiye","Total Exports",""
"","Total Imports","119"
"","Trade Balance","-119"
"Sri Lanka","Total Exports",""
"","Total Imports","358"
"","Trade Balance","-358"
"India","Total Exports",""
"","Total Imports","404"
"","Trade Balance","-404"
"Thailand","Total Exports",""
"","Total Imports","599"
"","Trade Balance","-599"
"Netherlands","Total Exports",""
"","Total Imports","2040"
"","Trade Balance","-2040"
"Indonesia","Total Exports",""
"","Total Imports","2492"
"","Trade Balance","-2492"
"Hungary","Total Exports",""
"","Total Imports","2500"
"","Trade Balance","-2500"
"Vietnam","Total Exports",""
"","Total Imports","2852"
"","Trade Balance","-2852"
"Czech Republic","Total Exports","725"
"","Total Imports","4007"
"","Trade Balance","-3282"
"Italy (incl. Vatican City State)","Total Exports","118542"
"","Total Imports","123078"
"","Trade Balance","-4536"
"Taiwan","Total Exports",""
"","Total Imports","4538"
"","Trade Balance","-4538"
"Malaysia","Total Exports","4216"
"","Total Imports","9718"
"","Trade Balance","-5502"
"Sweden","Total Exports",""
"","Total Imports","6638"
"","Trade Balance","-6638"
"Finland","Total Exports",""
"","Total Imports","15000"
"","Trade Balance","-15000"
"Japan","Total Exports","352265"
"","Total Imports","456357"
"","Trade Balance","-104092"
"Germany","Total Exports","10325"
"","Total Imports","412058"
"","Trade Balance","-401733"
"United Kingdom","Total Exports","8572"
"","Total Imports","990930"
"","Trade Balance","-982358"
"France (incl. Monaco, French Antilles)","Total Exports","15876"
"","Total Imports","2430965"
"","Trade Balance","-2415089"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","4351544"
"","Trade Balance","-4351544"
"Total All Countries","Total Exports","109540690"
"","Total Imports","74641258"
"","Trade Balance","34899432"

"Source: Trade Data Online (accessed: April 21, 2025)"



