"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2016"
"Units","Value in  canadian dollars"

"","","2016"
"United States","Total Exports","213310223"
"","Total Imports","56111362"
"","Trade Balance","157198861"
"Mexico","Total Exports","2919272"
"","Total Imports","35252"
"","Trade Balance","2884020"
"Ecuador","Total Exports","2235158"
"","Total Imports",""
"","Trade Balance","2235158"
"Colombia","Total Exports","551548"
"","Total Imports",""
"","Trade Balance","551548"
"Peru","Total Exports","414322"
"","Total Imports",""
"","Trade Balance","414322"
"Ethiopia","Total Exports","287843"
"","Total Imports",""
"","Trade Balance","287843"
"India","Total Exports","256200"
"","Total Imports","2740"
"","Trade Balance","253460"
"Türkiye","Total Exports","134985"
"","Total Imports",""
"","Trade Balance","134985"
"Sweden","Total Exports","201920"
"","Total Imports","71225"
"","Trade Balance","130695"
"Nicaragua","Total Exports","113652"
"","Total Imports",""
"","Trade Balance","113652"
"Austria","Total Exports","96312"
"","Total Imports","7104"
"","Trade Balance","89208"
"Hong Kong","Total Exports","63416"
"","Total Imports",""
"","Trade Balance","63416"
"Taiwan","Total Exports","41823"
"","Total Imports","346"
"","Trade Balance","41477"
"Ireland","Total Exports","38304"
"","Total Imports",""
"","Trade Balance","38304"
"Zimbabwe","Total Exports","36108"
"","Total Imports",""
"","Trade Balance","36108"
"Egypt","Total Exports","34490"
"","Total Imports",""
"","Trade Balance","34490"
"Italy (incl. Vatican City State)","Total Exports","59129"
"","Total Imports","24814"
"","Trade Balance","34315"
"Singapore","Total Exports","23786"
"","Total Imports","780"
"","Trade Balance","23006"
"Switzerland","Total Exports","13379"
"","Total Imports",""
"","Trade Balance","13379"
"Vietnam","Total Exports","7936"
"","Total Imports",""
"","Trade Balance","7936"
"Russia","Total Exports","6500"
"","Total Imports",""
"","Trade Balance","6500"
"Guatemala","Total Exports","6215"
"","Total Imports",""
"","Trade Balance","6215"
"Israel","Total Exports","5795"
"","Total Imports",""
"","Trade Balance","5795"
"Denmark","Total Exports","4525"
"","Total Imports",""
"","Trade Balance","4525"
"Bulgaria","Total Exports","3883"
"","Total Imports",""
"","Trade Balance","3883"
"Belgium","Total Exports","3650"
"","Total Imports",""
"","Trade Balance","3650"
"New Zealand","Total Exports","2950"
"","Total Imports",""
"","Trade Balance","2950"
"Norway","Total Exports","2375"
"","Total Imports",""
"","Trade Balance","2375"
"Jamaica","Total Exports","2070"
"","Total Imports",""
"","Trade Balance","2070"
"Saint Vincent and the Grenadines","Total Exports","596"
"","Total Imports",""
"","Trade Balance","596"
"Australia","Total Exports","525"
"","Total Imports",""
"","Trade Balance","525"
"South Africa","Total Exports","484"
"","Total Imports",""
"","Trade Balance","484"
"Luxembourg","Total Exports","350"
"","Total Imports",""
"","Trade Balance","350"
"Hungary","Total Exports","215"
"","Total Imports",""
"","Trade Balance","215"
"Turks and Caicos Islands","Total Exports","153"
"","Total Imports",""
"","Trade Balance","153"
"Malaysia","Total Exports",""
"","Total Imports","16"
"","Trade Balance","-16"
"Pakistan","Total Exports",""
"","Total Imports","19"
"","Trade Balance","-19"
"Brazil","Total Exports",""
"","Total Imports","93"
"","Trade Balance","-93"
"Honduras","Total Exports",""
"","Total Imports","101"
"","Trade Balance","-101"
"Netherlands","Total Exports","275"
"","Total Imports","1245"
"","Trade Balance","-970"
"Spain","Total Exports","1225"
"","Total Imports","2361"
"","Trade Balance","-1136"
"Poland","Total Exports","450"
"","Total Imports","15870"
"","Trade Balance","-15420"
"France (incl. Monaco, French Antilles)","Total Exports","20557"
"","Total Imports","37698"
"","Trade Balance","-17141"
"Germany","Total Exports","14572"
"","Total Imports","53168"
"","Trade Balance","-38596"
"Finland","Total Exports",""
"","Total Imports","40479"
"","Trade Balance","-40479"
"Japan","Total Exports","33622"
"","Total Imports","96208"
"","Trade Balance","-62586"
"China","Total Exports","10600"
"","Total Imports","106413"
"","Trade Balance","-95813"
"Korea, South","Total Exports",""
"","Total Imports","429063"
"","Trade Balance","-429063"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","896042"
"","Trade Balance","-896042"
"United Kingdom","Total Exports","13246"
"","Total Imports","1457987"
"","Trade Balance","-1444741"
"Total All Countries","Total Exports","220974639"
"","Total Imports","59390386"
"","Trade Balance","161584253"

"Source: Trade Data Online (accessed: April 21, 2025)"



