"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"United States","Total Exports","103156109"
"","Total Imports","74698527"
"","Trade Balance","28457582"
"Mexico","Total Exports","2499847"
"","Total Imports","14215"
"","Trade Balance","2485632"
"Ecuador","Total Exports","1175266"
"","Total Imports",""
"","Trade Balance","1175266"
"Peru","Total Exports","417678"
"","Total Imports",""
"","Trade Balance","417678"
"Dominican Republic","Total Exports","408330"
"","Total Imports",""
"","Trade Balance","408330"
"Ethiopia","Total Exports","222788"
"","Total Imports",""
"","Trade Balance","222788"
"New Zealand","Total Exports","215820"
"","Total Imports",""
"","Trade Balance","215820"
"Colombia","Total Exports","208494"
"","Total Imports",""
"","Trade Balance","208494"
"Nicaragua","Total Exports","153872"
"","Total Imports",""
"","Trade Balance","153872"
"France (incl. Monaco, French Antilles)","Total Exports","76836"
"","Total Imports","5117"
"","Trade Balance","71719"
"Austria","Total Exports","70746"
"","Total Imports",""
"","Trade Balance","70746"
"Guatemala","Total Exports","50727"
"","Total Imports",""
"","Trade Balance","50727"
"Switzerland","Total Exports","43205"
"","Total Imports","323"
"","Trade Balance","42882"
"South Africa","Total Exports","40821"
"","Total Imports",""
"","Trade Balance","40821"
"Saint Vincent and the Grenadines","Total Exports","30980"
"","Total Imports",""
"","Trade Balance","30980"
"Panama","Total Exports","19602"
"","Total Imports",""
"","Trade Balance","19602"
"Norway","Total Exports","16428"
"","Total Imports",""
"","Trade Balance","16428"
"Netherlands","Total Exports","13402"
"","Total Imports",""
"","Trade Balance","13402"
"Brazil","Total Exports","11702"
"","Total Imports",""
"","Trade Balance","11702"
"Honduras","Total Exports","4780"
"","Total Imports",""
"","Trade Balance","4780"
"Russia","Total Exports","4275"
"","Total Imports",""
"","Trade Balance","4275"
"Estonia","Total Exports","4049"
"","Total Imports",""
"","Trade Balance","4049"
"Czech Republic","Total Exports","3983"
"","Total Imports",""
"","Trade Balance","3983"
"Lithuania","Total Exports","3831"
"","Total Imports",""
"","Trade Balance","3831"
"United Arab Emirates","Total Exports","3495"
"","Total Imports",""
"","Trade Balance","3495"
"Saint Lucia","Total Exports","2069"
"","Total Imports",""
"","Trade Balance","2069"
"Belgium","Total Exports","1480"
"","Total Imports",""
"","Trade Balance","1480"
"Latvia","Total Exports","450"
"","Total Imports",""
"","Trade Balance","450"
"Benin","Total Exports","222"
"","Total Imports",""
"","Trade Balance","222"
"Hong Kong","Total Exports","93"
"","Total Imports",""
"","Trade Balance","93"
"Philippines","Total Exports",""
"","Total Imports","250"
"","Trade Balance","-250"
"India","Total Exports",""
"","Total Imports","287"
"","Trade Balance","-287"
"Korea, South","Total Exports",""
"","Total Imports","323"
"","Trade Balance","-323"
"Taiwan","Total Exports",""
"","Total Imports","810"
"","Trade Balance","-810"
"Thailand","Total Exports",""
"","Total Imports","1027"
"","Trade Balance","-1027"
"Italy (incl. Vatican City State)","Total Exports","400"
"","Total Imports","6909"
"","Trade Balance","-6509"
"Sweden","Total Exports","550"
"","Total Imports","7074"
"","Trade Balance","-6524"
"Spain","Total Exports","55695"
"","Total Imports","75342"
"","Trade Balance","-19647"
"Japan","Total Exports","30116"
"","Total Imports","97268"
"","Trade Balance","-67152"
"Malaysia","Total Exports",""
"","Total Imports","77716"
"","Trade Balance","-77716"
"China","Total Exports","49605"
"","Total Imports","150675"
"","Trade Balance","-101070"
"Germany","Total Exports","28747"
"","Total Imports","182289"
"","Trade Balance","-153542"
"Denmark","Total Exports","4420"
"","Total Imports","164481"
"","Trade Balance","-160061"
"Australia","Total Exports","4015"
"","Total Imports","512721"
"","Trade Balance","-508706"
"United Kingdom","Total Exports","7722"
"","Total Imports","729756"
"","Trade Balance","-722034"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","904563"
"","Trade Balance","-904563"
"Total All Countries","Total Exports","109042650"
"","Total Imports","77629673"
"","Trade Balance","31412977"

"Source: Trade Data Online (accessed: April 21, 2025)"



