"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2018"
"Units","Value in  canadian dollars"

"","","2018"
"United States","Total Exports","77804507"
"","Total Imports","48443328"
"","Trade Balance","29361179"
"Mexico","Total Exports","1829538"
"","Total Imports","23611"
"","Trade Balance","1805927"
"Ecuador","Total Exports","798563"
"","Total Imports",""
"","Trade Balance","798563"
"Colombia","Total Exports","456119"
"","Total Imports",""
"","Trade Balance","456119"
"Nicaragua","Total Exports","201738"
"","Total Imports",""
"","Trade Balance","201738"
"Austria","Total Exports","169844"
"","Total Imports",""
"","Trade Balance","169844"
"Ethiopia","Total Exports","111417"
"","Total Imports",""
"","Trade Balance","111417"
"Lithuania","Total Exports","107921"
"","Total Imports",""
"","Trade Balance","107921"
"New Zealand","Total Exports","99566"
"","Total Imports",""
"","Trade Balance","99566"
"Switzerland","Total Exports","90337"
"","Total Imports",""
"","Trade Balance","90337"
"Peru","Total Exports","70852"
"","Total Imports",""
"","Trade Balance","70852"
"Italy (incl. Vatican City State)","Total Exports","87598"
"","Total Imports","21525"
"","Trade Balance","66073"
"Vietnam","Total Exports","33089"
"","Total Imports",""
"","Trade Balance","33089"
"Antarctica","Total Exports","32500"
"","Total Imports",""
"","Trade Balance","32500"
"Germany","Total Exports","51337"
"","Total Imports","32691"
"","Trade Balance","18646"
"India","Total Exports","10000"
"","Total Imports",""
"","Trade Balance","10000"
"Jamaica","Total Exports","5718"
"","Total Imports",""
"","Trade Balance","5718"
"Denmark","Total Exports","4720"
"","Total Imports",""
"","Trade Balance","4720"
"Bahamas","Total Exports","3976"
"","Total Imports",""
"","Trade Balance","3976"
"Dominica","Total Exports","3926"
"","Total Imports",""
"","Trade Balance","3926"
"Saint Kitts and Nevis","Total Exports","1900"
"","Total Imports",""
"","Trade Balance","1900"
"Iceland","Total Exports","1675"
"","Total Imports",""
"","Trade Balance","1675"
"Belgium","Total Exports","770"
"","Total Imports",""
"","Trade Balance","770"
"Argentina","Total Exports","675"
"","Total Imports",""
"","Trade Balance","675"
"Saudi Arabia","Total Exports","621"
"","Total Imports",""
"","Trade Balance","621"
"Spain","Total Exports","550"
"","Total Imports",""
"","Trade Balance","550"
"Latvia","Total Exports","550"
"","Total Imports",""
"","Trade Balance","550"
"Eritrea","Total Exports","500"
"","Total Imports",""
"","Trade Balance","500"
"Saint Vincent and the Grenadines","Total Exports","130"
"","Total Imports",""
"","Trade Balance","130"
"Sweden","Total Exports",""
"","Total Imports","2211"
"","Trade Balance","-2211"
"Malaysia","Total Exports",""
"","Total Imports","2617"
"","Trade Balance","-2617"
"Taiwan","Total Exports",""
"","Total Imports","5392"
"","Trade Balance","-5392"
"Korea, South","Total Exports",""
"","Total Imports","9092"
"","Trade Balance","-9092"
"Hungary","Total Exports",""
"","Total Imports","23315"
"","Trade Balance","-23315"
"Netherlands","Total Exports",""
"","Total Imports","26274"
"","Trade Balance","-26274"
"France (incl. Monaco, French Antilles)","Total Exports","20837"
"","Total Imports","82702"
"","Trade Balance","-61865"
"United Kingdom","Total Exports","12124"
"","Total Imports","103826"
"","Trade Balance","-91702"
"China","Total Exports",""
"","Total Imports","972530"
"","Trade Balance","-972530"
"Australia","Total Exports","196019"
"","Total Imports","1185236"
"","Trade Balance","-989217"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","1020968"
"","Trade Balance","-1020968"
"Japan","Total Exports","59519"
"","Total Imports","1799302"
"","Trade Balance","-1739783"
"Total All Countries","Total Exports","82269136"
"","Total Imports","53754620"
"","Trade Balance","28514516"

"Source: Trade Data Online (accessed: April 21, 2025)"



