"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"Mexico","Total Exports","1479752"
"","Total Imports","13759"
"","Trade Balance","1465993"
"Colombia","Total Exports","640976"
"","Total Imports",""
"","Trade Balance","640976"
"Ethiopia","Total Exports","342791"
"","Total Imports",""
"","Trade Balance","342791"
"Peru","Total Exports","222696"
"","Total Imports",""
"","Trade Balance","222696"
"Nicaragua","Total Exports","182768"
"","Total Imports",""
"","Trade Balance","182768"
"Italy (incl. Vatican City State)","Total Exports","158813"
"","Total Imports","2162"
"","Trade Balance","156651"
"Ecuador","Total Exports","151606"
"","Total Imports",""
"","Trade Balance","151606"
"Chile","Total Exports","101279"
"","Total Imports",""
"","Trade Balance","101279"
"Austria","Total Exports","96428"
"","Total Imports",""
"","Trade Balance","96428"
"Oman (formerly Muscat and Oman)","Total Exports","79032"
"","Total Imports",""
"","Trade Balance","79032"
"India","Total Exports","72188"
"","Total Imports",""
"","Trade Balance","72188"
"Lithuania","Total Exports","61983"
"","Total Imports",""
"","Trade Balance","61983"
"Switzerland","Total Exports","60446"
"","Total Imports",""
"","Trade Balance","60446"
"Brazil","Total Exports","52752"
"","Total Imports",""
"","Trade Balance","52752"
"Germany","Total Exports","54675"
"","Total Imports","12156"
"","Trade Balance","42519"
"China","Total Exports","106569"
"","Total Imports","64868"
"","Trade Balance","41701"
"Norway","Total Exports","7400"
"","Total Imports",""
"","Trade Balance","7400"
"Saint Kitts and Nevis","Total Exports","3226"
"","Total Imports",""
"","Trade Balance","3226"
"Qatar","Total Exports","3177"
"","Total Imports",""
"","Trade Balance","3177"
"Denmark","Total Exports","1750"
"","Total Imports",""
"","Trade Balance","1750"
"New Zealand","Total Exports","1300"
"","Total Imports",""
"","Trade Balance","1300"
"Argentina","Total Exports","1050"
"","Total Imports",""
"","Trade Balance","1050"
"South Africa","Total Exports","875"
"","Total Imports",""
"","Trade Balance","875"
"Philippines","Total Exports",""
"","Total Imports","233"
"","Trade Balance","-233"
"Vietnam","Total Exports",""
"","Total Imports","458"
"","Trade Balance","-458"
"Hong Kong","Total Exports",""
"","Total Imports","872"
"","Trade Balance","-872"
"Taiwan","Total Exports",""
"","Total Imports","2713"
"","Trade Balance","-2713"
"Malaysia","Total Exports",""
"","Total Imports","2840"
"","Trade Balance","-2840"
"Korea, South","Total Exports",""
"","Total Imports","14655"
"","Trade Balance","-14655"
"France (incl. Monaco, French Antilles)","Total Exports","18189"
"","Total Imports","115958"
"","Trade Balance","-97769"
"United Kingdom","Total Exports","4000"
"","Total Imports","318999"
"","Trade Balance","-314999"
"Australia","Total Exports","55867"
"","Total Imports","510526"
"","Trade Balance","-454659"
"Singapore","Total Exports",""
"","Total Imports","469602"
"","Trade Balance","-469602"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","747149"
"","Trade Balance","-747149"
"Sweden","Total Exports","2050"
"","Total Imports","1251796"
"","Trade Balance","-1249746"
"Japan","Total Exports","126272"
"","Total Imports","1384681"
"","Trade Balance","-1258409"
"United States","Total Exports","13231577"
"","Total Imports","53666664"
"","Trade Balance","-40435087"
"Total All Countries","Total Exports","17321487"
"","Total Imports","58580091"
"","Trade Balance","-41258604"

"Source: Trade Data Online (accessed: April 21, 2025)"



