"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Yukon Territory"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2022"
"Units","Value in  canadian dollars"

"","","2022"
"United States","Total Exports","191528710"
"","Total Imports","49026434"
"","Trade Balance","142502276"
"Colombia","Total Exports","2816943"
"","Total Imports",""
"","Trade Balance","2816943"
"Mexico","Total Exports","2272156"
"","Total Imports","556"
"","Trade Balance","2271600"
"Nicaragua","Total Exports","1757883"
"","Total Imports",""
"","Trade Balance","1757883"
"Ecuador","Total Exports","1258186"
"","Total Imports",""
"","Trade Balance","1258186"
"Switzerland","Total Exports","520653"
"","Total Imports",""
"","Trade Balance","520653"
"Egypt","Total Exports","246246"
"","Total Imports",""
"","Trade Balance","246246"
"Korea, South","Total Exports","266380"
"","Total Imports","33413"
"","Trade Balance","232967"
"Italy (incl. Vatican City State)","Total Exports","144703"
"","Total Imports",""
"","Trade Balance","144703"
"Oman (formerly Muscat and Oman)","Total Exports","91044"
"","Total Imports",""
"","Trade Balance","91044"
"Austria","Total Exports","73775"
"","Total Imports",""
"","Trade Balance","73775"
"Zimbabwe","Total Exports","64905"
"","Total Imports",""
"","Trade Balance","64905"
"U.S. Minor Outlying Islands","Total Exports","58921"
"","Total Imports",""
"","Trade Balance","58921"
"Kuwait","Total Exports","58867"
"","Total Imports",""
"","Trade Balance","58867"
"Denmark","Total Exports","54187"
"","Total Imports",""
"","Trade Balance","54187"
"Lithuania","Total Exports","32512"
"","Total Imports",""
"","Trade Balance","32512"
"Qatar","Total Exports","24347"
"","Total Imports",""
"","Trade Balance","24347"
"Saudi Arabia","Total Exports","20335"
"","Total Imports",""
"","Trade Balance","20335"
"Germany","Total Exports","44919"
"","Total Imports","31643"
"","Trade Balance","13276"
"Latvia","Total Exports","12000"
"","Total Imports",""
"","Trade Balance","12000"
"Brazil","Total Exports","11789"
"","Total Imports",""
"","Trade Balance","11789"
"Netherlands","Total Exports","2626"
"","Total Imports",""
"","Trade Balance","2626"
"Algeria","Total Exports","2429"
"","Total Imports",""
"","Trade Balance","2429"
"Myanmar (Burma)","Total Exports",""
"","Total Imports","67"
"","Trade Balance","-67"
"Spain","Total Exports",""
"","Total Imports","9937"
"","Trade Balance","-9937"
"New Zealand","Total Exports",""
"","Total Imports","18865"
"","Trade Balance","-18865"
"Australia","Total Exports","41433"
"","Total Imports","72326"
"","Trade Balance","-30893"
"Sweden","Total Exports","55590"
"","Total Imports","88780"
"","Trade Balance","-33190"
"Singapore","Total Exports",""
"","Total Imports","114202"
"","Trade Balance","-114202"
"China","Total Exports",""
"","Total Imports","157121"
"","Trade Balance","-157121"
"Türkiye","Total Exports",""
"","Total Imports","168155"
"","Trade Balance","-168155"
"Taiwan","Total Exports",""
"","Total Imports","170941"
"","Trade Balance","-170941"
"Japan","Total Exports",""
"","Total Imports","259328"
"","Trade Balance","-259328"
"United Kingdom","Total Exports","16933"
"","Total Imports","554735"
"","Trade Balance","-537802"
"France (incl. Monaco, French Antilles)","Total Exports","37619"
"","Total Imports","687850"
"","Trade Balance","-650231"
"Finland","Total Exports","16440"
"","Total Imports","1084897"
"","Trade Balance","-1068457"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","2664679"
"","Trade Balance","-2664679"
"Total All Countries","Total Exports","201532531"
"","Total Imports","55143929"
"","Trade Balance","146388602"

"Source: Trade Data Online (accessed: April 21, 2025)"



