"Title","Canadian trade balances"
"Products","Hs 28 - inorgn chem; compds of prec met, radioact elements etc"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"HS 28 - Inorgn chem; compds of prec met, radioact elements etc"
"United States","Total Exports","3310855203"
"","Total Imports","1667748911"
"","Trade Balance","1643106292"
"Germany","Total Exports","370967083"
"","Total Imports","82593304"
"","Trade Balance","288373779"
"United Kingdom","Total Exports","175934570"
"","Total Imports","10104129"
"","Trade Balance","165830441"
"India","Total Exports","115557256"
"","Total Imports","15961160"
"","Trade Balance","99596096"
"Japan","Total Exports","82459422"
"","Total Imports","24724712"
"","Trade Balance","57734710"
"Netherlands","Total Exports","72032121"
"","Total Imports","18257926"
"","Trade Balance","53774195"
"France (incl. Monaco, French Antilles)","Total Exports","58067125"
"","Total Imports","17227541"
"","Trade Balance","40839584"
"Korea, South","Total Exports","50691367"
"","Total Imports","21266309"
"","Trade Balance","29425058"
"Russia","Total Exports","84042498"
"","Total Imports","58177097"
"","Trade Balance","25865401"
"Cuba","Total Exports","20648927"
"","Total Imports",""
"","Trade Balance","20648927"
"Romania","Total Exports","17240960"
"","Total Imports","168324"
"","Trade Balance","17072636"
"Malaysia","Total Exports","23628534"
"","Total Imports","6871083"
"","Trade Balance","16757451"
"Portugal","Total Exports","8246001"
"","Total Imports","125517"
"","Trade Balance","8120484"
"Switzerland","Total Exports","9996681"
"","Total Imports","3069252"
"","Trade Balance","6927429"
"Hong Kong","Total Exports","5639948"
"","Total Imports","1886864"
"","Trade Balance","3753084"
"Singapore","Total Exports","3812956"
"","Total Imports","140726"
"","Trade Balance","3672230"
"Nigeria","Total Exports","3029992"
"","Total Imports","339"
"","Trade Balance","3029653"
"Saudi Arabia","Total Exports","2105922"
"","Total Imports","225391"
"","Trade Balance","1880531"
"Uzbekistan","Total Exports","1751271"
"","Total Imports",""
"","Trade Balance","1751271"
"Italy (incl. Vatican City State)","Total Exports","10505654"
"","Total Imports","8917336"
"","Trade Balance","1588318"
"New Zealand","Total Exports","1820425"
"","Total Imports","342468"
"","Trade Balance","1477957"
"U.S. Minor Outlying Islands","Total Exports","1429983"
"","Total Imports",""
"","Trade Balance","1429983"
"Indonesia","Total Exports","1742160"
"","Total Imports","387766"
"","Trade Balance","1354394"
"Sri Lanka","Total Exports","1016448"
"","Total Imports","1142"
"","Trade Balance","1015306"
"United Arab Emirates","Total Exports","803338"
"","Total Imports","98153"
"","Trade Balance","705185"
"Greece","Total Exports","747355"
"","Total Imports","120779"
"","Trade Balance","626576"
"Argentina","Total Exports","1587924"
"","Total Imports","994814"
"","Trade Balance","593110"
"Ghana","Total Exports","570012"
"","Total Imports","192"
"","Trade Balance","569820"
"Pakistan","Total Exports","406489"
"","Total Imports","3879"
"","Trade Balance","402610"
"Ireland","Total Exports","475495"
"","Total Imports","86764"
"","Trade Balance","388731"
"Ecuador","Total Exports","377992"
"","Total Imports","591"
"","Trade Balance","377401"
"Croatia","Total Exports","375292"
"","Total Imports","899"
"","Trade Balance","374393"
"Costa Rica","Total Exports","310193"
"","Total Imports",""
"","Trade Balance","310193"
"Colombia","Total Exports","3282030"
"","Total Imports","2996526"
"","Trade Balance","285504"
"Ukraine","Total Exports","309039"
"","Total Imports","47593"
"","Trade Balance","261446"
"Egypt","Total Exports","2405634"
"","Total Imports","2161496"
"","Trade Balance","244138"
"Bangladesh","Total Exports","221981"
"","Total Imports","13311"
"","Trade Balance","208670"
"Venezuela","Total Exports","173542"
"","Total Imports",""
"","Trade Balance","173542"
"Dominican Republic","Total Exports","211922"
"","Total Imports","62065"
"","Trade Balance","149857"
"Guatemala","Total Exports","142825"
"","Total Imports","16"
"","Trade Balance","142809"
"Panama","Total Exports","119047"
