"Title","Canadian trade balances"
"Products","Hs 60 - knitted or crocheted fabrics"
"Origin","Distribution by province"
"Destination","All countries (total)"
"Period","Specific year(s): 2016"
"Units","Value in  canadian dollars"

"","","2016"
"HS 60 - Knitted or crocheted fabrics"
"Nova Scotia","Total Exports","1751146"
"","Total Imports","877436"
"","Trade Balance","873710"
"Prince Edward Island","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Yukon Territory","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Northwest Territories","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Nunavut","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Newfoundland and Labrador","Total Exports","4292"
"","Total Imports","19538"
"","Trade Balance","-15246"
"New Brunswick","Total Exports","92122"
"","Total Imports","308330"
"","Trade Balance","-216208"
"Saskatchewan","Total Exports",""
"","Total Imports","1412159"
"","Trade Balance","-1412159"
"Manitoba","Total Exports","130546"
"","Total Imports","5802486"
"","Trade Balance","-5671940"
"Alberta","Total Exports","75532"
"","Total Imports","8467295"
"","Trade Balance","-8391763"
"Quebec","Total Exports","54392703"
"","Total Imports","97339589"
"","Trade Balance","-42946886"
"British Columbia","Total Exports","700889"
"","Total Imports","56664370"
"","Trade Balance","-55963481"
"Ontario","Total Exports","29610811"
"","Total Imports","100787702"
"","Trade Balance","-71176891"

"Source: Trade Data Online (accessed: March 14, 2025)"

"Note:","60 - Chapter restructured in 2002 - Restructured to establish a parallel between woven fabrics and knitted or crocheted fabrics"

