"Title","Canadian trade balances"
"Products","Hs 76 - aluminium and articles thereof"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2023"
"Units","Value in  canadian dollars"

"","","2023"
"HS 76 - Aluminium and articles thereof"
"United States","Total Exports","15331554977"
"","Total Imports","4029468506"
"","Trade Balance","11302086471"
"Netherlands","Total Exports","401698340"
"","Total Imports","37308735"
"","Trade Balance","364389605"
"Mexico","Total Exports","394767309"
"","Total Imports","90383846"
"","Trade Balance","304383463"
"Hong Kong","Total Exports","113490536"
"","Total Imports","6078220"
"","Trade Balance","107412316"
"Malaysia","Total Exports","126810535"
"","Total Imports","57448447"
"","Trade Balance","69362088"
"India","Total Exports","125070273"
"","Total Imports","61719498"
"","Trade Balance","63350775"
"Brazil","Total Exports","40837867"
"","Total Imports","4667758"
"","Trade Balance","36170109"
"Thailand","Total Exports","50316402"
"","Total Imports","22936174"
"","Trade Balance","27380228"
"Hungary","Total Exports","15000093"
"","Total Imports","1449798"
"","Trade Balance","13550295"
"United Kingdom","Total Exports","28450200"
"","Total Imports","23998353"
"","Trade Balance","4451847"
"Korea, South","Total Exports","56813677"
"","Total Imports","54057294"
"","Trade Balance","2756383"
"Jamaica","Total Exports","2234336"
"","Total Imports","1159"
"","Trade Balance","2233177"
"Trinidad and Tobago","Total Exports","2425335"
"","Total Imports","315815"
"","Trade Balance","2109520"
"Philippines","Total Exports","2306979"
"","Total Imports","509300"
"","Trade Balance","1797679"
"Panama","Total Exports","1828822"
"","Total Imports","192696"
"","Trade Balance","1636126"
"Lithuania","Total Exports","1928177"
"","Total Imports","346831"
"","Trade Balance","1581346"
"Norway","Total Exports","2946214"
"","Total Imports","1368968"
"","Trade Balance","1577246"
"Japan","Total Exports","14887074"
"","Total Imports","13377446"
"","Trade Balance","1509628"
"Chile","Total Exports","1005296"
"","Total Imports","13021"
"","Trade Balance","992275"
"Pakistan","Total Exports","1732577"
"","Total Imports","756540"
"","Trade Balance","976037"
"Dominican Republic","Total Exports","2605041"
"","Total Imports","1631834"
"","Trade Balance","973207"
"Malawi","Total Exports","938286"
"","Total Imports",""
"","Trade Balance","938286"
"Colombia","Total Exports","1402733"
"","Total Imports","470386"
"","Trade Balance","932347"
"Costa Rica","Total Exports","987881"
"","Total Imports","136289"
"","Trade Balance","851592"
"Cuba","Total Exports","828289"
"","Total Imports",""
"","Trade Balance","828289"
"Peru","Total Exports","731902"
"","Total Imports","57646"
"","Trade Balance","674256"
"Ireland","Total Exports","2053781"
"","Total Imports","1626868"
"","Trade Balance","426913"
"Barbados","Total Exports","410681"
"","Total Imports",""
"","Trade Balance","410681"
"Cameroon","Total Exports","409000"
"","Total Imports","845"
"","Trade Balance","408155"
"Bahamas","Total Exports","403331"
"","Total Imports",""
"","Trade Balance","403331"
"Sint Maarten","Total Exports","367035"
"","Total Imports",""
"","Trade Balance","367035"
"Nigeria","Total Exports","262402"
"","Total Imports","6755"
"","Trade Balance","255647"
"Turks and Caicos Islands","Total Exports","237852"
"","Total Imports",""
"","Trade Balance","237852"
"Greenland","Total Exports","210717"
"","Total Imports",""
"","Trade Balance","210717"
"Bermuda","Total Exports","192844"
"","Total Imports",""
"","Trade Balance","192844"
"Guyana","Total Exports","191141"
"","Total Imports",""
"","Trade Balance","191141"
"Saint Pierre-Miquelon","Total Exports","171014"
"","Total Imports","5412"
"","Trade Balance","165602"
"Ukraine","Total Exports","876797"
"","Total Imports","721689"
"","Trade Balance","155108"
"Bangladesh","Total Exports","135902"
"","Total Imports","11013"
"","Trade Balance","124889"
"Cayman Islands","Total Exports","114499"
"","Total Imports","104"
"","Trade Balance","114395"
"Honduras","Total Exports","98293"
"","Total Imports",""
"","Trade Balance","98293"
"Cyprus","Total Exports","84045"
"","Total Imports",""
"","Trade Balance","84045"
"U.S. Minor Outlying Islands","Total Exports","117246"
"","Total Imports","45076"
"","Trade Balance","72170"
"Malta","Total Exports","60925"
"","Total Imports","101"
"","Trade Balance","60824"
"Timor-Leste","Total Exports","53772"
"","Total Imports","60"
"","Trade Balance","53712"
"Mongolia","Total Exports","46924"
"","Total Imports",""
"","Trade Balance","46924"
"Morocco","Total Exports","105263"
"","Total Imports","63969"
"","Trade Balance","41294"
"Madagascar","Total Exports","43356"
"","Total Imports","4373"
"","Trade Balance","38983"
"Kuwait","Total Exports","38453"
"","Total Imports","8"
"","Trade Balance","38445"
"Guatemala","Total Exports","35793"
"","Total Imports","610"
"","Trade Balance","35183"
"Mali","Total Exports","30331"
"","Total Imports",""
"","Trade Balance","30331"
"Iran","Total Exports","65905"
"","Total Imports","37395"
