"Title","Canadian trade balances"
"Products","Hs 36 - explosives;pyrotechnic prod;matches; pyrophoric alloys; certain combustible prep"
"Origin","Distribution by province"
"Destination","All countries (total)"
"Period","Specific year(s): 2013"
"Units","Value in  canadian dollars"

"","","2013"
"HS 36 - Explosives;pyrotechnic prod;matches; pyrophoric alloys; certain combustible prep"
"Quebec","Total Exports","261267851"
"","Total Imports","76109548"
"","Trade Balance","185158303"
"Prince Edward Island","Total Exports","1002"
"","Total Imports",""
"","Trade Balance","1002"
"Northwest Territories","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Nunavut","Total Exports",""
"","Total Imports",""
"","Trade Balance",""
"Newfoundland and Labrador","Total Exports",""
"","Total Imports","936"
"","Trade Balance","-936"
"New Brunswick","Total Exports","239"
"","Total Imports","356535"
"","Trade Balance","-356296"
"Yukon Territory","Total Exports",""
"","Total Imports","396772"
"","Trade Balance","-396772"
"British Columbia","Total Exports","6383834"
"","Total Imports","10982035"
"","Trade Balance","-4598201"
"Saskatchewan","Total Exports",""
"","Total Imports","11719162"
"","Trade Balance","-11719162"
"Nova Scotia","Total Exports","18595"
"","Total Imports","13656601"
"","Trade Balance","-13638006"
"Alberta","Total Exports","4641535"
"","Total Imports","27511440"
"","Trade Balance","-22869905"
"Manitoba","Total Exports","52961"
"","Total Imports","29062568"
"","Trade Balance","-29009607"
"Ontario","Total Exports","26412562"
"","Total Imports","68100115"
"","Trade Balance","-41687553"

"Source: Trade Data Online (accessed: March 14, 2025)"



